"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","class","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032268","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb.f.) Schltr.","G. F. J. Pabst","H. S. Irwin","6725","1964","10","10","South America","Brazil","Mato Grosso","Ca. 70 km. N. of Xavantina, on rd. to Garapú.","-52.37","-14.22","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192697' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032268","NY01032268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032266","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb.f.) Schltr.","G. F. J. Pabst","H. S. Irwin","7371","1964","10","26","South America","Brazil","Goiás","Ca. 50 km. S. of Caiapônia, on rd. to Jataí. Serra do Caiapó.","-51.77","-17.32","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032266","NY01032266_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1032267","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb.f.) Schltr.","G. F. J. Pabst","H. S. Irwin","6725","1964","10","10","South America","Brazil","Mato Grosso","Ca. 70 km. N. of Xavantina, on rd. to Garapú.","-52.37","-14.22","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192696' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032267","NY01032267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1032265","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb.f.) Schltr.","A. C. Brade","A. Macedo","1342","1948","11","10","South America","Brazil","Minas Gerais","Aroeira","-49.465","-18.9692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192689' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032265","NY01032265_01","Ituiutaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-20 14:40:47-03","UPM","MACK","2601","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb.f. & Warm) Schltr.",NA,"Gonçalves, G.F.","48","2014",NA,NA,NA,"Brasil","SP","Vila Clarice, terreno baldio de torre de alta tensão",NA,NA,NA,NA,NA,"Terrícola, flores verdes claras com o labelo amarelado, nervuras bem marcadas; flores aromáticas e densamente pilosas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:14-03","MN","R","2518","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb. f.) Schltr.","Hoehne, F.C.","Hoehne, F.C.","850","1908","11",NA,NA,"Brasil","Mato Grosso",NA,"-57.6789016723633","-16.0706005096436",NA,NA,NA,"Comissão Rondon",NA,NA,"Cáceres","172193","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:14-03","MN","R","2520","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb. f.) Schltr.","Hoehne, F.C.","Hoehne, F.C.","996","1908","11",NA,NA,"Brasil","Mato Grosso",NA,"-58.4603004455566","-15.8528003692627",NA,NA,NA,"Comissão Rondon",NA,NA,"Porto Esperidião","113725","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:14-03","MN","R","2517","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb. f.) Schltr.","Brade, A.C.","Hoehne, F.C.",NA,"1915","11",NA,NA,"Brasil","Minas Gerais",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,NA,NA,"Lagoa Santa","12338","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:14-03","MN","R","2519","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb. f.) Schltr.","Hoehne, F.C.","Kuhlmann, J.G.","110","1914","11",NA,NA,"Brasil","Mato Grosso do Sul","Bananalzinho","-53.7061004638672","-18.3241996765137",NA,NA,NA,"Comissão de Linhas Teleféricas e Estratégicas",NA,NA,"Alcinópolis","58913","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:46:58-02","IPA","IPA","17766","S","Plantae","Plantae",NA,"Orchidaceae","Pteroglossa","macrantha","Pteroglossa macrantha","(Rchb. f.) Schltr.","Buzatto, C.R.","Giulietti, A.M.","438","1968","10","11","Southern America","Brasil","Mato Grosso","Lago Leo, próximo Acampamento da Royal Society.",NA,NA,NA,NA,NA,"Erva terrestre com raízes carnosas. Escapo floral com 25 cm de altura; sépalas esverdeadas, pilosas no dorso, parte interna e externa com estrias vistosas.; Cerrado.","IPA0017766",NA,NA,NA,NA,"2014","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
