"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","typeStatus","previousCatalogNumber","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:25:16-03","UNESC","CRI","14375","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","Farias, D.M.","2018","02","28","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1620","2018","01","25","Brasil","Santa Catarina","Petrolândia","-49.679444","-27.539444","49º40'46''W","27º32'22''S","394","394","CRI013486","CRI013486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","10473","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes",NA,NA,NA,NA,"Valdemar Boff",NA,"1999","04","14","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI002548","CRI002548","Morro dos Conventos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","391348","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"L. B. Smith","13114","1964","11","10","Brazil","Santa Catarina","Palmitos","-53.05","-27.08",NA,NA,"270","300","NY00391348","NY00391348_01","Forest, Barra Grande","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275380' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","391349","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"L. B. Smith","13183","1964","11","11","Brazil","Santa Catarina","Itapiranga","-53.72","-27.17",NA,NA,"200","200","NY00391349","NY00391349_01","Forest by Rio Uruguai, Itapiranga","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275381' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 19:26:00-03","NY","NYBG","391360","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii",NA,"R. C. Barneby; J. W. Grimes",NA,NA,NA,"S. G. Tressens","4751","1993","11","25","Argentina","Misiones","Guaraní","-54.205","-26.9164",NA,NA,NA,NA,"NY00391360","NY00391360_01","Predio Guarani, Tramo II","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275372' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","391347","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"G. G. Hatschbach","17789","1967","11","08","Brazil","Paraná","Sao Joao do Triunfo","-50.2972","-25.6833",NA,NA,NA,NA,"NY00391347","NY00391347_01","S. Joao do Triunfo","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275383' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01066588","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","E. J. Koenen",NA,NA,NA,"H. Lorenzi","75","1992","07","10","Brazil","São Paulo","Serra Negra","-46.7","-22.6103",NA,NA,"750","750","NY01066588","NY01066588_01","On road that links Serra Negra-Tabaranas-Lindois (gravel road)","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203541' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00391351","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"R. A. Wasum","4966","1988","12","15","Brazil","Rio Grande do Sul","Nova Prata","-51.61","-28.7842",NA,NA,"750","750","NY00391351","NY00391351_01","Horto Florestal","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275388' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01066767","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","D. S. Seigler",NA,NA,NA,"J. M. Silva","2588","1998","11","01","Brazil","Paraná","Fênix","-51.9792","-23.9161",NA,NA,NA,NA,"NY01066767","NY01066767_01","Fazenda Agua Azul","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204262' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","391345","PreservedSpecimen","Plantae","Fabaceae","Albizia","edwallii","Albizia edwallii","(Hoehne) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,NA,"G. G. Hatschbach","18060","1967","12","07","Brazil","Paraná","Rio Branco do Sul","-49.3142","-25.1903",NA,NA,NA,NA,"NY00391345","NY00391345_01","Curiola","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275371' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
