"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","371949","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.","F. A. Stafleu","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371949","NY00371949_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","371942","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.","S. M. Cooper","R. M. Harley","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371942","NY00371942_01","17866","1977","01","12","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal. On N.W. slopes of Monte Pascoal","-39.42","-16.88","200","586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 10:27:00-03","NY","NYBG","371947","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata",NA,"F. A. Stafleu","Illegible collector name","South America","Brazil","sheet","3 collectors?: Dorsett?, ???, Popenoe? - see label <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371947","NY00371947_01","142b","1914","06","06","Rio de Janeiro","Rio de Janeiro","Near Hotel Internacional","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","371945","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.",NA,"A. F. Regnell","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371945","NY00371945_01","57",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","371943","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.","S. M. Cooper","R. M. Harley","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371943","NY00371943_01","17866","1977","01","12","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal. On N.W. slopes of Monte Pascoal","-39.42","-16.88","200","586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","371946","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.","F. A. Stafleu","G. Gardner","South America","Brazil","sheet","Shuttl.1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371946","NY00371946_01","5449","1842",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 10:27:00-03","NY","NYBG","371948","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata",NA,NA,"E. Pereira","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371948","NY00371948_01","4497","1959","02","24","Rio de Janeiro","Rio de Janeiro","Sao Conrado","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02361064","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.",NA,"Capt. Wilkes","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573770' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361064","NY02361064_01","s.n.",NA,NA,NA,"Rio de Janeiro",NA,NA,"-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","371944","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.","S. A. Mori","V. C. Souza","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371944","NY00371944_01","16","1991","02","06","Espírito Santo","Linhares","Fazenda Trajani, +/- 5 m da sede da fazenda +/- 5 m da estrada","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:52-03","UFRJ","RFA","12737","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","oppugnata","Vochysia oppugnata","(Vell.) Warm.","M. C. Vianna","C. Pereira; F. V. Agarez",NA,"Brasil",NA,NA,"RFA51060",NA,NA,"1972","07",NA,"Rio de Janeiro","Rio de Janeiro","Guanabara, encostas das matas da Barra da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
