"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2016-11-01 14:37:00-02","NY","NYBG","623209","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","N. Sousa Costa","A. Krapovickas","30162","1963","02","02","South America","Brazil","Bahia","Correntina","7 km SW de Correntina.","-44.6367","-13.3433","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623209","NY00623209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-18 15:41:50-03","EPAMIG","PAMG","44619","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","L.C. Costa","V.C. Souza; J.P. Souza; A.R. Duarte; F.F. Mazine","14245","1997","03","16",NA,"Brasil","Mato Grosso","São Félix do Araguaia","Beira do Rio Araguaia entre São Félix do Araguaia e o encontro com Rio das Mortes. Praia do Gado.","-50.670639","-11.67275",NA,"Vegetação herbácea próximo ao rio, sendo substituída por vegetação arbóreo-arbustiva em pontos mais distantes. Subasbusto, até 40 cm altura; flores amarelo-alaranjadas",NA,NA,"Brandão","2006","10","10","50° 40' 14,3 W","11° 40' 21,9 S","130","130",NA,NA,NA,NA,NA,NA
"3","2020-10-22 10:34:35-03","EPAMIG","PAMG","20158","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","L.C. Costa","M. Brandão","14683","1989","01","28",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Portão do Inferno",NA,"-15.452778",NA,NA,NA,NA,"Brandão","2007","06","28","55° 44' 21' W","15° 27' 10S","751","751",NA,NA,NA,NA,NA,NA
"4","2020-10-22 10:34:35-03","EPAMIG","PAMG","20108","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","L.C. Costa","M. Brandão","14738","1989","01","30",NA,"Brasil","Mato Grosso","Cuiabá","Estrada Cuiabá - Chapada dos Guimarães","-56.095","-15.598889",NA,NA,NA,NA,"Brandão","2007","07","26","56° 5' 42W","15° 35' 56 S","180","180",NA,NA,NA,NA,NA,NA
"5","2020-10-22 10:34:35-03","EPAMIG","PAMG","44324","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","L.C. Costa","A.G. Nave; F.R. Dario; R.F. Lopes; P.H.M. Carneiro","1259","1997","02","26",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Fazenda Morro da Laje","-55.745","-15.326944",NA,"Interior do cerrado. Herbácea com altura de 0,30m, flor amarela",NA,NA,"Brandão","2007","07","28","55° 44' 42W","15° 19' 37S","751","751",NA,NA,NA,NA,NA,NA
"6","2020-10-22 10:34:35-03","EPAMIG","PAMG","9162","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","L.C. Costa","A. Krapovickas; C.L. Cristóbal","34504","1979","02","10",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Arredores de Campo Grande, caminho para Sidrolândia","-54.647778","-20.443611",NA,"Em campo. De 40 a 50 cm de altura. Decumbente",NA,NA,"Brandão","2007","07","28","54° 38' 52W","20° 26' 37S","612","612",NA,NA,NA,NA,NA,NA
"7","2020-10-22 10:34:35-03","EPAMIG","PAMG","44185","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi",NA,"O.S. Ribas; L.B.S. Pereira","1739","1997","02","11",NA,"Brasil","Paraná","Jaguariaíva",NA,"-49.7225","-24.237778",NA,"Erva ascendente, flor amarela. Campo Limpo, seco; solo arenoso",NA,NA,"Brandão",NA,NA,NA,"49° 43' 21W","24° 14' 16S","906","906",NA,NA,NA,NA,NA,NA
"8","2020-10-22 10:34:35-03","EPAMIG","PAMG","20167","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","L.C. Costa","M. Brandão","14679","1989","01","30",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Guarita policial próximo ao Portão do Inferno",NA,"-15.452778",NA,"Flores amarelas",NA,NA,"Brandão","2006","07","26","55° 44' 21' W","15° 27' 10S","751","751",NA,NA,NA,NA,NA,NA
"9","2020-10-22 10:34:35-03","EPAMIG","PAMG","44515","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi",NA,"F. de Barros","2556","1993","02","03",NA,"Brasil","São Paulo","Itirapina","Cerrado da Estrela","-47.822778","-22.253611",NA,"Arbusto prostrado, crescendo em campo cerrado. Flores com corola amarela",NA,NA,"Brandão",NA,NA,NA,"47° 49' 22W","22° 15' 13S","771","771",NA,NA,NA,NA,NA,NA
"10","2020-10-22 10:34:35-03","EPAMIG","PAMG","38344","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Stylosanthes","nunoi","Stylosanthes nunoi","M. Brandão","G.M. Araújo","106","1987","02","13",NA,"Brasil","Minas Gerais","Uberlândia","Reserva Ecológica do Panga","-48.262222","-18.911389",NA,"Cerrado. Herbácea, cerca de 0,50m. Corola amarela e alaranjada",NA,NA,"Brandão",NA,NA,NA,"48° 15' 44W","18° 54' 41S","843","843",NA,NA,NA,NA,NA,NA
