"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"107","2008-08-04 17:29:01-03","MNHN","RECOLNAT_MNHN_P","P00639581","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Goyaz",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00639581' target='other'> <mi>dwc_moreinfo</mi></a>","P00639581","P00639581_01",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,"C1 760",NA,NA
"108","2015-09-25 10:02:44-03","MNHN","RECOLNAT_MNHN_P","P00639582","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Goyaz",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00639582' target='other'> <mi>dwc_moreinfo</mi></a>","P00639582","P00639582_01",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,"C1 760",NA,NA
"109","2008-08-04 17:29:01-03","MNHN","RECOLNAT_MNHN_P","P00639583","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Goyaz",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00639583' target='other'> <mi>dwc_moreinfo</mi></a>","P00639583","P00639583_01","Marcondes-Ferreira",NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,"C1 760",NA,NA
"110","2020-11-16 13:23:04-03","UFT","HTO","5173","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","E.A. Soares et al.",NA,"2000","07","20",NA,"Brasil","TO","Porto Nacional","Área do Rio Areias","-48.367867","-10.8808",NA,NA,"Projeto Conservação e Manejo da Biodiversidade do Bioma Cerrado EMBRAPA - UNB - IBAMA (Brasil)/DIFD (Reino Unido)",NA,NA,"G.H.P.M. Ribeiro",NA,NA,"2008","00","00",NA,NA,"48°22,072'W","10°52,848'S",NA,NA,NA,NA
"111","2020-11-16 13:23:04-03","UFT","HTO","2249","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","E. Santos; F.F. Leão; S.F. Lolis","6522","1996","08","22",NA,"Brasil","TO","Lagoa da Confusão","Fazenda Gaspareto. Campo cerrado","-49.6236000061035","-10.7936000823975",NA,NA,NA,NA,NA,"S.M. Gomes",NA,NA,"2008","10","10","144939","auto",NA,NA,NA,NA,NA,NA
"112","2020-11-16 13:23:04-03","UFT","HTO","3770","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","S. Lolis et al.","85","1999","07","19",NA,"Brasil","TO","Porto Nacional","Riacho Siverin - Pinheirópolis","-48.4171981811523","-10.7081003189087",NA,NA,NA,NA,NA,"S.M. Gomes",NA,NA,"2008","10","00","77281","auto",NA,NA,NA,NA,NA,NA
"113","2020-10-01 14:20:42-03","JBB","HEPH","32005","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Faria, JEQ; Melo, MS; Rosa, PO; Mendes, VC","5027","2015","08","02","Southern America","Brasil","Goiás","São Miguel do Araguaia","Morro da torre de TV na margem da GO-164 saindo de São Miguel do Araguaia em direção a Araguaçu","-50.068611","-13.166944","458",NA,NA,NA,NA,"Faria, JEQ","458",NA,"2015","08",NA,NA,NA,"-50.068611","-13.166944",NA,NA,NA,NA
"114","2020-10-01 14:20:42-03","JBB","HEPH","34656","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Faria, JEQ","8626","2018","06","26","Southern America","Brasil","Goiás","Alto Horizonte","Margem da estrada de terra de Alto Horizonte para Campinorte, ca. de 2 Km de Alto Horizonte","-49.323611","-14.212778","405",NA,NA,NA,NA,"Faria, JEQ","405",NA,"2018","06",NA,NA,NA,"-49.323611","-14.212778",NA,NA,NA,NA
"115","2020-10-01 14:20:42-03","JBB","HEPH","36629","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Faria, JEQ; Soares, ACA; Rosa, PO; Fujiwara, FLA","9650","2019","09","09","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Região da Chapada dos Veadeiros, fazenda Hamadríades, ca. de 13 km sentido São Jorge para Colinas do Sul","-47.894167","-14.228333","731",NA,NA,NA,NA,"Faria, JEQ","731",NA,"2019","09",NA,NA,NA,"-47.894167","-14.228333",NA,NA,NA,NA
"116","2020-10-01 14:20:42-03","JBB","HEPH","9655","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Nóbrega, MGG","24","1994","03","21","Southern America","Brasil","Tocantins","Palmas","Serra do Lajeado","-48.270556","-11.222222",NA,NA,NA,NA,NA,"Pereira, APP",NA,NA,"2017","11",NA,NA,NA,"-48.270556","-11.222222",NA,NA,NA,NA
"117","2020-10-01 14:20:42-03","JBB","HEPH","25063","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Santos, ER dos","882","2008","04","23","Southern America","Brasil","Tocantins","Palmas","Sub-bacia Ribeirão São João. Área antrópica - próximo a experimento de cultivo.","-48.3602981567383","-10.2128000259399",NA,NA,NA,NA,NA,"Santos, ER dos",NA,NA,NA,NA,NA,"62375","auto",NA,NA,NA,NA,NA,NA
"118","2020-12-11 11:31:41-03","UFMG","BHCB","201378","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Faria, JEQ","8626","2018","06","26","Southern America","Brasil","Goiás","Alto Horizonte","margem da estrada de terra de Alto Horizonte para Campinorte, ca. de 2Km de Alto Horizonte","-49.323611","-14.212778",NA,NA,"Árvore, ca. 7m de altura. Caule acinzentado, corticos e estriados. Botões florais verdes e flores esverdeadas; Cerradão antropizado","BHCB201378","BHCB201378",NA,NA,NA,"2018",NA,NA,NA,NA,"-49.323611","-14.212778",NA,NA,NA,NA
"119","2020-12-11 11:31:41-03","UFMG","BHCB","41786","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Duarte, AP","8182","1967","07","16","Southern America","Brasil","Goiás",NA,"Base da Serra Dourada, vertente oriental.",NA,NA,NA,NA,"Pequena árvore com ramos patentes ou horizontais, produz látex de coloração sanguínea.; Cerradão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
