"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00941513","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","bergiana","Tibouchina bergiana","Cogn.","R. Romero","J. N. Nakajima","2216","1997","02","22","South America","Brazil","Minas Gerais","São Roque de Minas","Garagem de Pedras. Parque Nacional da Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941513","NY00941513_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:25-03","UFV","VIC","11040","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","bergiana","Tibouchina bergiana","Cogn.",NA,"Silva, A.F.; Capellari, J.r. .L.","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","São José dos Campos","Flora da Reserva Florestal da Boa Vista, Estrada Turvo depois do Horto","-45.9375","-23.075",NA,"Árvore com 7m, flores pétalas e estames roxas, casca laranja, lenho creme-rosado, súber com fissuras superficiais.","VIC011040","VIC011040","-45.9375","-23.075",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:20:03-03","UNICAMP","UEC","101887","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","bergiana","Tibouchina bergiana","Cogn.","Romero, R","Romero, R; Almeda, F; Robinson, O; Robinson, D","5631","1998","06","22",NA,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Morro próximo ao alojamento.","-46.25","-20",NA,"flor e fruto, Arbusto de cerca de 1,5 m. Hipanto vinho, corola púrpura, filetes alvos, anteras vinho, haste da inflorescência vinho. Campo rupestre.",NA,NA,"-46.25","-20","2001","03",NA,NA,NA,NA,NA,NA,NA
"4","2021-01-29 16:15:20-03","JBB","HEPH","37432","S","Plantae","Dicotyledon","Myrtales","Melastomataceae","Pleroma","bergianum","Pleroma bergianum","(Cogn.) P.J.F.Guim. & Michelang.","Flora do Brasil","Romero, R; Nakajima, JN; Volpi, RL; Pacheco, RA; Faria, CA","6750","2003","03","13","Southern America","Brasil","Minas Gerais","Delfinópolis","Faz. Águas da Serra, trilha das cachoeiras","-46.767222","-20.4425",NA,NA,NA,NA,"-46.767222","-20.4425","2020",NA,"996","996",NA,NA,NA,NA,NA
"5","2020-12-11 11:38:39-03","UFMG","BHCB","2730","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Tibouchina","bergiana","Tibouchina bergiana","Cogn.",NA,"Grandi, TSM","646","1981","04","28","Southern America","Brasil","Minas Gerais","Belo Horizonte","Campus da UFMG","-43.937801361084","-19.9207992553711",NA,"cultivada;arbusto-arbóreo;flores roxas;pelos glandulosos nos estames;",NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA
"6","2020-07-02 09:13:00-03","MO","MOBOT","101201654","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","bergianum","Pleroma bergianum","(Cogn.) P.J.F. Guim. & Michelang.","fide Guimarães et al.","M.D. Stephan","Stephan s.n.","1843",NA,NA,"South America","Brazil","Minas Gerais",NA,"Habitat ad Congonhas do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA
"7","2020-11-04 16:43:54-03","UFU","HUFU","38920","S","Plantae",NA,NA,"Melastomataceae","Pleroma","bergianum","Pleroma bergianum","(Cogn.) P.J.F. Guim. & Michelang.","Romero, R.","Romero, R.; Almeda, F.; Robson, O. & Robison, D.","5631","1998","06","22",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Morro próximo ao alojamento.","-46.25","-20",NA,"Arbusto, ca. 1,5 m. Hipanto vinho, corola púrpura, filetes alvos, anteras vinho e haste da inflorescência vinho.; Campo rupestre.","HUFU00067075","HUFU00067075","-46.25","-20","2000","02",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 16:43:54-03","UFU","HUFU","31107","S","Plantae",NA,NA,"Melastomataceae","Pleroma","bergianum","Pleroma bergianum","(Cogn.) P.J.F. Guim. & Michelang.","Romero, R.","Romero, R.; Nakajima, J.N.; Volpi, R.L.; Pacheco, R.A. & Faria, C.A.","6750","2003","03","13",NA,"Brasil","Minas Gerais","Delfinópolis","Fazenda Águas da Serra, Trilha das Cachoeiras.","-46.767222","-20.4425",NA,"Arbusto, ca. 0,8 m. Hipanto esverdeado, corola púrpura e estames creme.; Campo rupestre.","HUFU00067072","HUFU00067072","-46.767222","-20.4425","2003","07","996","996",NA,NA,NA,NA,NA
"9","2020-11-04 16:43:54-03","UFU","HUFU","24466","S","Plantae",NA,NA,"Melastomataceae","Pleroma","bergianum","Pleroma bergianum","(Cogn.) P.J.F. Guim. & Michelang.","Romero, R.","Nakajima, J.N.; Romero, R.; Furlan, A. & Farinaccio, M.A.","2216","1997","02","22",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Garagem das Pedras.","-46.3657989501953","-20.2453002929688",NA,"Arbusto, ca. 1,8 m. Corola arroxeada, filetes creme e anteras lilás a arroxeadas.; Campo rupestre.","HUFU00067074","HUFU00067074",NA,NA,"1998","12",NA,NA,"57119","auto",NA,NA,NA
"10","2020-11-04 16:43:54-03","UFU","HUFU","31025","S","Plantae",NA,NA,"Melastomataceae","Pleroma","bergianum","Pleroma bergianum","(Cogn.) P.J.F. Guim. & Michelang.","Romero, R.","Volpi, R.L.; Romero, R.; Nakajima, J.N.; Pacheco, R.A. & Faria, C.A.","590","2003","03","12",NA,"Brasil","Minas Gerais","Delfinópolis","Estrada para Casinha Branca, Muro de Pedras.","-46.8539009094238","-20.343900680542",NA,"Arbusto, ca. 0,6 m. Corola magenta e anteras arroxeadas.; Campo rupestre.","HUFU00067073","HUFU00067073",NA,NA,"2003","07",NA,NA,"41380","auto",NA,NA,NA
