"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","imagecode","class","order","individualCount","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2020-09-23 10:39:25-03","E","E","155041","PreservedSpecimen","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis","isotype","Gardner, George","4974","1905","01","13","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:166452","<a href=http://data.rbge.org.uk/herb/E00155041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00155041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:37:21-03","UFJF","CESJ","56059","PreservedSpecimen","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis",NA,"F.S. Souza; J.H.C. Ribeiro; C.O.Rezende","912","2010","04","09","América do Sul","Brasil","Minas Gerais",NA,NA,"Arbusto na estrada. Frutos amarelo-esverdeado.","CESJ056059","Angiosperma","C.V. Morton","F.S. Souza","2010","04","Descoberto","Serra do Relógio, RPPN Alto da Boa Vista","-42.9674987792969","-21.4596996307373","11991","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:37:21-03","UFJF","CESJ","55352","PreservedSpecimen","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis",NA,"F.S. Souza; J.H.C. Ribeiro","823","2010","01","09","América do Sul","Brasil","Minas Gerais",NA,NA,"Erva no interior de mata. Sépalas amarelas e pétalas fundidas em um tubo amarelo com bordo branco.","CESJ055352","Angiosperma","C.V. Morton","A. Chautems","2010","03","Descoberto","Serra do Relógio, RPPN Alto da Boa Vista. Ponto 2 da fitossociologia","-42.9674987792969","-21.4596996307373","11991","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 06:28:39-03","MNHN","RECOLNAT_MNHN_P","P00606344","PreservedSpecimen",NA,"Gesneriaceae","Besleria","meridionalis","Besleria meridionalis","isotype","Gardner, G.",NA,NA,NA,NA,NA,"Brésil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00606344' target='other'> <mi>dwc_moreinfo</mi></a>","P00606344",NA,"Morton","Leeuwenberg",NA,NA,NA,"Minas Geraes",NA,NA,NA,NA,"4974","P00606344_01",NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:36:40-03","UFMG","BHCB","34890","PreservedSpecimen","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis",NA,"Teixeira, EM","s.n.","1993","06","02","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,"Dicotyledon","C.V.Morton",NA,NA,NA,"Cataguases",NA,"-42.6967010498047","-21.3892002105713","21268","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","702426","PreservedSpecimen","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis","Isotype","G. Gardner","4974","1840","10",NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US00126130",NA,"C.V. Morton",NA,NA,NA,NA,"Near Papagaio.",NA,NA,NA,NA,NA,"US00126130_01","Dicotyledonae","Scrophulariales","1",NA,NA,NA
"7","2016-08-23 10:59:24-03","NHMLondon","NHM-LONDON-BOT","BM000992322","S","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis","Isotype","George Gardner; b.1812; d.1849; Gardner","4974","1840","10",NA,NA,"Brasil","Minas Gerais",NA,"NHMUK:ecatalogue:482663","<a href=http://www.nhm.ac.uk/services/media-store/asset/3743dc508eed8a6f98c711f4de38f982d3df307e/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Morton","Laurence Edgar (Larry) Skog; b.1943; L.E.Skog","1984",NA,NA,NA,"-44.096503","-19.690239",NA,NA,NA,NA,NA,NA,NA,"-44.096503","-19.690239",NA
"8","2016-08-23 10:59:24-03","NHMLondon","NHM-LONDON-BOT","BM000992323","S","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis","Isotype","George Gardner; b.1812; d.1849; Gardner","4974","1840","10",NA,NA,"Brasil","Minas Gerais",NA,"NHMUK:ecatalogue:482666","<a href=http://www.nhm.ac.uk/services/media-store/asset/a111980721fca09e10009a673c770a3744649a02/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Morton","Laurence Edgar (Larry) Skog; b.1943; L.E.Skog","1984",NA,NA,NA,"-44.096503","-19.690239",NA,NA,NA,NA,NA,NA,NA,"-44.096503","-19.690239",NA
"9","2014-09-23 10:57:56-03","G","G","G00370733","S","Plantae","Gesneriaceae","Besleria","meridionalis","Besleria meridionalis","ISOTYPUS of Besleria meridionalis C. V. Morton","Gardner, G.","4974","1842",NA,"00","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00370733",NA,"C. V. Morton","Chautems, A.","2006","01",NA,NA,"-45.44222222","-18.78777778",NA,NA,NA,NA,NA,NA,NA,"-45.44222222","-18.78777778","01"
