"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","fieldNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","sex","preparationType"
"1","2018-05-10 13:30:57-03","AMES","HU-HERB","AMES 00074286","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","garayi","Pleurothallis garayi","Pabst","Isotype","R. A. Kautsky","405","405","1973","7","27","South America","Brazil","Espirito Santo","Munic. Castelo, Morro Forno Grande","1100","undetermined","Jar,Sheet"
"2","2018-05-10 13:30:57-03","AMES","HU-HERB","AMES 00085645","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","garayi","Pleurothallis garayi","Pabst","Type material","R. A. Kautsky","405","405","1973","7","27","South America","Brazil","Espirito Santo","Munic. Castelo, Morro Forno Grande","1100",NA,"Jar,Sheet"
