"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","9025","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha","(Kiaersk.) Landrum","Marcos Sobral","M. Verdi; R. P. Hasckel & G. Klemz","1923","2009","04","03","Brasil","Santa Catarina","Urubici","Campo dos Padres.","-49.412222","-27.992222","49º24'44''W","27º59'32''S","896","896","Floresta Ombrófila Mista","CRI005365","CRI005365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:39-03","UNESC","CRI","13042","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha","(Kiaersk.) Landrum","Sobral, M","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","110","2014","08","20","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.196944","-27.109722","49º11'49''W","27º6'35''S","630","630","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","CRI011634",NA,"2015","07","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","11309","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha","(Kiaersk.) Landrum","M. Sobral","A. Stival-Santos; E. Legal & S. Silveira","2421","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves.","-48.96","-27.54","48º57'36''W","27º32'24''S","718","718","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arvoreta","CRI005364","CRI005364","2010","10","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:53-03","E","E","196787","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha",NA,NA,"Bohrer, C.","143",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00196787 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196787",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:228517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1039500","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha","(Kiaersk.) Landrum","M. F. d. Santos","M. F. d. Santos","266","2008","03","13","Brazil","Minas Gerais","Itambé do Mato Dentro","Distrito de Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Mata do Cachoeirão.","-43.43286","-19.43186",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487542' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039500","NY01039500_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615910","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha major","(D.Legrand) Landrum","L. R. Landrum","L. R. Landrum","2910","1977","12","15","Brazil","Paraná","Sao José dos Pinhais","Road to Guaricana; low area where the electricity wires come near road","-49","-25.67",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615910","NY00615910_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","major",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615911","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha major","(D.Legrand) Landrum","L. R. Landrum","L. R. Landrum","2972","1977","12","27","Brazil","Rio Grande do Sul",NA,"Fortaleza near Cambará on the eastern edge of the Plan Alto","-50","-29",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615911","NY00615911_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","major",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615907","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha pilotantha","(Kiaersk.) Landrum","L. R. Landrum","R. Reitz","10992","1961","04","13","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615907","NY00615907_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","pilotantha",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615908","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha major","(D.Legrand) Landrum","L. R. Landrum","R. Reitz","9544","1960","02","06","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.132229","-27.025081",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615908","NY00615908_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","major",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615904","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","pilotantha","Myrceugenia pilotantha","(Kiaersk.) Landrum",NA,"S. de V. A. Pessôa","498","1989","08","31","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Pedra Bicuda","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=69334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615904","NY00615904_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,"33190","auto",NA,NA,NA,NA,NA,NA
