"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","imagecode","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","order","individualCount","relatedCatalogItem"
"1","2019-11-21 14:32:49-03","UFJF","CESJ","42662","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","R. Braga & Sucre","E.M.C. Leme","2001","G. Hatschbach; et al.","68335","1998","10","08","América do Sul","Brasil","Espírito Santo","Conceição do Castelo","Ribeirão do Meio","-41.2439002990723","-20.3682994842529","17824","Flor vermelha, folhas com o verso purpúreo. Paredões rochosos.","CESJ042662","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:09:06-03","UFES","VIES","38609","S","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","R.Braga & Sucre","Manhães, V.C.","2014","Manhães, V.C.","528","2014","12","13",NA,"Brasil","Espírito Santo","Castelo",NA,"-41.184700012207","-20.6035995483398","23588",NA,"VIES038609","auto","11","01","VIES038609",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:19:27-03","MBM","MBM","231879","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","R.Braga & Sucre","Leme, E.M.C.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","68335","1998","10","08","Southern America","Brazil","Espírito Santo","Conceição do Castelo","Ribeirão do Meio","-41.2439002990723","-20.3682994842529","17824",NA,"MBM231879","auto",NA,NA,"MBM231879",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:19:27-03","MBM","MBM","105378","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","R.Braga & Sucre","Leme, E.M.C.",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","49981","1985","10","20","Southern America","Brazil","Espírito Santo","Conceição do Castelo","Venda Nova, Torre Telemig","-41.2439002990723","-20.3682994842529","17824",NA,"MBM105378","auto",NA,NA,"MBM105378",NA,NA,NA,NA,NA,NA,NA,NA
"5","2009-12-04 16:24:00-02","MO","MOBOT","3014939","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","Braga & Sucre",NA,NA,"Gert G. Hatschbach|J.M. Silva","Hatschbach 49981","1985",NA,NA,"South America","Brazil","Espírito Santo",NA,"Venda Nova, torre Telest (mun. Conceição do Castelo).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","51078",NA,"Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","R.Braga & Sucre","A.P. Fontana/25-04-2009",NA,"A. P. Fontana; L. Kolmann, E. Leme & C. Esgario","5920","2009","04","25",NA,"Brasil","Espírito Santo","Conceição do Castelo","BR 262. Afloramento rochoso granítico em frente ao acesso para Riacho do Meio.","-41.263889","-20.2775",NA,"Erva rupícola. Folhas com face abaxial roxa e adaxial glauca. Inflorescência seca.","MBML051078",NA,NA,NA,"MBML051078","1043","41W15'50","20S16'39","1043",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2863588","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii","Braga & Sucre",NA,NA,"R. W. Read & L. Lehtonen","8091","1980","5",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Rio de Janeiro","Originally grown by Roberto Burlearx. Plants cultivated since 1975 in S.I. Bot. greenhouse. Flowered May 1980.","-43.2075004577637","-22.9027996063232","57442",NA,"US01935256","auto",NA,NA,"US01935256_01",NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA
"8","2020-07-23 12:01:00-03","CEPLAC","CEPEC","58164","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii",NA,"E. M. C. Leme",NA,"G. Hatschbach","49981","1985","10","20",NA,"Brasil","Espírito Santo","CONCEIÇÃO DO CASTELO","Venda Nova, torre Telest.","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1991"
"9","2020-07-23 12:01:00-03","CEPLAC","CEPEC","99128","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","burle-marxii","Pitcairnia burle-marxii",NA,"E. M. C. Leme",NA,"G. Hatschbach","68335","1998","10","08",NA,"Brasil","Espírito Santo","CONCEIÇÃO DO CASTELO","Ribeirão do Meio.","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2001"
