"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","typeStatus","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-09-23 10:41:10-03","E","E","134661","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Dubs, Balthasar","2614","1998","11","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143066","<a href=http://data.rbge.org.uk/herb/E00134661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:10-03","E","E","162868","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Dubs, Balthasar","1543","1994","07","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171079","<a href=http://data.rbge.org.uk/herb/E00162868 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02108245","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","D. Philcox","3965","1968","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2259044' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108245","Magnoliophyta","Myrtales","Koehne","Mato Grosso","Km. 230, Xavantina-Cachimbo road.","-51.77","-12.82","NY02108245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02108246","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","K. Mizoguchi","2550","1985","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2259045' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108246","Magnoliophyta","Myrtales","Koehne","Mato Grosso","Bairro de Papua Campo, 2500 km NW, from São Pauro.","-56.4458","-14.4086","NY02108246_01","Diamantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","39755","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Martii Herbar. Florae Brasil.","870","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039755","Magnoliophyta","Myrtales","Mart. ex Koehne","Mato Grosso","[From protologue: Serra da Cima, prope Cuiaba].",NA,NA,"NY00039755_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:01:46-03","NBC","NL-BOTANY","L.2478818","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2478818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2478818",NA,"Myrtales","Mart.",NA,"Brasil.",NA,NA,"NL-L2478818",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:01:46-03","NBC","NL-BOTANY","U.1362460","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Philcox D; Fereira A",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1362460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1362460",NA,"Myrtales","Mart.","Mato Grosso",NA,NA,NA,"NL-U1362460",NA,NA,"Magnoliopsidae","Cavalcanti TB","1999","08","01","U 0026328",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:20-03","ESALQ","ESA","32357","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Dubs, B.","1543.0","1994","07","21",NA,"Brasil",NA,NA,NA,"ESA032357","Magnoliophyta",NA,"Mart.","Mato Grosso",NA,"-56.4824981689453","-14.5136003494263","ESA032357","Alto Paraguai",NA,NA,"Cavalcanti, T.B.",NA,NA,NA,NA,"78022","auto",NA,NA,NA,NA,NA
"9","2014-10-14 15:56:52-03","BS","M","M-0146143","S","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"M0146143","Magnoliophyta","Myrtales","Koehne",NA,"Serra do Cima bei Cuiabá.",NA,NA,NA,NA,"HOLOTYPE","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-10-14 15:56:52-03","BS","M","M-0146144","S","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"M0146144","Magnoliophyta","Myrtales","Koehne",NA,"Brasilia.",NA,NA,NA,NA,"ISOTYPE","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
