"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:34:14-03","UNESC","CRI","1712","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","Marcos Sobral","C. M. Martinello; A. J. de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI007840","CRI007840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","1738","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","Marcos Sobral","Vanilde Citadini-Zanette; C. M. Martinello","1993","02","12","Brasil","Santa Catarina","Orleans","-49.301111","-28.340556","49º18'4''W","28º20'26''S","CRI007841","CRI007841","1717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:10-03","UNESC","CRI","10287","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","M. Sobral","Vanilde C. Zanette; Robson dos Santos & Marcos Sobral","2004","11","17","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007836","CRI007836",NA,"2004","11","17","UNESC.","48","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:14-03","UNESC","CRI","9237","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","Birgit Harter Marques","Birgit Harter Marques","2006","09","27","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S","CRI007842","CRI007842",NA,"2006",NA,NA,"MIna do Trevo.","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:14-03","UNESC","CRI","5039","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","Marcos Sobral","Vanilde Citadini-Zanette","1996","11","04","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI007835","CRI007835","2192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:14-03","UNESC","CRI","11093","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","M. Sobral","M. Verdi; D.h. klettenberg e G. Klemz","2009","11","03","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007843","CRI007843","2934","2010","01","25","Bairro Universitário (Próximo a Unesc).","58","58","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:14-03","UNESC","CRI","3621","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","M. Sobral","V. C. Zanette","1991","10","24","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI007838","CRI007838","2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:14-03","UNESC","CRI","1711","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","Marcos Sobral","Vanilde Citadini-Zanette; C. M. Martinello e A.J. Aguia","1991","10","24","Brasil","Santa Catarina","Orleans","-49.316667","-28.338611","49º18'60''W","28º20'19''S","CRI007844","CRI007844","1693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:11-03","UNESC","CRI","3346","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand",NA,"Clair Maria Martinello; Clair Maria Martinello","1992","01","10","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI007837","CRI007837","37",NA,NA,NA,"Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:14-03","UNESC","CRI","1477","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tenuifolia","Symplocos tenuifolia","Brand","A. Bida","R. R. B. Negrella","1992","01","11","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI007839","CRI007839",NA,"1992","06","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
