"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","11488","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze","Karoline Ceron","Karoline Ceron; Humberto de B. M; Peterson T. P e Guilherme A.E.","2013","08","29","Brasil","Santa Catarina","Urussanga","Rio Carvão.","-49.3225","-28.501944","49º19'21''W","28º30'7''S","98","98","Floresta Ombrófila Densa Submontana Habitat: mata ciliar Habito: herbácea terrícola","CRI005836","CRI005836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4103298","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"J. A. Steyermark","1970","08","11","Venezuela","Lara","Iribarren","Laguna Los Papelones, en la selva nublada en la Fila de Las Goteras, arriba de las cabeceras del Río Claro, al sur de Río Claro",NA,NA,NA,NA,"1500","1550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423339' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103298",NA,"Magnoliophyta","Asparagales","103701","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04103293","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"F. W. Pennell","1917","12","26","Colombia","Tolima","Líbano",NA,NA,NA,NA,NA,"1500","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423334' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103293","NY04103293_01","Magnoliophyta","Asparagales","3394","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4103296","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"W. H. Camp","1945","03","10","Ecuador","Azuay",NA,"Pacific side of the pass. Nudo de Portete; pass between headwaters of the ríos Tarqui (Atlantic) and Giron (Pacific)",NA,NA,NA,NA,"2743",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423337' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103296","NY04103296_01","Magnoliophyta","Asparagales","E2144","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4103295","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"W. H. Camp","1945","03","03","Ecuador","Azuay",NA,"Along the río Matadero, west of Cuenca",NA,NA,NA,NA,"3048","3200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423336' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103295","NY04103295_01","Magnoliophyta","Asparagales","E2020","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4103294","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"J. H. Kirkbride Jr.","1972","09","29","Colombia","Magdalena",NA,"In forest on W side of Quebrada Botella along Camino to San Pedro de la Sierra","-73.97","10.93",NA,NA,"1650","1750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423335' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103294","NY04103294_01","Magnoliophyta","Asparagales","2255","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4103300","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"J. A. Steyermark","1970","08","04","Venezuela","Lara","Palavecino","laderas pendientes mirando al sureste en la quebrada de La Toma, en la Loma Redonada, al sur de Terepaima, 25 Kms. al sur de Cabudare",NA,NA,NA,NA,"1100","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423341' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103300",NA,"Magnoliophyta","Asparagales","103344","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4103299","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"J. A. Steyermark","1970","08","08","Venezuela","Lara","Jiménez","selva nublada, Montaña Oscura, en La Briza, a lo largo del camino conduciendo hacia a Yacambú, 10 Kms. noroeste de El Blanquito, 10 Kms. SSE de Sanare",NA,NA,NA,NA,"1630",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423340' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103299",NA,"Magnoliophyta","Asparagales","103601","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4103297","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","excavata","Malaxis excavata","(Lindl.) Kuntze",NA,"J. A. Steyermark","1970","08","04","Venezuela","Lara","Palavecino","selva nublada, Fila de Terepaima, entre el Alto de Chuparral y la Loma Redonda, 21-23 Kms. al sur de Cabudare",NA,NA,NA,NA,"1300","1460","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423338' target='other'> <mi>dwc_moreinfo</mi></a>","NY04103297",NA,"Magnoliophyta","Asparagales","103388","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02695412","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","maguirei","Malaxis maguirei","C.Schweinf.",NA,"G. H. H. Tate","1927","12","03",NA,NA,NA,"British Guiana and Northern Brazil. Mt. Roraima, upper slopes, Rondon Camp","-60.73","5.23",NA,NA,"2103",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972146' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695412",NA,"Magnoliophyta","Asparagales","488","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
