"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","monthIdentified","dayIdentified","recordNumber","month","day","imagecode","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","typeStatus","individualCount"
"1","2021-04-05 14:24:58-03","UNESC","CRI","8596","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Vanilde Citadini-Zanette","2006","Vanilde Citadini-Zanette; Alecsandro Shardosim Klein","2006","Brasil","Santa Catarina","Urussanga","Rio Carvão Alto","-49.3175","-28.522778","49º19'3''W","28º31'22''S","300","300","Trabalho realizado pelo mestrando Alecsandro Shardosim Klein - Mestrado de Ciências Ambientais (UNESC)","CRI012876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:18-03","UNESC","CRI","11656","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","F.F. Pastório","2015","A. A. de Oliveira","2015","Brasil","Santa Catarina","Timbó Grande","Santa Maria.","-50.751389","-26.645","50º45'5''W","26º38'42''S","1269","1269","Floresta Ombrófila Mista Habito: subarbustiva","CRI001185","04","29","2051","03","08","CRI001185",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","811771","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","M. R. Ritter",NA,"P. K. H. Dusén","1916","Brazil","Paraná",NA,"Nova Galicia.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811771",NA,NA,"17701","02","18","NY00811771_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA
"4","2020-02-08 08:50:31-03","NBC","NL-BOTANY","L.3734683","PreservedSpecimen","Plantae","Compositae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto",NA,NA,"Ritter MR","2000","Brazil",NA,NA,"RS - Cambara do Sul, estrada para Sao Jose dos Ausentes, RS 020, a 7 km do entroncamento para.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3734683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3734683",NA,NA,NA,"05","09","NL-L3734683",NA,"Asterales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA
"5","2020-11-04 11:01:57-03","ESALQ","ESA","55201","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","Loeuille, B.",NA,"Coelho, R.L.G.","2007","Brasil","Santa Catarina","Limite entre Painel e Urupema","Fazenda Farofa, trilha do Rio Caveiras. Vegetação secundária de Floresta Ombrófila Mista Aluvial.",NA,NA,NA,NA,"1342","1342","Liana. Flores brancas.","ESA055201",NA,NA,"188.0","04","05","ESA055201","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:01:57-03","ESALQ","ESA","55324","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","Loeuille, B.",NA,"Loeuille, B.","2007","Brasil","Santa Catarina","Urupema","Fazenda das Ovelhas. Sub-bosque.","-49.8731002807617","-27.9528007507324",NA,NA,"1557","1557","Liana. Flores alvas.","ESA055324",NA,NA,"232.0","04","09","ESA055324","Magnoliophyta",NA,NA,NA,NA,"23096","auto",NA,NA
"7","2019-08-27 13:27:41-03","IAP","PACA-AGP","6734","PreservedSpecimen","Plantae","Compositae","Mikania","oreophila","Mikania oreophila","M. R. Ritter & Miotto","M. R. Ritter","2003","Rambo, B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VULNERÁVEL Fenofase: flor","PACA006734","09","20",NA,NA,NA,NA,"Magnoliophyta","Asterales",NA,NA,"Magnoliatae",NA,NA,NA,NA
"8","2019-08-27 13:27:41-03","IAP","PACA-AGP","4572","PreservedSpecimen","Plantae","Compositae","Mikania","oreophila","Mikania oreophila","M. R. Ritter & Miotto","M. R. Ritter","2003","Rambo, B.","1941","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto scandens Fenofase: flor","PACA004572","09","20",NA,"02","08",NA,"Magnoliophyta","Asterales",NA,NA,"Magnoliatae","76715","auto",NA,NA
"9","2019-08-27 13:27:41-03","IAP","PACA-AGP","4473","PreservedSpecimen","Plantae","Compositae","Mikania","oreophila","Mikania oreophila","M. R. Ritter & Miotto","M. R. Ritter","2003","Rambo, B.","1941","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto scandens Fenofase: flor","PACA004473","09","20",NA,"02","08",NA,"Magnoliophyta","Asterales",NA,NA,"Magnoliatae","76715","auto",NA,NA
"10","2021-03-01 16:24:47-03","UNICAMP","UEC","175795","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Loeuille, BFP","2007","Coelho, RLG; Delfini-Feliciano, C; Pinho-Ferreira, MA; Shimizu, GH; et al.","2007","Brazil","Santa Catarina",NA,"Limite entre Painel e Urupema. Fazenda Farofa, trilha do Rio Caveiras.","-49.871389","-27.913889","-49.871389","-27.913889","1342","1342","Liana, flores brancas.; Vegetação secundária de Floresta Ombrófila Mista Aluvial .","UEC125928","05",NA,"ESA55201","04","05","UEC125928","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
