"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","499071","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer","holotype","H. S. Irwin","2754","1959","03","01","South America","Brazil","Espírito Santo","Alegre","Pico da Bandeira, Serra Caparaó.","-41.796687","-20.434034","2667","2667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499071","NY00499071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","129539","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Souza, V.C.; Randle, C; Morawetz, J.; Santos, P.M.L.A.; Servidone, G.B.","38090.0","2014","03","18",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha entre o Terreirão e o Pico da Bandeira.","-41.8683013916016","-20.4333000183105",NA,NA,NA,"Subarbusto, ca. 25 cm alt.; corola rósea.","ESA129539","ESA129539","Souza, V.C.","2014","03","19","21645","auto",NA,NA,NA,NA,NA
"3","2020-11-04 12:17:40-03","ESALQ","ESA","121887","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis",NA,NA,"Kuntz, J.","630.0","2012","03","01",NA,"Brasil","Espírito Santo","Dores do Rio Preto","Trilha para Pedra Duas Irmãs. Parque Nacional do Caparaó.","-41.8452987670898","-20.6888999938965",NA,NA,NA,"Erva ca. 30 cm alt., flores rosa.","ESA121887","ESA121887",NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA
"4","2020-11-04 12:17:40-03","ESALQ","ESA","64724","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23573.0","2000","02","21",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Arredores do Terreirão. Campo de altitude.","-418.167",NA,"2300","2300",NA,"Erva; flores róseas","ESA064724","ESA064724","Souza, V.C.",NA,NA,NA,NA,NA,"-418,167","-20,416,667",NA,NA,NA
"5","2020-11-04 12:17:40-03","ESALQ","ESA","110372","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis",NA,NA,"Colletta, G.D.","214.0","2009","05","12",NA,"Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"ESA110372","ESA110372 ESA110372_v1 ESA110372_v2 ESA110372_v3","Souza, V.C.",NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA
"6","2020-11-04 12:17:40-03","ESALQ","ESA","26248","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Leoni, L.S.","1443.0","1991","03","03",NA,"Brasil","Minas Gerais","Caparaó",NA,"-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"ESA026248","ESA026248","Souza, V.C.",NA,NA,NA,"15056","auto",NA,NA,NA,NA,NA
"7","2020-11-04 12:17:40-03","ESALQ","ESA","62220","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis",NA,NA,"Elias, S.I. et al.","362.0","1998","02","01",NA,"Brasil","Minas Gerais","Caparaó",NA,"-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"ESA062220",NA,NA,NA,NA,NA,"15056","auto",NA,NA,NA,NA,NA
"8","2020-11-04 12:17:40-03","ESALQ","ESA","37374","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12210.0","1996","09","02",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Caminho entre Tronqueira e o Pico da Bandeira (20º25'54.0S, 41º48'27.4W). Campo de altitude.","-41.8683013916016","-20.4333000183105","1970","1970",NA,"Planta completamente seca.","ESA037374","ESA037374",NA,NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA
"9","2020-11-04 12:17:40-03","ESALQ","ESA","117451","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis",NA,NA,"Romão, G.O.; Colletta, G.D.; Latvis, M.; Gissi, D.S.","2749.0","2010","04","01",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira. Campo rupestre","-41.8683013916016","-20.4333000183105","2000","2890",NA,"Subarbuto, 10-25cm alt.; corola rosada (coletada em sílica gel).","ESA117451","ESA117451_1",NA,NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA
"10","2020-11-04 12:17:40-03","ESALQ","ESA","81085","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Souza, V.C.; Mazine, F.F.; Tsuji, R.","26982.0","2001","08","27",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha entre o Terreirão e o Pico da Bandeira. Campo de altitude.","-41.8683013916016","-20.4333000183105",NA,NA,NA,"Erva. Vegetativo.","ESA081085",NA,"Souza, V.C.",NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA
