"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017153","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","P. H. Labiak E.","P. H. Labiak E.","4435","2008","01","10","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Subida para o Planalto do Itatiaia.","-44.5631","-22.4961","2050","2050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199811' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017153","NY01017153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","149443","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.",NA,"A. C. Brade","6482","1913","06",NA,"South America","Brazil","Rio de Janeiro",NA,"Itatiaya [=Itatayia]","-44.617038","-22.371537","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=387609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00149443","NY00149443_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1144528","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.",NA,"L. Sylvestre","1896","2006","12",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Brejo da Lapa.","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293374' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144528","NY01144528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:35-03","UFRJ","RFA","43080","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","Oliveira, R.G. & Guarnier G.B.","Guarnier, G.B.; Oliveira, R.G.","s.n.","2018","09","22",NA,"Brasil","Minas Gerais","Itamonte","Brejo da Lapa","-44.737222","-22.357222","2156","2156",NA,"Habitat: Solo Habito: Herbáceo","RFA42928",NA,NA,"2018","09","26","44º44'14''W","22º21'26''S",NA,NA,NA
"5","2021-03-01 16:43:43-03","UNICAMP","UEC","58236","S","Plantae","Pteridophyta",NA,"Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","Salino, A","Krieger, L","298","1988","09","18",NA,"Brazil","Minas Gerais",NA,"Parque Nacional do Caparaó, Cachoeira Bonita.",NA,NA,NA,NA,NA,"Em touceiras isoladas.","UEC067425","UEC067425",NA,"1989","05",NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:55:00-03","UFOP","OUPR","10849","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosent.","Almeida, T.E.","s.col.","s.n.",NA,NA,NA,NA,"Indisponível",NA,NA,NA,NA,NA,NA,NA,NA,"Erva. Terreno pedregoso e úmido.",NA,NA,NA,"2008","04","16",NA,NA,NA,NA,NA
"7","2020-12-21 16:23:08-03","MBM","MBM","339494","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","Labiak, P.","Labiak, P.; et al.; et al.","4435","2008","01","10","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Subida Para o Planalto do Itatiaia.","-44.5633010864258","-22.4960994720459","2050","2050",NA,"Terrestre, no interior da mata. Floresta Atlântica e campos de altitude","MBM339494","MBM339494",NA,"2008","01",NA,NA,NA,"19648","auto",NA
"8","2019-11-01 15:33:14-03","PUC-RIO","FCAB","7299","PreservedSpecimen","Plantae",NA,"Pteridophyta","Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","J. Condack","J. Condack; C.M.J. Mattos","746","2015","08","01",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia","-44.736806","-22.357139","2100","2100",NA,"Terrícola em fragmento de mata nebular as margens da estrada que vai para o Planalto. Brejo da Lapa","007299",NA,NA,"2015","08","01","-44.736806","-22.357139",NA,NA,NA
"9","2019-11-01 15:33:14-03","PUC-RIO","FCAB","7298","PreservedSpecimen","Plantae",NA,"Pteridophyta","Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","J. Condack","J. Condack; C.M.J. Mattos","745","2015","08","01",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia","-44.736806","-22.357139","2100","2100",NA,"Terrícola em fragmento de mata nebular as margens da estrada que vai para o Planalto. Brejo da Lapa","007298",NA,NA,"2015","08","01","-44.736806","-22.357139",NA,NA,NA
"10","2019-11-01 15:33:14-03","PUC-RIO","FCAB","7300","PreservedSpecimen","Plantae",NA,"Pteridophyta","Dryopteridaceae","Polystichum","bradei","Polystichum bradei","Rosenst.","J. Condack","J. Condack; C.M.J. Mattos","747","2015","08","01",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia","-44.736806","-22.357139","2100","2100",NA,"Terrícola em fragmento de mata nebular as margens da estrada que vai para o Planalto. Brejo da Lapa","007300",NA,NA,"2015","08","01","-44.736806","-22.357139",NA,NA,NA
