"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","class","order","typeStatus","individualCount","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2008-05-27 22:02:00-03","MO","MOBOT","244799","PreservedSpecimen","Plantae","Poaceae","Aristida","subaequans","Aristida subaequans","Döll","W.J. Burchell","Burchell 5025 Pt.","South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","81245","PreservedSpecimen","Plantae","Poaceae","Aristida","subaequans","Aristida subaequans","Döll in Mart.","W. J. Burchell","5025 p.p.","South America - Neotropics","Brazil","São Paulo","Monocotyledonae","Cyperales","Type fragment","1","US00405830","US00405830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-13 11:28:40-03","USP","SPF","84469","PreservedSpecimen","Plantae","Poaceae","Aristida","subaequans","Aristida subaequans","Döll","Joly, AB","404",NA,"Brasil","São Paulo",NA,NA,NA,NA,"SPF00084469","SPF00084469","Parodi, LR","1947","04","01","São Paulo","Campos de Butantã.","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA
"4","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Aristida","subaequans","Aristida subaequans","Döll","Burchell, WJ","5025ex p.","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"P02P3N0004",NA,NA,NA,NA,NA,"in prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 10:14:45-03","IBt","SP","488072","S","Plantae","Poaceae","Aristida","subaequans","Aristida subaequans","Döll","Rodrigues, RS; Filgueiras, TS; Kawakita, K","337",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Rodrigues, RS","2013","01","29","Guarulhos","Próximo ao Parque Municipal Sítio da Candinha.","-46.463583","-23.399889",NA,NA,"2015","11","30","-46.463583","-23.399889","714","714"
