"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","9706","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","M. Sobral","2010","01","25","S. Dreveck; F. E. Carneiro","1496","2009","12","08","Brasil","Santa Catarina","São Bento do Sul","Rio Mandioca.","-49.320278","-26.370556","49º19'13''W","26º22'14''S","306","306","Floresta Ombrófila Densa Habitat: mata ciliar, no interior do fragmento Habito: arvoreta","CRI005234","CRI005234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","1786","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Marcos Sobral",NA,NA,NA,"Vanilde Citadini Zanette; A. J. de Aguiar & R. dos Santos","1763","1993","01","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI005237","CRI005237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","445","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche, Aurélio José de Aguiar & Jairo Viana de Oliveira Jr.","862","1990","07","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: interior de mata atlântica secundária de encosta Habito: árvore","CRI005239","CRI005239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","6069","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; et al.","2455","1997","01","08","Brasil","Santa Catarina","Morro Grande","Pingador, Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habitat: Floresta Ombrófila Densa","CRI005238","CRI005238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","1739","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; A. J. Aguiar e R. dos Santos",NA,"1993","01","06","Brasil","Santa Catarina","Orleans",NA,"-49.285278","-28.368333","49º17'7''W","28º22'6''S",NA,NA,NA,"CRI005241","CRI005241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","1747","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; A. J. Aguiar e C. M. Martinello",NA,"1993","04","13","Brasil","Santa Catarina","Orleans",NA,"-49.285278","-28.368333","49º17'7''W","28º22'6''S",NA,NA,NA,"CRI005240","CRI005240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","1675","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Marcos Sobral","1993","08","12","V. Citadini-Zanette; C. M. Martinello & C. E. Dário","1576","1993","03","02","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI005236","CRI005236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:47-03","UNESC","CRI","1723","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ferruginosa","Myrcia ferruginosa","Mazine","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello & R. B. Negrelle","1702","1993","02","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arbórea","CRI005235","CRI005235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:47-03","E","E","394766","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","florida","Eugenia florida",NA,NA,NA,NA,NA,"Gardner, George","1017","1905","01","12","BR","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00394766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394766",NA,"isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:443013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:47-03","E","E","167686","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","florida","Eugenia florida",NA,NA,NA,NA,NA,"Bertoni, J.E.A.","11469","1980","09","03","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167686",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:176639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
