"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","805067","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","R. Reitz","6476","1958","02","05","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2656","-26.1925","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805067","NY00805067_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","805065","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","G. G. Hatschbach","44563","1982","02","09","South America","Brazil","Paraná","Rio Branco do Sul","Serra do Bromado","-49.3142","-25.1903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805065","NY00805065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","805066","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","L. B. Smith","14804","1965","01","18","South America","Brazil","Paraná","Jaguariaíva","Fazenda Cajurú, source of Rio Cajurú","-49.32","-24.17","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805066","NY00805066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:52:07-03","NBC","NL-BOTANY","L 0374986","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Vernonia","exigua","Vernonia exigua","Cabrera","Reitz R; Klein RM",NA,"1958","02","05","Southern America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200374986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0374986",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-12 12:03:03-03","UFPI","TEPB","17335","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cebrera) H. Rob","R. Romero","2013","1995","03","19",NA,"Brasil","Minas Gerais","São Roque de Minas","entrada da serra das sete voltas, PARNA Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Herbáceo, ca 0,4m. Brácteas arroxeadas. Corola e Estigmas púrpuras. Ambiente: Campo rupestre",NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-05 16:44:59-03","UFOP","OUPR","22427","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Chapada","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,"44599","auto","Almeida, G.; Dematteis, M.","2012",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-12 10:29:00-03","UFOP","OUPR","34219","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Pedrosa, L.G.","1695","2019","07","01",NA,"Brasil","Minas Gerais","Ouro Preto","Fazenda das Lagoas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva/subarbusto, 30cm. Flores lilases. Cerrado.",NA,NA,NA,"44599","auto","Pedrosa, L.G.","2019","07","01",NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:44:59-03","UFOP","OUPR","31004","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Pedrosa, L.G.","204","2018","04","20",NA,"Brasil","Minas Gerais","Ouro Preto","Rodrigo Silva","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, 25-40cm. Flores lilases. Cerrado.",NA,NA,NA,"44599","auto","Nakajima, J.N.","2019","06",NA,NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:56:23-03","BS","M","M-0031114","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Reitz, R.",NA,"1958","02","04",NA,"Brasil",NA,NA,"Plantas de Santa Catarina; Morro do Iquererim, S. Franciso do Sul.",NA,NA,NA,NA,NA,NA,"M0031114",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"NOTATYPE","21:00",NA,NA,NA,NA
"10","2020-12-21 16:16:23-03","MBM","MBM","247365","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Hatschbach, G.; Ziller, S.R.; Ziller, S.R.","68943","1999","02","04","Southern America","Brazil","Paraná","Ponta Grossa","Vila Velha, fundos da capela","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM247365","MBM247365",NA,"46557","auto","Cordeiro, J.; Ribas, O.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA
