"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","maximumElevationInMeters","typeStatus","individualCount","class","dayIdentified","relatedCatalogItem"
"23","2020-11-23 11:39:08-03","IAC","IAC","53728","S","Plantae",NA,NA,"Myrtaceae-2.Myrtoideae","Eugenia","plicata","Eugenia plicata","Nied.","M.C.R. Campos & R. Belinelo","M.C.R. Campos & R. Belinelo","846","2006","07","17",NA,"Brasil","São Paulo","Ubatuba","Núcleo Picinguaba/PESM, trilha da Casa da Farinha","-45.0711","-23.4339",NA,NA,NA,"Composição florística, estrutura e funcionamento da Floresta Ombrófila Densa dos Núcleos Picinguaba e Santa Virgínia do Parque Estadual da Serra do Mar.&nf;Parcela E, subparcela 88",NA,NA,NA,"-45.0711","-23.4339","2006","07",NA,NA,NA,NA,"17",NA
"24","2020-11-23 11:39:08-03","IAC","IAC","54004","S","Plantae",NA,NA,"Myrtaceae-2.Myrtoideae","Eugenia","plicata","Eugenia plicata","Nied.","A.C.O. Souza et al.","A.C.O. Souza; L.C. Bernacci & R. Belinelo","61","2011","03","15",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca","-45.109914","-23.360372",NA,NA,NA,NA,NA,NA,NA,"-45.109914","-23.360372","2011","03",NA,NA,NA,NA,"15",NA
"25","2020-07-23 12:15:50-03","CEPLAC","CEPEC","53951","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata",NA,"K. Coutinho","W. W. Thomas","8823","1996","07","01",NA,"Brasil","Bahia","URUÇUCA","7.3Km ao N de Serra Grande, Rod. para Itacaré. Faz. Lagoa. Parcela 47. Árvore #2391","-39.016667","-14.416667",NA,NA,NA,"<ll>dwc_commonname:</ll> Murta",NA,NA,NA,"39W1'","14S25'",NA,NA,NA,NA,NA,NA,NA,"30/05/2013"
"26","2020-07-23 12:15:50-03","CEPLAC","CEPEC","6099","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata",NA,"M. Sobral","T. S. dos Santos","1114","1970","09","19",NA,"Brasil","Bahia","BELMONTE","Área da Estação Experimental de Belmonte. CEPLAC.","-38.8828010559082","-15.8631000518799","71281",NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/09/1988"
"27","2019-11-01 15:05:43-03","UnB","UB","186370","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Sobral, M","Silva, LAM; Brito, HS","2588","1988","10","24","Southern America","Brasil","Bahia","Mascote","Fazenda N.S. D'Ajuda com sede a 500 m da cidade. Mata releada recentemente, a 1 km à Noroeste da sede. Região de mata Higrófila Sul Baiana. Ramal Mascote/ Ponte do Rio Pardo.","-39.3025016784668","-15.563099861145","37487",NA,NA,"Coleta de folhas para análises.&nf;CEPEC 44107&nf;MBM 179384&nf;SP 271437&nf;RB 347298&nf;&nf;; Árvore fina, 6 m de altura. Flores brancas, sépalas esverdeadas.; Solo argilo-silicoso.",NA,NA,"auto",NA,NA,"2004","01",NA,NA,NA,NA,"01",NA
"28","2019-11-01 15:05:43-03","UnB","UB","130971","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Santana, KC","Jardim, JG","1019","1997","02","28","Southern America","Brasil","Bahia","Almadina","Rodovia Almadina/Ibitupã, entrada a 7 km Serra dos Sete paus. Ca, 12km da entrada","-39.696111","-14.735",NA,NA,NA,"Frutos imaturos verdes e roxos quando maduros.; Árvore 7m.",NA,NA,NA,"-39.696111","-14.735","2013","03",NA,NA,NA,NA,"18",NA
"29","2021-03-04 15:45:24-03","IF","SPSF","28962","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","plicata","Eugenia plicata",NA,NA,"R.S.Bianchini","1485","2000","10","19","América do Sul","Brasil","SP","Caraguatatuba","P.E.Serra do Mar, Núcleo Caraguatatuba","-45.4099998474121","-23.6200008392334","30093",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha dos tropeiros&nf;;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"30","2021-03-04 15:45:24-03","IF","SPSF","28871","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","plicata","Eugenia plicata",NA,NA,"I.Cordeiro","2331","2000","09","27","América do Sul","Brasil","SP","Caraguatatuba","P.E.Serra do Mar, Núcleo Caraguatatuba","-45.4099998474121","-23.6200008392334","30093",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta ombrofila densa&nf;;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"31","2017-09-11 17:11:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Stenocalyx","riedelianus","Stenocalyx riedelianus","O.Berg",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"prope praedium Mandiocca, Dryas",NA,NA,NA,NA,NA,"Original herbarium: Mart.(deflorat); Dryas; HABITAT: Dryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:11:36-03","IBt","SP","321796","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.",NA,"Sanchez, M; Pedroni, F","708","1997","01","13",NA,"Brasil","São Paulo","Ubatuba","Picinguaba, mata atlântica de encosta, margens do Rio da Fazenda","-44.8","-23.366667",NA,"100",NA,"Árvore s.n., 3m alt., com frutos maduros de cor vinho","SP057048","SP057048",NA,"-44.8","-23.366667",NA,NA,"100",NA,NA,NA,NA,NA
"33","2019-11-21 10:11:36-03","IBt","SP","321798","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Mazine, FF","Sanchez, M; Pedroni, F","731","1997","01","12",NA,"Brasil","São Paulo","Ubatuba","Picinguaba, mata atlântica de encosta, próximo a trilha do Corisco","-44.8","-23.366667",NA,"120",NA,"Árvore 304 com 7m alt., poucos botões e flores amarelados","SP057047","SP057047",NA,"-44.8","-23.366667","2017","07","120",NA,NA,NA,"25",NA
"34","2019-11-21 10:11:36-03","IBt","SP","271437","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Sobral, M","Mattos Silva, LA; Brito, HS; Santos, EB","2588","1988","10","24",NA,"Brasil","Bahia","Mascote","Fazenda N.S. D'Ajuda com sede a 500m da cidade. Mata releada recentemente a 1km a noroeste da sede. Região de mata higrófila sul bahiana. Ramal Mascote/Ponte do Rio Pardo, solo argiloso-silicoso.","-39.3025016784668","-15.563099861145","37487","230",NA,"Árvore fina, 6m alt., flores brancas, sépalas esverdedas. Coleta de folhas para anaálises.",NA,NA,"auto",NA,NA,"2004",NA,"230",NA,NA,NA,NA,NA
"35","2019-11-21 10:11:36-03","IBt","SP","350680","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Kawasaki, ML","Cordeiro, I; Melo, MMRF; Mamede, MCH","2331","2000","09","27",NA,"Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha do Jequitibá","-45.4099998474121","-23.6200008392334","30093",NA,NA,NA,"SP028642","SP028642","auto",NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:11:36-03","IBt","SP","350681","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Kawasaki, ML","Simão Bianchini, R; Bonfim, F; Souza, FO; Esteves, GL","1485","2000","10","19",NA,"Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha dos Tropeiros","-45.4099998474121","-23.6200008392334","30093",NA,NA,NA,"SP028643","SP028643","auto",NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:11:36-03","IBt","SP","76715","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Sobral, M","Mee, M","s.n.","1963","02","17",NA,"Brasil","São Paulo","Caraguatatuba","Reserva Florestal, na beira do rio.","-45.4099998474121","-23.6200008392334","30093",NA,NA,NA,NA,NA,"auto",NA,NA,"1994",NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:11:36-03","IBt","SP","384779","S","Plantae",NA,NA,"Myrtaceae","Eugenia","plicata","Eugenia plicata","Nied.","Mazine, FF","Pastore, JA","230","1988","11","23",NA,"Brasil","São Paulo","São Paulo","Serra da Cantareira, Região do Pinheirinho","-46.6300010681152","-23.5400009155273","53584",NA,NA,"Arvoreta 3-5m alt., início de floração","SP057046","SP057046","auto",NA,NA,"2017","07",NA,NA,NA,NA,"25",NA
