"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","recordedBy","recordNumber","coordinatePrecision","barcode","geoFlag","imagecode","phylum","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-01-17 11:23:54-02","PUCRS","MPUC","21224","S","Plantae","Magnoliopsida","Apiales","Apiaceae","Eryngium","dorae","Eryngium dorae","Norman","A. Bastos","1997","01","20","1996","10","16","South America","Brasil","RS","Barra do Quaraí","Parque Estadual do Espinilho","-57.5561111","-30.2097222","-57.5561111000","-30.2097222000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-11 16:52:48-03","UFSM","SMDB","16205","S","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae",NA,NA,NA,NA,NA,"2013","11","14",NA,"Brasil","Rio Grande do Sul","São Borja","Estrada Arroio Butuí#?#Mirim (p. Par. João Aquino, f","-56.0043983459473","-28.6606006622314",NA,NA,NA,"Záchia, R.A","6432","75549","SMDB016205","auto",NA,NA,NA,NA,NA
"3","2020-12-21 16:12:11-03","MBM","MBM","223890","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","Norman","Pedersen, T.M.",NA,NA,NA,"1968","11","26","Southern America","Argentina",NA,NA,"Entre Rios",NA,NA,NA,NA,NA,"Burkart, A.; et al.; et al.","27332",NA,"MBM223890",NA,"MBM223890",NA,NA,NA,NA
"4","2014-03-07 14:35:00-03","MO","MOBOT","100678706","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman",NA,NA,NA,NA,"1998","12",NA,"South America","Argentina","Entre Ríos","Concordia","Concordia, Calabacillas.","-58.1788889","-31.3455555",NA,NA,"1","Martinez","Martinez 112",NA,NA,NA,NA,NA,NA,NA,NA
"5","2014-03-07 14:36:00-03","MO","MOBOT","100678707","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman",NA,NA,NA,NA,"1998","12",NA,"South America","Argentina","Entre Ríos","Concordia","Concordia, Calabacillas.","-58.1788889","-31.3455555",NA,NA,"1","Martinez","Martinez 102",NA,NA,NA,NA,NA,NA,NA,NA
"6","2011-02-26 06:16:00-03","MO","MOBOT","2290656","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Calviño, C., 26-12-",NA,NA,NA,"2000","12","26","South America","Argentina","Entre Ríos","Concordia","Calabacillas.",NA,NA,NA,NA,NA,"C. Calviño|S. Martínez|E.J. Greizerstein","Calviño 318",NA,NA,NA,NA,NA,NA,NA,NA
"7","2011-02-26 06:16:00-03","MO","MOBOT","2290677","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Calviño, C., 26-12-",NA,NA,NA,"2000","12","26","South America","Argentina","Entre Ríos","Concordia","Calabacillas.",NA,NA,NA,NA,NA,"C. Calviño|S. Martínez|E.J. Greizerstein","Calviño 320",NA,NA,NA,NA,NA,NA,NA,NA
"8","2011-02-26 06:16:00-03","MO","MOBOT","2290699","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Calviño, C., 26-12-",NA,NA,NA,"2000","12","26","South America","Argentina","Entre Ríos","Concordia","Calabacillas.",NA,NA,NA,NA,NA,"C. Calviño|S. Martínez|E.J. Greizerstein","Calviño 321",NA,NA,NA,NA,NA,NA,NA,NA
"9","2011-02-26 06:16:00-03","MO","MOBOT","2290715","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Calviño, C., 26-12-",NA,NA,NA,"2000","12","26","South America","Argentina","Entre Ríos","Concordia","Calabacillas.",NA,NA,NA,NA,NA,"C. Calviño|S. Martínez|E.J. Greizerstein","Calviño 319",NA,NA,NA,NA,NA,NA,NA,NA
"10","2011-02-26 06:16:00-03","MO","MOBOT","2290749","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Calviño, C., 26-12-",NA,NA,NA,"2000","12","26","South America","Argentina","Entre Ríos","Concordia","Concordia, Parque Rivadavia.","-57.98333","-31.36666",NA,NA,NA,"C. Calviño|S. Martínez|E.J. Greizerstein","Calviño 329",NA,NA,NA,NA,NA,NA,NA,NA
