"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","typeStatus","coordinatePrecision","geoFlag","class","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861646","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","H. S. Irwin","10611","1965","11","23","South America","Brazil","Distrito Federal","Brasília","Immediately west of Setor Industrial, Brasília","-47.97","-15.8","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861646","NY00861646_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00861645","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","H. S. Irwin","9043","1965","10","07","South America","Brazil","Distrito Federal","Brasília","Ca. 2 km E. of Sobradinho","-47.79805","-15.6333","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861645","NY00861645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861620","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","H. S. Irwin","8824","1965","09","30","South America","Brazil","Distrito Federal","Brasília","Ca. 7 km E. of Brasília, near Sobradinho","-47.8705","-15.73857","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861620","NY00861620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","763859","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","P. K. H. Dusén","16048","1914","11","17","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva opp.","-49.713647","-24.340602","730","730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763859","NY00763859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","629836","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","H. S. Irwin","9817","1965","11","02","South America","Brazil","Goiás","Cristalina","6 km S of Cristalina","-47.6133","-16.7686","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629836","NY00629836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","628874","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","P. K. H. Dusén","16048","1914","11","17","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628874","NY00628874_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 11:19:00-02","NY","NYBG","00861648","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans",NA,"A. F. M. Glaziou","22488","1896",NA,NA,"South America","Brazil","Goiás",NA,"Brazil: Chiefly Province of Goyaz",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861648","NY00861648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00861621","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","H. S. Irwin","9046","1965","10","07","South America","Brazil","Distrito Federal","Brasília","Ca. 2 km E. of Sobradinho","-47.79805","-15.6333","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861621","NY00861621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00861622","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","H. S. Irwin","9078","1965","10","09","South America","Brazil","Distrito Federal","Brasília","Confluence of Rio Torto with Lagoa Paranoá, Brasília","-47.88","-15.73","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861622","NY00861622_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00861647","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","comans","Axonopus comans","(Trin.) Kuhlm.","T. de S. Filgueiras","905","1981","08","09","South America","Brazil","Distrito Federal","Brasília","Area da Proflora entre Taguatinga e Brasilândia","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861647","NY00861647_01","T. de S. Filgueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
