"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","2265","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","caudata","Inga caudata","Killip","type","E. G. Holt","531","1930","12","10","South America","Brazil","Amazonas","Rio Maturacá, below Salto de Huá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002265","NY00002265_01",NA,NA
"2","2020-08-03 16:21:00-03","MO","MOBOT","101211692","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","caudata","Inga caudata","Killip","Holotype","E.G. Holt|E.R. Blake","Holt 531","1930","12","10","South America","Brazil","Amazonas","Rio Maturacá, below Salto de Huá.",NA,NA,NA,NA,"1",NA
"3","2020-09-12 05:00:02-03","US","US","1517914","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Inga","caudata","Inga caudata","Killip","Holotype","E. Holt & E. R. Blake","531","1930","12","10","South America - Neotropics","Brazil","Amazonas","Rio Maturaca, below Salto de Hua.",NA,NA,"US00000041","US00000041_01","1","Dicotyledonae"
