"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","phylum","yearIdentified","monthIdentified","dayIdentified","continentOcean","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","order","class","typeStatus","individualCount"
"1","2021-01-06 11:42:00-03","UFPI-MRV","HDELTA","1202","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L. B. Sm.","Fontana, A. P.","Boto, M. M. P.","66","2007","12","18","Brasil","Ceará","Serrinha","Flor alaranjada, 60 cm de altura","HDELTA001202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:35:37-02","IPA","IPA","28910","S","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Fontana, A.P.","Andrade-Lima","72-6811","1972",NA,NA,"Brasil",NA,"NORDESTE(Viegem com os ingleses).",NA,"IPA0028910","Plantae","2010","09","30","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:35:37-02","IPA","IPA","28911","S","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Fontana, A.P.","Andrade-Lima","72-6811a","1972",NA,NA,"Brasil",NA,"NORDESTE(Viegem com os ingleses).",NA,"IPA0028911","Plantae","2010","09","30","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:35:37-02","IPA","IPA","8580","S","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Smith, L.B.","Andrade-Lima","55-2353","1955","11","23","Brasil","Ceará","Alto da Serra de Maramguape","Flôr vermelho-vinho.","IPA0008580","Plantae","1960",NA,NA,"Southern America","Maranguape","-38.6856002807617","-3.89083003997803","40608","IPA0008580","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:26-03","UFV","VIC","36089","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L. B. Smith","Siqueira, J.A.F.","Castro, A.S.F.","s.n.","2000","12","09","Brasil","Ceará","Estrada Mucambo","Erva terrestre, mata úmida, flor alaranjada. Espécie endêmica do Ceará (Raquel, 18/02/2004)","VIC036089",NA,"2004","02","18",NA,"Ibiapina","-40.8894004821777","-3.92333006858826","29848","VIC036089","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-21 19:40:01-03","UFC","EAC","52380","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Lima-Verde, L.W.; Loiola, M.I.B.","Loiola, M.I.B.; et al.","1746","2012","06","04","Brasil","Ceará","Paredão das samambaias","Erva +/- 0,8m; inflorescência vermelha.","EAC0052380","Monocotyledon","2012","08","29","Southern America","Ibiapina","-41.456111","-4.521111",NA,"EAC0052380",NA,"-41.456111","-4.521111",NA,NA,NA,NA
"7","2021-03-21 19:40:01-03","UFC","EAC","50351","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Castro, A.S.F.","Castro, A.S.F.","2559","2011","11","14","Brasil","Ceará","2 km da cidade, estrada p/ Mucambo, Ch. da Ibiapab","Erva terrestre, flor vermelha; Mata úmida","EAC0050351","Monocotyledon","2011","11","14","Southern America","Ibiapina","-40.8894004821777","-3.92333006858826","29848","EAC0050351_1 EAC0050351_2","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-21 19:40:01-03","UFC","EAC","30345","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Siqueira Filho, J.A.","Castro, A.S.F.","896","2000","12","09","Brasil","Ceará","estrada Mucambo","Erva terrestre, mata úmida, flro alaranjada. Espécie endêmica do Ceará (Raquel, 18/02/2004).","EAC0030345","Monocotyledon","2004","02","18","Southern America","Ibiapina","-40.8894004821777","-3.92333006858826","29848","EAC0030345","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:40:01-03","UFC","EAC","34821","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.",NA,"Monteiro, F.J.S.","22","2004","12","04","Brasil","Ceará","Serra de Maranguape","Planta encontrada na linha da serra sobre imensa pedra. Formava grande touceira com mais de 25 indivíduos. Inflorescência vermelha, flor vermelha, estigmas e anteras amarelos.","EAC0034821","Monocotyledon","2012","01","12","Southern America","Maranguape","-38.6856002807617","-3.89083003997803","40608","EAC0034821_1 EAC0034821_2","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-01 11:55:13-03","UFPE","UFP","41591","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.","Siqueira-Filho, JA","Castro, ASF","896","2000","12","09","Brasil","Ceará",NA,"Erva terrestre, mata úmida, flor alaranjada,; Erva terrestre, mata úmida, flor alaranjada,","UFP041591",NA,"2004","03","03",NA,"Ibiapina","-40.8894004821777","-3.92333006858826","29848",NA,"auto",NA,NA,"Pales",NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","2338307","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B. Sm.",NA,"D. A. Lima","55-2353","1955","11","23","Brazil","Ceará","Crest of Serra de Maranguape.",NA,"US00088872",NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,"US00088872_01",NA,NA,NA,"Bromeliales","Monocotyledonae","Isotype","1"
"12","2019-10-07 09:20:39-03","UEFS","HUEFS","134420","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B.Sm.","R.C.Forzza","Lemos, J.R.","14","2007","12","18","Brasil","Ceará","Ibapina.",NA,"HUEFS0134420","Angiospermae","2013","04",NA,NA,NA,NA,NA,NA,"HUEFS0134420",NA,NA,NA,"Poales","Lilianae",NA,NA
"13","2019-10-07 09:20:39-03","UEFS","HUEFS","134433","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","limae","Pitcairnia limae","L.B.Sm.","R.C.Forzza","Boto, M.M.P.","66","2007","12","18","Brasil","Ceará","Ibiapima.",NA,"HUEFS0134433","Angiospermae","2013","04",NA,NA,NA,NA,NA,NA,"HUEFS0134433",NA,NA,NA,"Poales","Lilianae",NA,NA
