"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","376135","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","I. A. Silva","1","1978","05","16","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Estr. X-1, Km 15,8000, talhao 401","-40.07","-19.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376135","NY00376135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","737","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","A. M. Lino","65","1972","05","26","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares - C. V. R. D. - Próximo a Estrada 221 Talhao 203.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000737","NY00000737_01 NY00000737_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376137","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","S. A. Mori","11869","1979","05","17","South America","Brazil","Bahia","Santa Cruz Cabrália","Antiga Rodovia que liga a Estação Ecológica do Pau-brasil à Sta. Cruz, 5-7 km ao NE da Estaçao. Ca. 12 km ao NW de Porto Seguro","-39.13","-16.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376137","NY00376137_01",NA,"S. A. Mori","80","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2423151","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","M. Ribeiro","893","2013","10","22","South America","Brazil","Espirito santo",NA,"Espírito Santo, Reserva Biológica de Córrego do Veado. Pinheiros.","-40.160406","-18.375033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685366' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423151","NY02423151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","390429","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","I. A. Silva","1","1978","05","16","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. X-1, km 15.800, talhao 401, 20 m depois do BR-3-II","-40.0719","-19.3911","separate fruit","Collector given as: I.A.S. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376136","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","G. G. Hatschbach","46953","1983","10","18","South America","Brazil","Espírito Santo","Linhares","Rod. BR-101; 2 km S de Alegre","-40.07","-19.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376136","NY00376136_01",NA,"S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-24 18:14:00-03","UFBA","ALCB","43733","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Paraguassú, LA; Guedes, ML; Lima, SS dos; Cabral, L; Oliveira, H; Rocha, M","173","1999","08","01","Southern America","Brasil","Bahia","Porto Seguro","Extremo Sul, Estação Veracruz.","-39.05","-16.433333",NA,"Cerca de 6 m de altura, com circunferÆncia & altura do peito de 22 cm.&nf;Material estéril.&nf;Ocasional. Presente na parcela 13 (772).; Área de mata ciliar da nascente do rio dos Mangues, domínio fitoecológico de Floresta Ombrófila Densa.",NA,NA,NA,"Guedes, ML; Guedes, ML; Guedes, ML; Paraguassú, LA",NA,NA,"1999","09","-39.05","-16.433333",NA,NA,NA,NA,NA,NA
"8","2021-02-24 18:14:00-03","UFBA","ALCB","54233","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Pereira, PA de; Guedes, ML; Lima, SS dos","21","1999","03","28","Southern America","Brasil","Bahia","Porto Seguro","Extremo Sul, trecho de Mata Atlntica, entre Eun polis e Porto Seguro, na RPPN (Veracel)","-39.05","-16.433333",NA,"30,0 m. Folhas coriáceas, discolores. Flores amarelas. Ocasional.; vegetação de mussununga, porte herbáceo-arbustivo recobrindo solo podzol hidromórfico ou espodossolo.",NA,NA,NA,"Guedes, ML; Pereira, PA de",NA,NA,"1999","03","-39.05","-16.433333",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:18:16-03","UFBA","ALCB","59420","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Guedes, ML; et al.","9733","2002","02","04","Southern America","Brasil","Bahia","Caravelas","Extremo Sul, Mata secundária","-39.754444","-17.735278",NA,"de ca. 9 m. Folhas subcoriáceas, discolores. Madeira resistente, fácil de trabalhar mais de baixa resistencia ao ataque de organismos xilófagos. Material estéril.; Mata secundária, parcela nº 7.",NA,NA,NA,"Guedes, ML",NA,NA,"2002","03","-39.754444","-17.735278",NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:02:32-03","JBP","HPL","4023","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","G.T. Prance","E.R. Salviani & H. Lorenzi","140","1998","07","22",NA,"Brasil","ES","São Jorge Tiradentes","Coletada a 2km de São Jorge Tiradentes",NA,NA,NA,NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi",NA,NA,"1998","07",NA,NA,"22",NA,NA,NA,NA,NA
