"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","imagecode","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"1","2016-09-27 03:46:00-03","NY","NYBG","00527038","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Ocimum","nudicaule","Ocimum nudicaule","E. L. Ekman","E. L. Ekman","1847","1907","11","29","South America","Argentina","Misiones","Posadas, Bonpland","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00527037","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Ocimum","nudicaule","Ocimum nudicaule","A. I. Tolmatchew","P. K. H. Dusén","9139","1910","01","15","South America","Brazil","Paraná","23 Turma, Desvio Ribas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527037","Benth.","Ponta Grossa","-50.1617","-25.095","NY00527037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:56-03","UNESP-IBB","BOTU","4380","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Barretto, S.H.M.","26","1974","10","20",NA,"Brasil","São Paulo",NA,NA,"Erva aromática.","BOTU004380","Benth.","Piracicaba",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855978","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Pedersen TM",NA,"1959","10","21","Southern America","Paraguay",NA,"Estancia,,La Solodad'', Santiago, Dep. Misiones.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855978 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855978","Benth.",NA,NA,NA,"NL-L2855978",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855979","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Balansa B",NA,"1883","06","01","Southern America","Paraguay",NA,"Cordiltere de Peribebuy au, defsus de dans les clairieres des broussailles. .",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855979 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855979","Benth.",NA,NA,NA,"NL-L2855979",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855980","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Balansa B",NA,"1883","06","01","Southern America","Paraguay",NA,"Cordiltere de Peribebuy au, defsus de dans les clairieres des broussailles. .",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855980 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855980","Benth.",NA,NA,NA,"NL-L2855980",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855981","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Balansa B",NA,"1883","06","01","Southern America","Paraguay",NA,"Cordiltere de Peribebuy au, defsus de dans les clairieres des broussailles. .",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855981 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855981","Benth.",NA,NA,NA,"NL-L2855981",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855983","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Balansa B",NA,"1883","06","01","Southern America","Paraguay",NA,"Cordiltere de Peribebuy au, defsus de dans les clairieres des broussailles. .",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855983","Benth.",NA,NA,NA,"NL-L2855983",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855984","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Balansa B",NA,"1883","06","01","Southern America","Paraguay",NA,"Cordiltere de Peribebuy au, defsus de dans les clairieres des broussailles. .",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855984","Benth.",NA,NA,NA,"NL-L2855984",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:32:48-03","NBC","NL-BOTANY","L.2855985","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Ocimum","nudicaule","Ocimum nudicaule",NA,"Balansa B",NA,"1883","06","01","Southern America","Paraguay",NA,"Cordiltere de Peribebuy au, defsus de dans les clairieres des broussailles. .",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2855985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2855985","Benth.",NA,NA,NA,"NL-L2855985",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
