"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:23-03","UNESC","CRI","5310","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","Rita M. Carvalho Okano","J. A. Jarenkow; M. Sobral","1993","03","30","Brasil","Rio Grande do Sul","Morrinhos do Sul","Perdida.","-49.935","-29.365556","49º56'6''W","29º21'56''S","21","21","CRI006464","CRI006464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:07-03","UNESC","CRI","14589","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","Peterson T. Padilha","Peterson T. Padilha","2015","11","20","Brasil","Santa Catarina","Itapoá",NA,"-48.616667","-26.1175","48º37'0''W","26º7'3''S",NA,NA,"CRI013894","CRI013894","2016","08","24","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:23-03","UNESC","CRI","7565","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","Vanilde Citadini- Zanette","Marcelo Romagna Pasetto","2008","02","22","Brasil","Santa Catarina","Siderópolis","Jordão/São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI006469","CRI006469","2008","08","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:23-03","UNESC","CRI","6461","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter","1998","01","27","Brasil","Rio Grande do Sul","Torres","Mata do Sr. Felisberto Marcos, ca. 2Km da Vila São João.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","CRI006470","CRI006470",NA,NA,NA,"Habitat: mata pluvial Habito: árvore","3832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:09-03","E","E","82964","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens",NA,NA,"Hatschbach, G.","1982","11","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00082964",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","45291","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91367",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","470177","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","R. M. de Carvalho-Okano","G. G. Hatschbach","1952","11","02","Brazil","Paraná","Tijucas do Sul","Vosoroca","-49.1989","-25.9283",NA,NA,NA,NA,"NY00470177","NY00470177_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311860' target='other'> <mi>dwc_moreinfo</mi></a>","2887","South America","sheet",NA,"Magnoliophyta","Celastrales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470127","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","L. Biral","R. Reitz","1958","09","12","Brazil","Santa Catarina","Rio do Sul","Alto Matador","-49.563988","-27.247405",NA,NA,"800","800","NY00470127","NY00470127_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711207' target='other'> <mi>dwc_moreinfo</mi></a>","7095","South America","sheet",NA,"Magnoliophyta","Celastrales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","470180","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","R. M. de Carvalho-Okano","L. B. Smith","1956","11","12","Brazil","Santa Catarina","Ibirama","Horto Florestal","-49.5178","-27.0569",NA,NA,"450","700","NY00470180","NY00470180_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311863' target='other'> <mi>dwc_moreinfo</mi></a>","7558","South America","sheet",NA,"Magnoliophyta","Celastrales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","470172","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","R. M. de Carvalho-Okano","G. G. Hatschbach","1979","04","05","Brazil","Paraná","Piraquara","Roça Nova","-49.0631","-25.4419",NA,NA,NA,NA,"NY00470172","NY00470172_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311858' target='other'> <mi>dwc_moreinfo</mi></a>","42187","South America","sheet",NA,"Magnoliophyta","Celastrales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1031126","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","L. Biral","J. R. Pirani","1985","11","20","Brazil","São Paulo",NA,"Campos do Jordão, Parque Estadual.","-45.454379","-22.673246",NA,NA,"1650","1650","NY01031126","NY01031126_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143137' target='other'> <mi>dwc_moreinfo</mi></a>","1359","South America","sheet",NA,"Magnoliophyta","Celastrales",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","470173","PreservedSpecimen","Plantae","Celastraceae","Maytenus","glaucescens","Maytenus glaucescens","Reissek","R. M. de Carvalho-Okano","G. G. Hatschbach","1966","10","12","Brazil","Paraná","Sao José dos Pinhais","Col. Sto. Andrade","-49.2064","-25.5347",NA,NA,NA,NA,"NY00470173","NY00470173_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311859' target='other'> <mi>dwc_moreinfo</mi></a>","14840","South America","sheet",NA,"Magnoliophyta","Celastrales",NA,NA,NA,NA,NA,NA,NA
