"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01418247","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","W. Punt","P. J. M. Maas","360","1971","07","24","South America","Brazil","Amazonas","Manaus","Rua Duque de Caxias, waste place.","-60.025","-3.10194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1323043' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418247","NY01418247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","801767","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. H. Nee","M. H. Nee","48180","1998","01","30","South America","Bolivia","Santa Cruz","Andrés Ibáñez","5 km SSW of bridge over Río Piraí of the highway from Santa Cruz to Samaipata. Along Río Piraí.","-63.475","-18.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801767","NY00801767_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","754825","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","L. C. Ming","L. C. Ming","353","1993","12","09","South America","Brazil","Acre","Xapuri","Reserva Extrativista Chico Mendes, Seringal Boa Vista, Colocaçao Pimenteira.","-68.5042","-10.6519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754825","NY00754825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01418239","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.",NA,"W. L. Balée","1547","1985","08","06","South America","Brazil","Pará","Viseu","Basin of the Rio Gurupi; Tembé Indian Reserve; 6km SSW of F.U.N.A.I. Post Canindé.","-46.1167","-1.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668739' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418239","NY01418239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01418237","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","L. J. Gillespie","N. T. da Silva","2440","1969","07","23","South America","Brazil","Pará",NA,"Jarí, Agua Branca, km 12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418237","NY01418237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","804027","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia palmata","Chodat & Hassl.",NA,"E. Hassler","7071",NA,NA,NA,"South America","Paraguay",NA,NA,"[In arenosis prope Valenzuela].",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=821809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804027","NY00804027_01",NA,NA,"palmata","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","754674","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","D. C. Daly","K. A. Kainer","98","1989","09","27","South America","Brazil","Acre","Xapuri","Ser. Cachoeira, Col. Sao Luis, Sucam 37..collected approx. 10m S. of house..","-68.5044","-10.6517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754674","NY00754674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","569580","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. H. Nee","M. H. Nee","37524","1989","01","06","South America","Bolivia","El Beni","Cercado","On W side of Trinidad","-64.92","-14.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569580","NY00569580_01","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01418242","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.",NA,"R. Spruce","211","1849","07",NA,"South America","Brazil","Pará",NA,"In vicinibus Pará.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668805' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418242","NY01418242_01 NY01418242_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01418241","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","R. McVaugh","W. A. Archer","7797","1942","11","11","South America","Brazil","Pará","Belém","Along west boundary of the I.A.N., Belém","-48.4447503","-1.4380977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418241","NY01418241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
