"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","1973","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","Klein; Ravena","1966","10","23","Brasil","Santa Catarina","Itajaí","Praia Brava.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","3","3","CRI002308","CRI002308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","10382","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans","Diospyros inconstans","Jacq.","Marcos Sobral","2011",NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos & Aurélio José de Aguiar","2000","10","31","Brasil","Santa Catarina","Governador Celso Ramos","Praia da Palmas.","-48.533333","-27.332778","48º32'0''W","27º19'58''S",NA,NA,"CRI014226","CRI014226","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","6952","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","Klein; Ravena","1966","10","23","Brasil","Santa Catarina","Itajaí","Praia Brava.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","3","3","CRI002311","CRI002311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","3384","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","Rosiane Soratto de Souza","1994","10","08","Brasil","Santa Catarina","Maracajá","Espigão da Pedra.","-49.45","-28.833333","49º27'W","28º50'S","30","30","CRI002309","CRI002309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","6164","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2018","02","15","V. P. Boff; Vanilde Citadini Zanette","1996","05","08","Brasil","Santa Catarina","Araranguá","morros dos conventos,.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI002313","CRI002313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","4793","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","V. Citadini-Zanette; Adão Zanette","1996","04","30","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI002306","CRI002306",NA,"2064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","13710","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnöfer","2019","09","17","Alexandre Medeiros","2017","09","22","Brasil","Santa Catarina","Balneário Camboriú","Taquaras","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"CRI012317","CRI012317","Coleta 670 Habitat: Terrestre Habito: Arbustivo","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","6174","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","Valdemar Boff","1997","01","20","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI002305","CRI002305",NA,"509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:29-03","UNESC","CRI","8352","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","J. J. Zocche; Jader Lima Pereira","2006","05","29","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13","CRI002310","CRI002310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:29-03","UNESC","CRI","6882","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans subsp. obovata","Diospyros inconstans subsp. obovata","Jacq.","Bruno Wallnofer","2019","02","15","Klein; Revena","1966","10","23","Brasil","Santa Catarina","Itajaí",NA,"-48.662222","-26.908333","48º39'44''W","26º54'30''S","4","4","CRI002312","CRI002312","Habitat: restinga Habito: arbusto","6857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","777203","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans","Diospyros inconstans","Jacq.","A. L. Sanches",NA,NA,NA,"A. C. Cervi","1999","03","23","Brazil","Santa Catarina","Itapema","Praia do Mar Grosso","-48.62","-27.08",NA,NA,"10","10","NY00777203","NY00777203_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743137' target='other'> <mi>dwc_moreinfo</mi></a>","6693","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02636770","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","inconstans","Diospyros inconstans obovata","(Mart. ex Miq.) B.Walln.","B. Wallnöfer",NA,NA,NA,"P. Fiaschi","2003","03","08","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (proprietário Alipe Maia), entrada à esq., ca. 1.2 km E de Boa Nova, na estrada para Dario Meira.","-40.1875","-14.3736",NA,NA,NA,NA,"NY02636770","NY02636770_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475192' target='other'> <mi>dwc_moreinfo</mi></a>","1428a","Magnoliophyta","Ericales","South America","sheet","obovata",NA,NA,NA,NA,NA,NA,NA,NA
