"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-04-05 14:25:38-03","UNESC","CRI","8975","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","Marcos Sobral","A. Stival-Santos; H. F. Uller & Simone Silveira","310","2008","12","15","Brasil","Santa Catarina","Celso Ramos","Linha Fabris.","-51.301944","-27.629444","51º18'7''W","27º37'46''S","749","749","Floresta Estacional Decidual Habitat: borda da mata","CRI004994","CRI004994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:38-03","UNESC","CRI","14193","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","Aline Votri Guislon","Aline Votri Guislon",NA,"2019","03","01","Brasil","Santa Catarina","Criciúma","Quintal particular.","-49.397222","-28.783333","49º23'50''W","28º47'0''S","27","27","Cultivada. Fruto alaranjado. Habito: Arbustivo","CRI012960","CRI012960","2019","03","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","8143","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","M. Verdi","G. Klemz; M. Verdi e R. P. Hasckel",NA,"2009","03","09","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.125278","-27.685556","51º7'31''W","27º41'8''S",NA,NA,NA,"CRI004993","CRI004993","2009","03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","10209","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","J. Cordeiro","M. G. Caxambu; et al.","1964","2007","12","07","Brasil","Paraná","Campo Mourão","Parque Estadual Lago Azul (PELA).","-52.316389","-24.110833","52º18'59''W","24º6'39''S","595","595","Habitat: Próximo ao lago Habito: árvore","CRI004991","CRI004991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","8139","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","M. Sobral","A. Stival-Santos; S. Silveira","385","2008","07","16","Brasil","Santa Catarina","Chapecó","Libha campina.","-52.618611","-27.096944","52º37'7''W","27º5'49''S","670","670","Habitat: Floresta Estacional Decidual Habito: arbórea","CRI004996","CRI004996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:47-03","E","E","82214","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis",NA,NA,"Silva, J.M.","1799","1996","12","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082214",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","404893","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","conceptionis","Eugenia conceptionis","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","09",NA,"Paraguay","Concepción",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404893","NY00404893_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","possible type",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557545","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","S. F. Smith","R. A. Wasum","4980","1988","12","15","Brazil","Rio Grande do Sul","Nova Prata","NOva Prata - Horto FLorestal","-51.61","-28.7842",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557545",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557560","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","B. K. Holst","K. Mizoguchi","696","1978","08","14","Brazil","São Paulo","Jandira","Near Oomoto-Aizenda","-46.9025","-23.5278",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557560",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557562","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pyriformis","Eugenia pyriformis","Cambess.","M. Sobral","G. G. Hatschbach","44028","1981","10","05","Brazil","São Paulo","Sao Manuel","Rod. SP-255","-48.5697","-22.73",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557562",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
