"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","499356","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","L. Riedel","2278","South America","Brazil","São Paulo","Batatais","In. uliginosis pr. Batataes.","-47.58","-20.89","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499356","NY00499356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522859","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","R. C. de Mendonça","4887","South America","Brazil","Distrito Federal","Gama","Área de Proteção Ambiental (APA) Gama - Cabeça de Veado, Região Administrativa do Núcleo Bandeirante, Park Way, entrada que dá acesso à Vargem Bonita, Lagoa do Córrego do Cerdo, brejo al longo do cárrego.","-47.94439","-15.89772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1786539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522859","NY01522859_01","2002","08","28","990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","499354","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","G. G. Hatschbach","Ha.13936","South America","Brazil","Paraná","Jaguariaíva","Serra das Furnas, Campo das Cinzas.","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499354","NY00499354_01","1966","03","02",NA,"G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","499362","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","M. Cárdenas","2018","South America","Bolivia","La Paz",NA,"Ixiamas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499362",NA,"1921","12","19","213.4",NA,"243.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","911543","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","D. Philcox","3479","South America","Brazil","Mato Grosso",NA,"Between Km. 244 & 264 Xavantina-Cachimbo road.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911543","NY00911543_01","1967","12","12",NA,"D. Philcox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00750344","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","H. S. Irwin","19319","South America","Brazil","Goiás","Cocalzinho de Goiás","20 km N.W. of Corumbá de Goiás, near Pico dos Pirineus. Serra dos Pirineus.","-48.95","-15.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750344","NY00750344_01","1968","01","27","1250","G. M. Barroso","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 02:25:00-03","NY","NYBG","499360","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea",NA,"E. Hassler","8179","South America","Paraguay",NA,NA,"In regione cursus superioris fluminis Apa.",NA,NA,"sheet","HERB.DC. 1902 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499360",NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","499358","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","H. S. Irwin","13420","South America","Brazil","Goiás","Cristalina","Campo, ca. 5 km S. of Cristalina. Serra dos Cristais.","-48","-17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499358","NY00499358_01","1966","03","04","1200","D. Philcox","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","911545","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","D. Philcox","4552","South America","Brazil","Mato Grosso",NA,"1 km. E. of km. 244, Xavantina-Cachimbo road.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911545","NY00911545_01","1968","03","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","911532","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","H. S. Irwin","8431","South America","Brazil","Distrito Federal","Brasília","Rio Torto, immediately N. of Brasília","-47.88","-15.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911532","NY00911532_01","1965","09","18","975","G. Philcox","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","499357","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Buchnera","juncea","Buchnera juncea","Cham. & Schltdl.","H. S. Irwin","27872","South America","Brazil","Minas Gerais","Diamantina","Cerrado and brejo at creek margin, ca. 18 km E of Diamantina. Serra do Espinhaço.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499357","NY00499357_01","1970","03","18","900","D. Philcox","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
