"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","county","year","month","day","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","imagecode","class","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"1","2020-09-23 10:41:41-03","E","E","335432","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Cuming, Hugh","87","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422332","<a href=http://data.rbge.org.uk/herb/E00335432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:41-03","E","E","70296","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Gillies, John",NA,"Temperate South America","AR","herbarium specimen of unspecif","BGBASE:79843","<a href=http://data.rbge.org.uk/herb/E00070296 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070296","Prov. de Mendoza","Andes of Mendoza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:41-03","E","E","70297","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Darwin, Charles",NA,"Temperate South America","CL","herbarium specimen of unspecif","BGBASE:79743","Collected February 1833 or February 1834. Specimen citation: Darwin per Henslow No.236.<a href=http://data.rbge.org.uk/herb/E00070297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070297","Región XII [Magallanes y de la Antártica Chilena]","Wollaston island","Prov. de Magallanes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:41-03","E","E","335434","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Bridges, Thomas Charles","568","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422334","<a href=http://data.rbge.org.uk/herb/E00335434 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335434","Región X [Los Lagos]","Bay of Valdivia","Provincia de Valdivia","1905","01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:41-03","E","E","335442","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Buchtien, Otto",NA,"Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422342","<a href=http://data.rbge.org.uk/herb/E00335442 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335442","Región V [Valparaíso]","Valparaíso","Provincia de Valparaíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:41-03","E","E","273212","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Werdermann, Erich","578","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:277828","<a href=http://data.rbge.org.uk/herb/E00273212 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00273212","Región VII [Maule]","Cordillera Volcan Peteroa","Provincia de Curicó",NA,NA,NA,"2500","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:41-03","E","E","335440","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","King, P.P. (Captain)","69","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422340","<a href=http://data.rbge.org.uk/herb/E00335440 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:41-03","E","E","70298","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Gillies, John",NA,"Temperate South America","AR","herbarium specimen of unspecif","BGBASE:79845","<a href=http://data.rbge.org.uk/herb/E00070298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070298","Prov. de Mendoza","Andes of Mendoza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:41-03","E","E","335431","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Cuming, Hugh","87","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422329","<a href=http://data.rbge.org.uk/herb/E00335431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:41-03","E","E","335443","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","King, Thomas",NA,"Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422343","<a href=http://data.rbge.org.uk/herb/E00335443 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:41:41-03","E","E","335437","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Comber, Harold F.","935","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:422337","<a href=http://data.rbge.org.uk/herb/E00335437 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:41:41-03","E","E","335439","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Elliott, Clarence","553","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422339","A charming pant<a href=http://data.rbge.org.uk/herb/E00335439 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335439","Región VIII [Biobío]","Concepción","Provincia de Concepción",NA,NA,NA,"91","91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:41:41-03","E","E","273211","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Werdermann, Erich","568","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:277825","<a href=http://data.rbge.org.uk/herb/E00273211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00273211","Región VII [Maule]","Hacienda Monte Grande","Provincia de Curicó",NA,NA,NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:41:41-03","E","E","335441","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","King, P.P. (Captain)","35","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422341","<a href=http://data.rbge.org.uk/herb/E00335441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335441","Región XI [Aisén Del Gral. Carlos Ibáñez Del Campo","Straits of Magellan","Provincia de Aisén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:41:41-03","E","E","335436","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Scott-Elliot, George Francis","128","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422336","<a href=http://data.rbge.org.uk/herb/E00335436 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335436","Región VIII [Biobío]","Concepción","Provincia de Concepción",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:41:41-03","E","E","78297","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Gardner, Martin F.","3592","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:94366","<a href=http://data.rbge.org.uk/herb/E00078297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00078297","Región X [los Lagos]","Parque Nacional Chiloé; 30 km north of Cucao at the mouth of Río Anay","Prov. de Chiloé","1986","01","27","3","3","-74.25","-42.466667","-74.250000","-42.466667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:41:41-03","E","E","335438","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Elliott, Clarence","186","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422338","Am extremely pretty plant. Should be good for rock of bog garden. No seed obtained, but a few might be found on botanical specimen<a href=http://data.rbge.org.uk/herb/E00335438 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335438","Región IX [Araucanía]","Pucón","Provincia de Cautín",NA,NA,NA,"305","305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:41:41-03","E","E","335433","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Bridges, Thomas Charles","568","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:422333","<a href=http://data.rbge.org.uk/herb/E00335433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335433","Región X [Los Lagos]","Bay of Valdivia","Provincia de Valdivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:41:41-03","E","E","182300","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Darwin Chilean Initiative (2002 - 2005)","774","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:204337","<a href=http://data.rbge.org.uk/herb/E00182300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00182300","Región VIII [Biobío]","Reserva Nacional Ralco, road to Laguna Verde","Provincia de Biobío","2004","01","17","1410","1410","-71.363333","-37.884722","-71.363333","-37.884722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-23 10:41:41-03","E","E","28555","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Gardner, Martin F. & Knees, Sabina G.","4720","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:33842","<a href=http://data.rbge.org.uk/herb/E00028555 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00028555","Región VIII [Biobío]","2 KM west of Florida along CH 148","Provincia de Concepción","1990","02","06","250","250","-72.683333","-36.833333","-72.683333","-36.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-23 10:41:41-03","E","E","25448","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Gardner, M.F.; Knees, S.G. & de Vore, M.L.","4504","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:30409","<a href=http://data.rbge.org.uk/herb/E00025448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00025448","Región VII [Maule]","Laguna del Maule","Provincia de Talca","1990","01","24","2250","2250","-70.55","-36.016667","-70.550000","-36.016667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-23 10:41:41-03","E","E","89913","PreservedSpecimen","Plantae","Myrsinaceae","Anagallis","alternifolia","Anagallis alternifolia","Universidad de Chile, RBG Edinburgh Expedition to Southern Chile (UCEXC)","365","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:95017","<a href=http://data.rbge.org.uk/herb/E00089913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00089913","Región X [Los Lagos]","Ayacara. Road to Punta Mita, close to the Environmental Centre of the Ayacara Foundation","Prov. de Palena","1998","02","23","8","8","-72.783333","-42.3","-72.783333","-42.300000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00972911","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","A. F. M. Glaziou","16299","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972911",NA,NA,NA,"1887","11","03",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Ericales","Cav.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00972873","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","A. F. Regnell","III-853","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972873","Minas Gerais","Pedra branca","Caldas","1877","04","21",NA,NA,"-46.3858","-21.9236",NA,NA,"Magnoliophyta","Ericales","Cav.","NY00972873_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U.1546392","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","Regnell AF",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1546392 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1546392",NA,"Prov. Minas Geraës. Caldas.",NA,"1947","04","18",NA,NA,NA,NA,NA,NA,NA,"Ericales","Cav.","NL-U1546392","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U.1546413","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia repens","Pedersen TM",NA,"Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1546413 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1546413",NA,"at Lago Nahuel Huapi, west of Carlos de Bariloche.",NA,"1949","04","03",NA,NA,NA,NA,NA,NA,NA,"Ericales","(d'Urv.) Kunth","NL-U1546413","Magnoliopsidae","repens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:17:42-03","ESALQ","ESA","43763","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","Souza, J.P. ; Souza, V.C.","731.0",NA,"Brasil",NA,NA,NA,"ESA043763","São Paulo",NA,"Cunha","1996","12","10",NA,NA,"-44.9599990844727","-23.0699996948242",NA,NA,"Magnoliophyta",NA,"Cav.",NA,NA,NA,"Garcia, R.J.F.","2003","01","01","38855","auto",NA,NA,NA
"28","2021-01-14 15:33:18-03","MN","R","11609","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia var.genuina","Glaziou, A.F.M.","14190 a",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011609","Rio de Janeiro",NA,NA,"1881","12","25",NA,NA,NA,NA,NA,NA,NA,NA,"(Cav.) R. Knuth","R000011609_001",NA,"var.genuina","Fromm. E.; Santos. E.","1962","06","28",NA,NA,NA,NA,NA
"29","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0030044","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","L. R. Landrum; J. Bricker","5910",NA,"Chile",NA,NA,"Herb. Flower white with pink center.",NA,"Los Lagos","Llanquihue: Los Muermos, ca. 0.3-1 km along road to Cumbre Alta off road to Quenuil.",NA,"1988","1","18","50",NA,"-73.464622","-41.400515",NA,NA,"Magnoliophyta","Ericales","Cav.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0030045","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","L. R. Landrum","3122",NA,"Chile",NA,NA,"Flowers white; forming mats.",NA,"Los Lagos","Prov. Chiloe: Yaldad, about 10 km west of Quellón.",NA,"1978","2","7",NA,NA,"-73.75","-43.25",NA,NA,"Magnoliophyta","Ericales","Cav.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 14:43:55-03","UFJF","CESJ","49918","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","112","América do Sul","Brasil",NA,NA,"Campo de altitude, local úmido e sombreado, sobre musgos.","CESJ049918","Minas Gerais","Pocinhos do Rio Verde, Pedra Branca","Caldas","2008","03","28","1700","1700","-46.386100769043","-21.9235992431641",NA,NA,"Angiosperma",NA,"Cav.",NA,NA,NA,"M.G. Rezende","2010","01",NA,"25710","auto",NA,NA,NA
"32","2019-11-21 14:43:55-03","UFJF","CESJ","51419","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; L. Gimenes","149","América do Sul","Brasil",NA,NA,"Erva rupícola, local sombreado e úmido. Pétalas brancas.","CESJ051419","Minas Gerais","Pocinhos do Rio Verde, Pedra Branca","Caldas","2008","06","28",NA,NA,"-46.386100769043","-21.9235992431641",NA,NA,"Angiosperma",NA,"Cav.",NA,NA,NA,"M.G. Rezende","2010","01",NA,"25710","auto",NA,NA,NA
"33","2019-11-21 14:43:55-03","UFJF","CESJ","52758","PreservedSpecimen","Plantae","Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","M.G. Rezende; D. Monteiro; R.C.L. Elias; T.M. Machado","290","América do Sul","Brasil",NA,NA,"Erva ca. 1,5cm, local úmido em campo de altitude. Flores alvas.","CESJ052758","Minas Gerais","Pocinhos do Rio Verde, Serra da Pedra Branca.","Caldas","2009","01","15",NA,NA,"-46.386100769043","-21.9235992431641",NA,NA,"Angiosperma",NA,"Cav.",NA,NA,NA,"M.G. Rezende","2010","01",NA,"25710","auto",NA,NA,NA
"34","2015-11-06 16:04:20-02","MNHN","RECOLNAT_MNHN_P","P00649758","PreservedSpecimen",NA,"Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","Gay, C.",NA,NA,"Chili","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649758' target='other'> <mi>dwc_moreinfo</mi></a>","P00649758",NA,"Concepcion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cav.","P00649758_01",NA,NA,NA,NA,NA,NA,NA,NA,"1453",NA,NA
"35","2009-01-05 10:41:38-02","MNHN","RECOLNAT_MNHN_P","P00649759","PreservedSpecimen",NA,"Primulaceae","Anagallis","alternifolia","Anagallis alternifolia","Gay, C.",NA,NA,"Chili","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649759' target='other'> <mi>dwc_moreinfo</mi></a>","P00649759",NA,"Concepcion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cav.","P00649759_01",NA,NA,NA,NA,NA,NA,NA,NA,"1453",NA,NA
"36","2015-09-04 16:33:45-03","MNHN","RECOLNAT_MNHN_P","P04906153","PreservedSpecimen",NA,"Primulaceae","Anagallis","alternifolia","Anagallis alternifolia",NA,NA,NA,"[Chili]","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04906153' target='other'> <mi>dwc_moreinfo</mi></a>","P04906153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cav.","P04906153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
