"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","typeStatus","continentOcean","preparationType","class","infraspecificEpithet","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"1","2021-04-05 14:25:06-03","UNESC","CRI","11539","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","M. Verdi","2010","04","10","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4328","2010","04","10","Brasil","Santa Catarina","São Martinho","Estrada geral São Luiz/SC-407.","-48.958333","-28.168333","48º57'30''W","28º10'6''S","89","89","Floresta Ombrófila Densa Habito: epífita","CRI006343","CRI006343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","11581","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","A. S. W. Werncke","2011","04","04","T.J. Cadorin; B. Grosch & C.P. Lopes","1960","2010","05","06","Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","576","576","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008618","CRI008618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","11580","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","A. S. W. Werncke","2011","04","04","T.J. Cadorin; S.M. Clemes & C.P.L. Oliveira","2142","2010","05","10","Brasil",NA,"Brasil","Braço Esquerdo.","-49.235556","-26.365","49º14'8''W","26º21'54''S","417","417","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008617","CRI008617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","11332","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","Peterson T. Padilha","2015","09","08","Gabriel Waterkemper Girardi; Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira",NA,"2015","09","08","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI006342","CRI006342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:06-03","UNESC","CRI","12247","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","Calvente, A","2011","11","24","Schmitt, JL; Cadorin, TJ & Caglioni , E","287","2009","10","13","Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27","49º13'48''W","27º16'12''S","569","569","Fruto verde. Doação Herbário FURB (15003) Habito: Epífita","CRI010429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:06-03","UNESC","CRI","11643","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","M. Verdi","2010","04","14","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4424","2010","04","14","Brasil","Santa Catarina","Grão Pará","Barra do Rio do Meio.","-49.322222","-28.17","49º19'20''W","28º10'12''S","332","332","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI006341","CRI006341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","8760","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","Jorge Luiz Waechter",NA,NA,NA,"Lislaine Cardoso de Oliveira; Peterson T. Padilha",NA,"2010","03","05","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI006340","CRI006340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:06-03","UNESC","CRI","14864","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","Jorge L. Waechter","1998","12","22","Claudio Ricken",NA,"1998","08","09","Brasil","Santa Catarina","Forquilhinha",NA,"-49.472778","-28.748056","49º28'22''W","28º44'53''S",NA,NA,"Com frutos. Habito: Epífita","CRI014198","CRI014198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1362","S","Plantae","Cactaceae","Rhipsalis","teres","Rhipsalis teres","(Vell.) Steud.","Nygel Taylor",NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí","Serra do Japi","-46.8800010681152","-23.1800003051758",NA,NA,"1500","1500","254",NA,NA,"Magnoliophyta","Caryophyllales","17840","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","386152","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","heteroclada","Rhipsalis heteroclada","Britton & Rose",NA,NA,NA,NA,"J. N. Rose","20371","1915","07","22","Brazil","Distrito Federal",NA,"Ilha Grande, Rio de Janeiro","-44.234582","-23.150897",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386152","NY00386152_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"type","South America","sheet",NA,NA,NA,NA,NA,NA,NA
