"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","continentOcean","barcode"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1354","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi.","Nygel Taylor","Juliana Ordones Rego;","Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Campo de Fora","-43.4152984619141","-19.959400177002","43º31'25","20º 06' 49","33136","1235","1235","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1357","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi.","Nygel Taylor","Juliana Ordones Rego;","Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Cascatona","-43.4152984619141","-19.959400177002","45º31'25","22º 06' 49","33136","1235","1235","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:34:14-03","UFMG","BHCB","122403","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi",NA,"Carmo, FF","Brasil","Minas Gerais","Ouro Preto","Serra de Capanema, QTZ","-43.574306","-20.209861","-43.574306","-20.209861",NA,"1904","1904",NA,"Quartzito",NA,"2015","05","11","3451","2008","09","29","Southern America","BHCB024513"
"4","2020-12-11 11:34:14-03","UFMG","BHCB","28377","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi",NA,NA,"Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,NA,NA,"auto",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA
"5","2020-12-11 11:34:14-03","UFMG","BHCB","28377","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi",NA,"Stehmann, JR; Zappi, DC; et al.","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,"33136","1500","1500",NA,"Lagedo quartizitico; rupícola; Arbustivo; frutos com bicomas alvos e sementes tuberculadas","auto",NA,NA,NA,"240","1990","09","11","Southern America",NA
"6","2020-12-11 11:34:14-03","UFMG","BHCB","67045","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi",NA,"Mota, RC da","Brasil","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,NA,"Planta coletada em campo rupestre; arbusto; flores brancas.","auto",NA,NA,NA,"847","2000","06","11","Southern America",NA
"7","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13058","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi",NA,"Zappi, D.C.","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraçá","-43.4152984619141","-19.959400177002",NA,NA,"33136","1500","1500",NA,"Plantas rupícolas, arbustivas, lenhosas, ligeiramente mucilaginosas, eretas, até 1m alt., pouco ramificadas, cladódios 6-7 costelados, até 7 cm diam., epiderme verde acinzentadas, azuladas no ápice do","auto",NA,NA,NA,"240","1990","09","11",NA,NA
"8","2019-11-13 11:17:18-03","USP","SPF","113688","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi","Anônimo","Soffiatti, P","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,"33136","1800","1800",NA,NA,"auto",NA,NA,NA,"15","1996","08","18",NA,"SPF00113688"
"9","2019-11-13 11:17:18-03","USP","SPF","113687","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi","Anônimo","Soffiatti, P","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,"33136","1800","1800",NA,NA,"auto",NA,NA,NA,"14","1996","08","18",NA,"SPF00113687"
"10","2020-09-22 13:46:00-03","USP","SPFW","814","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor;D.C.Zappi","P. Soffiatti","Soffiatti, P.","Brasil","Minas Gerais",NA,"Serra do Caraça.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA
