"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:03-03","E","E","312741","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.","51091","1992","02","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314640","<a href=http://data.rbge.org.uk/herb/E00312741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:03-03","E","E","312742","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","Hind, D.J.N.; Queiroz, R.F.","50904","1992","01","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314641","<a href=http://data.rbge.org.uk/herb/E00312742 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:03-03","E","E","295239","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","Laessoe, T.; Sano, P T",NA,"1992","02","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308570","<a href=http://data.rbge.org.uk/herb/E00295239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910610","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","7317","1964","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910610","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Jataí","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","-51.7","-17.3","800","1000","NY00910610_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","537882","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","R. M. Harley","15093","1974","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537882","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","B. F. Mathew","Bahia",NA,"Serra do Rio de Contas. Ca. 6 km. N. of the town of Rio de Contas on road to Abaira","-41.78","-13.55","1000","1000","NY00537882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","910586","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","7354","1964","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910586","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Caiapônia","Ca. 50 km. S. of Caiapônia, on rd. to Jataí. Serra do Caiapó.","-51.77","-17.32","800","1000","NY00910586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","679979","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","34230","1972","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679979","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","R. Ravenna","Goiás",NA,"Serra dos Pireneus.",NA,NA,"1000","1000","NY00679979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","910598","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","E. P. Heringer","11323","1967","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910598","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Cristalina",NA,"-47.6133","-16.7686",NA,NA,"NY00910598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","910592","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","13208","1966","03","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910592","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Cristalina","Serra dos Cristais, ca. 10 km S. of Cristalina","-47.6","-16.84036","1200","1200","NY00910592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","537852","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","J. M. Pires","6352","1956","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537852","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","E. Forero","Pará",NA,"Serra do Cachimbo",NA,NA,"425","425","NY00537852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","910599","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","E. P. Heringer","9706","1963","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910599","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Distrito Federal","Brasília","Sobradinho","-47.7923","-15.65064739",NA,NA,"NY00910599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","17336","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia aurantiaca","G. T. Prance","58199","1964","07","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00017336","Magnoliophyta","Asparagales","Ravenna",NA,"Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. 2 km from Veadeiros","-47.5097","-14.1325",NA,NA,"NY00017336_01","aurantiaca","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","910588","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","9353","1965","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910588","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 13 km N.W. of Veadeiros","-47.60183","-14.03362","1200","1200","NY00910588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","910602","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","M. das G. L. Wanderley","1768","1988","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910602","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Goiás","Teresina de Goiás","ca. 8 km. S de Teresina de Goias","-47.2644","-13.7767",NA,NA,"NY00910602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","910634","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","B. Maguire","44697","1959","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910634","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr",NA,NA,"Serra Cipó, between km 111 and 128.",NA,NA,"1000","1000","NY00910634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","910589","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","10051","1965","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910589","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Distrito Federal","Brasília","3 km S. of Planaltina.","-47.6667","-15.64381","975","975","NY00910589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","910614","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","12597","1966","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910614","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","NY00910614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","720626","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","J. Lovo","36","2004","01","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720626","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.",NA,"Minas Gerais","Congonhas do Norte","Serra Talhada. Vale do rio Preto, ca. de 13 km sudoeste da estrada Congonhas do Norte-Gouveia, entrada a 3.7 km noroeste de Congonhas do Norte.","-43.7575","-18.8594","1176",NA,"NY00720626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","910624","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","29078","1971","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910624","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Minas Gerais",NA,"Serra do Espinhaço, ca. 10 km W. of Barão de Cocais, base of Serra da Caraça","-43.4927778","-20.1263","1500","1500","NY00910624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","910627","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","N. S. Chukr","CFSC10055","1987","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910627","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia Belo Horizonte-Conceição do Mato Dentro MG-010, km 128, Alto do Palácio.","-43.7142","-19.1692",NA,NA,"NY00910627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","910612","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","9984","1965","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910612","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Cristalina","Serra dos Cristais, ca. 25 km W. of Cristalina","-47.83446","-16.75","1000","1000","NY00910612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","910611","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","9001","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910611","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Distrito Federal","Brasília","3 km S. of Sobradinho","-47.8167","-15.66041","1075","1075","NY00910611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","910636","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","16425","1966","06","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910636","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Mato Grosso",NA,"Ca. 84 km. N. of Xavantina. Serra do Roncador.","-52.1","-13.93","550","550","NY00910636_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","910605","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","E. P. Heringer","10890","1966","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910605","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás",NA,"Serra Dourada",NA,NA,NA,NA,"NY00910605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","910606","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","E. P. Heringer","10590","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910606","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna",NA,NA,"Granja do Tamanduá",NA,NA,NA,NA,"NY00910606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","910601","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","R. P. Belém","50","1964","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910601","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Distrito Federal","Brasília","Rodovia DF-5, Brasília","-47.9294","-15.7797",NA,NA,"NY00910601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","910664","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","A. F. M. Glaziou","15461","1884","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910664","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Minas Gerais",NA,"Landarela, au Palmital",NA,NA,NA,NA,"NY00910664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","910622","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","26031","1970","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910622","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 7 km W. of Paracatú","-46.8727778","-17.22555","850","850","NY00910622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
