"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1016829","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","catharinensis","discolor","Senecio catharinensis discolor","Cabrera","G. G. Hatschbach","J. M. Silva","4059","2004","05","14","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja.","-49.46419","-28.139284","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016829","NY01016829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:06-03","EAO","IAN","60545","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén",NA,"Dusén, PKH","11901","1911","06","08","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN060545","IAN060545_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-14 09:59:04-03","FURB","FURB","31905","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C.Jeffrey","Sobral, M","Korte, A.; Kniess, A.","4141","2010","08","19",NA,"Brasil","Santa Catarina","Joinville","Serra Quimada.","-49.0497222","-26.1002778","1167","1167",NA,"Florística IFFSC 1065b (Erva Terrícola) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado; interior do fragmento Habito: arbusto; flor branca","FURB00780","FURB00780","2010","10","29","-49.0497222","-26.1002778",NA,NA,NA,NA,NA
"4","2020-10-14 09:59:04-03","FURB","FURB","55195","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C.Jeffrey","Funez, L.A.","Funez, L.A.; Maraschalchi, M.N., Farias, D.M., Schneiders, A.","6547","2017","09","11",NA,"Brasil","Santa Catarina","Blumenau","Morro do Cachorro.","-49.0369444","-26.7733334","330","330",NA,"Flores amarelas Habitat: Borda da floresta Habito: Arbustiva","FURB55195","FURB55195","2017","10","18","-49.0369444","-26.7733334",NA,NA,NA,NA,NA
"5","2021-03-16 17:51:06-03","UCS","HUCS","23824","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén ex Cabrera","Hatschbach, G.","Silva, J.M.","4059","2004","05","14",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Herbario MBM; Campo de altitude",NA,NA,"2004",NA,NA,NA,NA,"30102","auto",NA,NA,NA
"6","2020-12-21 16:15:45-03","MBM","MBM","51259","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey","Matzenbacher, N.I.","Klein, R.M.","4561","1963","11","02","Southern America","Brazil","Santa Catarina","São Joaquim","Urupema","-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"MBM051259","MBM051259",NA,NA,NA,NA,NA,"48290","auto",NA,NA,NA
"7","2015-09-04 07:22:37-03","MNHN","RECOLNAT_MNHN_P","P03781675","PreservedSpecimen",NA,NA,NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C.Jeffrey","Teles","Linden",NA,"1863","1","1",NA,"Brasil","Santa Catarina",NA,". Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03781675' target='other'> <mi>dwc_moreinfo</mi></a>","P03781675","P03781675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:32:47-03","UFMG","BHCB","100239","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén. ex Cabrera) C.Jeffrey",NA,"Moreno, PH","132","2005","12","04","Southern America","Brasil","Rio Grande do Sul","Tramandaí","Nova Tramandaí.","-50.1335983276367","-29.9846992492676",NA,NA,NA,"Crescendo em terreno brejoso junto às lagoas. Erva ca. 1,3m.",NA,NA,NA,NA,NA,NA,NA,"21077","auto",NA,NA,NA
"9","2020-12-11 11:32:47-03","UFMG","BHCB","183191","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén. ex Cabrera) C.Jeffrey",NA,"Freitas, FS; Pasini, E","155","2013","12","05","Southern America","Brasil","Rio Grande do Sul","São José dos Ausentes","Pico do Montenegro, Lado de cima do córrego","-50.0657997131348","-28.7483005523682",NA,NA,NA,"Erva ca 0,4m. Estéril",NA,NA,NA,NA,NA,NA,NA,"42598","auto",NA,NA,NA
"10","2020-12-11 11:33:29-03","UFMG","BHCB","76592","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén. ex Cabrera",NA,"Hatschbach, G; Cervi, AC; Barbosa, E","72599","2001","11","11","Southern America","Brasil","Santa Catarina","Urubici","Morro da Igreja. Cavalgada.","-49.5917015075684","-28.0149993896484","1600","1600",NA,"Campo de altitude; borda da matinha nebular; solo turfoso e úmido. Ereta, 1m. Capítulo amarelo.",NA,NA,NA,NA,NA,NA,NA,"30102","auto",NA,NA,NA
"11","2017-01-04 17:26:00-02","MO","MOBOT","2457940","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén ex Cabrera",NA,"Román A. Pérez-Moreau","Pérez-Moreau s.n.55","1937","7","31","South America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"12","2009-07-21 23:34:00-03","MO","MOBOT","2458864","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén ex Cabrera",NA,"Per Dusén","Dusén 11901",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","1481663","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey",NA,"P. K. Dusén","11901","1911","6","8","South America","Brazil","Paraná",NA,"Tsa. Catharina, Herval",NA,NA,"630",NA,NA,NA,"US01846881","US01846881_01",NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
