"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy"
"1","2016-07-05 11:14:20-03","FFCLRP","LBMBP","1156","S","Plantae","Orchidaceae","Scuticaria","itirapinensis","Scuticaria itirapinensis","Pabst","E.R. Pansarin"
"2","2016-09-01 11:57:59-03","FFCLRP","LBMBP","1263","S","Plantae","Orchidaceae","Scuticaria","itirapinensis","Scuticaria itirapinensis","Pabst","E.R. Pansarin"
