"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","recordNumber","continentOcean","preparationType","barcode","imagecode","class","relatedCatalogItem","fieldNumber","typeStatus","previousCatalogNumber"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3326","S","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia","Vell.","Juliana Ordones","2010","10","Carlos Alberto F. Jr.;","2009","11","12","Brasil","Minas Gerais","Santana do Pirapama","Vilarejo de inhamé , próximo ao rio","43°48.188'","18°54.428'","693","693","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1481","S","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia","Vell.","Juliana Ordones","2010","10","Carlos Alberto F. Jr.;","2010","10",NA,"Brasil","Minas Gerais","Belo Horizonte","Arvoreto em frente a entrada do JBBH",NA,NA,NA,NA,"1","254","15","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","869167","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia asaroides","(Hook.) C.C.Berg","C. C. Berg",NA,NA,"H. S. Irwin","1964","10","12","Brazil","Mato Grosso",NA,"Ca. 90 km. N. of Xavantina.",NA,NA,"300","400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031111' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-52.4","-13.83",NA,NA,"asaroides","6790","South America","sheet","NY00869167","NY00869167_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","309463","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia","Vell.","M. H. Nee",NA,NA,"M. H. Nee","1998","06","02","Bolivia","Santa Cruz","Ichilo","Parque Nacional Amboró, rocky gorge along Río Verde, 1-2 km E of Campamento Mataracú.",NA,NA,"375","375",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-63.85","-17.55",NA,NA,NA,"49609","South America","sheet","NY00309463",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","416452","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia cayapia","Vell.","C. C. Berg",NA,NA,"W. W. Thomas","1999","02","02","Brazil","Bahia","Jussari","Ca. 2.5 km N of Palmira on road connecting Palmira to the Itaju do Colônia-Itapé road, Fazenda Sao Roque (owner Luis Fernando Verde)",NA,NA,"300","450",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699855' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-39.5717","-15.1383",NA,NA,"cayapia","11957","South America","sheet","NY00416452","NY00416452_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2172171","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia vitifolia","(Gardner) C.C.Berg",NA,NA,NA,"H. S. Irwin","1965","12","03","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 5 km S. of Corumbá de Goiás",NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320055' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-48.8086","-15.96878",NA,NA,"vitifolia","10994","South America","sheet","NY02172171","NY02172171_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2172178","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia vitifolia","(Gardner) C.C.Berg",NA,NA,NA,"R. M. Harley","1968","11","09","Brazil","Mato Grosso","Barra do Garças","Vale de Sonhas c. 93 km S from Xavantina on Aragarças road",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320094' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-52.2567","-15.8903",NA,NA,"vitifolia","10990","South America","sheet","NY02172178","NY02172178_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","869164","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia asaroides","(Hook.) C.C.Berg",NA,NA,NA,"H. S. Irwin","1965","11","19","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca. 10 km E. of Cabeceiras",NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031092' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-46.88996","-15.8",NA,NA,"asaroides","10568","South America","sheet","NY00869164","NY00869164_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565956","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia","Vell.","J. P. P. Carauta",NA,NA,"J. G. Kuhlmann","1943","12","01","Brazil","Espírito Santo","Colatina","Rio Paucas, Colatino (estrada velha)",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393140' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-40.6306","-19.5394",NA,NA,NA,"6589","South America","sheet","NY00565956","NY00565956_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","869170","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","cayapia","Dorstenia cayapia asaroides","(Hook.) C.C.Berg","C. C. Berg",NA,NA,"H. S. Irwin","1965","11","19","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca.10 km E. of Cabeceiras",NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031124' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-46.89","-15.8",NA,NA,"asaroides","10501","South America","sheet","NY00869170","NY00869170_01",NA,NA,NA,NA,NA
