"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","continentOcean","imagecode","typeStatus","class"
"1","2020-06-29 11:29:34-03","UFRJ","RFA","30899","PreservedSpecimen","Plantae","Bromeliaceae","Acanthostachys","pitcairnioides","Acanthostachys pitcairnioides","(Mez) Rauh & Barthlott","A. P. G. de Faria","1998","A. P. G. de Faria; T. Wendt","3","1998","Brasil","São Paulo","São Paulo","Cultivada por S. Potsch","-46.6300010681152","-23.5400009155273","53584","Brácteas florais castanhas. Sépalas castanhas. Pétalas brancas com ápice azul","RFA52380","auto",NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","8418","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","pitcairnioides","Aechmea pitcairnioides","Mez",NA,NA,"Blanchet, JS","s.n.",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN008418",NA,"Monocotiledônea","Southern America","IAN008418_f",NA,NA
"3","2016-02-02 14:37:50-02","BGBM","B","B 10 0202887","S","Plantae","Bromeliaceae","Acanthostachys","pitcairnioides","Acanthostachys pitcairnioides","Rauh & Barthlott",NA,NA,"J. S. Blanchet",NA,NA,"Brazil",NA,NA,"Bahia.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100202887 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100202887",NA,NA,"Middle and South America","B100202887","isotype",NA
"4","2009-08-22 06:35:00-03","MO","MOBOT","2811096","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","pitcairnioides","Aechmea pitcairnioides","Mez",NA,NA,"Jacques S. Blanchet","Blanchet s.n.","1857","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA
"5","2019-09-04 19:49:01-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","pitcairnioides","Aechmea pitcairnioides",NA,NA,NA,"J. S. Blanchet",NA,"1837","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Spermatophyta","South America",NA,"Holotype","Monocotyledoneae"
