"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","319001","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","canescens","Evolvulus canescens","Meisn.","isotype","L. Riedel","2314","1934","06","South America","Brazil","São Paulo","Franca","-47.408394","-20.588552","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319001","NY00319001_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","319000","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","canescens","Evolvulus canescens","Meisn.","holotype","L. Riedel","2314","1834","06","South America","Brazil","São Paulo","Prope Villa Franca","-47.408394","-20.588552","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319000","NY00319000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013650","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","cressoides","Evolvulus cressoides","Mart.",NA,"H. S. Irwin","11534","1966","01","South America","Brazil","Distrito Federal","Córrego Covanças, near Chapada da Contagem, ca. 20 km N.E. of Brasília","-47.78471","-15.6555","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013650","NY01013650_01","R. Simão-Bianchini","10","Brasília","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1013649","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","cressoides","Evolvulus cressoides","Mart.",NA,"H. S. Irwin","10750","1965","11","South America","Brazil","Goiás","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","-48.8086111","-16.05012","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013649","NY01013649_01","R. Simão-Bianchini","30","Abadiânia","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","23788","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","canescens","Evolvulus canescens","Meisn.",NA,"Campos, C.J.","203","2003","01",NA,"Brasil","São Paulo","Reserva Particular Fazenda Palmeira da Serra","-48.743278","-22.813944",NA,"Cerradão. Rasteira, flores azuis; Coleção: Biota - Cerrado Pratânia","BOTU023788",NA,NA,"09","Pratânia",NA,NA,"48°44'35,8w","22° 48' 50,2s",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","23711","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","canescens","Evolvulus canescens","Meisn.",NA,"Campos, C.J.","125","2003","01",NA,"Brasil","São Paulo","Reserva Particular Fazenda Palmeira da Serra","-48.743278","-22.813944",NA,"Cerradão. Rasteira, flores azuis; Coleção: Biota - Cerrado Pratânia","BOTU023711",NA,NA,"07","Pratânia",NA,NA,"48°44'35,8w","22° 48' 50,2s",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","27476","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","cressoides","Evolvulus cressoides","Mart.",NA,"Ishara, K.L.","223","2008","11",NA,"Brasil","São Paulo","Fazenda Palmeira da Serra","-48.733333","-22.8",NA,"Erva 0,2m, flores azuis","BOTU027476",NA,"Ishara, K.L.","07","Pratânia",NA,NA,"48°44'w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","27477","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","cressoides","Evolvulus cressoides","Mart.",NA,"Ishara, K.L.","38","2008","01",NA,"Brasil","São Paulo","Fazenda Palmeira da Serra","-48.733333","-22.8",NA,"Erva 0,1m, flores azuis, tubo floral branco","BOTU027477",NA,"Ishara, K.L.","09","Pratânia",NA,NA,"48°44'w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","14009","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","cressoides","Evolvulus cressoides","Mart.",NA,"Bicudo, L.R.H.","170","1985","12",NA,"Brasil","São Paulo","À margem da rodovia municipal (estrada do Roberto), que liga Vitoriana ao Rio Bonito Campo e Naútica, a mais ou menos 5 km de vitoriana, Fazenda Gold Farm","-48.284722","-22.8",NA,"Planta rasteira, flores brancas, sem odor","BOTU014009",NA,"Bicudo, L.R.H.","10","Botucatu",NA,NA,"48°17'5w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:54-03","UFRJ","RFA","8553","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","cressoides","Evolvulus cressoides","Mart.",NA,"A.P. Duarte","10705","1967","12",NA,"Brasil","Goiás","Chapada dos Veadeiros","-50.1403007507324","-15.9343996047974",NA,"Flores azuis","RFA39656",NA,"Joaquim Falcão","18","Goiás",NA,NA,NA,NA,"1975","04","08","63502","auto",NA,NA,NA
