"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","408364","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","T. D. Pennington","10177","1978","03","04","South America","Brazil","Bahia","Barra do Choça","Road Vitoria da Conquista-Barro da Choca km 19","-40.57","-14.88","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408364","NY00408364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402008","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","J. U. M. dos Santos","715","1983","02","27","South America","Brazil","Maranhão","Tuntum","Lugar Palmeirinha, a 74 km de Tuntum","-44.6489","-5.2583",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402008","NY00402008_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01023499","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","F. C. Hoehne","28348","1931","09","28","South America","Brazil","São Paulo",NA,"Jardim Botánico, S. Paulo","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194304' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023499","NY01023499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","408366","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","G. G. Hatschbach","49897","1985","10","17","South America","Brazil","Espírito Santo","Conceiçao do Castelo","Venda Nova, arredores","-41.2439","-20.3683","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","408365","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","T. D. Pennington","10175","1978","03","03","South America","Brazil","Bahia","Itambé","Road from Itapetinga to Caatiba, 8 km from junction from BR415","-40.6242","-15.245","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408365","NY00408365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","402009","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","M. A. Lopes","616","1984","10","25","South America","Brazil","Minas Gerais","Caratinga","Est. Biol. de Caratinga. Matão","-42.1392","-19.7897",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402009","NY00402009_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","408363","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","T. D. Pennington","10175","1978","03","03","South America","Brazil","Bahia","Itambé","Road from Itapetinga to Caatiba, 8 km from junction from BR415","-40.6242","-15.245","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408363","NY00408363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","408361","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","F. C. Hoehne",NA,"1944","12","15","South America","Brazil","São Paulo","Sao Paulo","Parque Estadual de Sao Paulo","-46.621883","-23.654505",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408361","NY00408361_01","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1552017","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","D. A. Folli","6245","2008","11","30","South America","Brazil","Espírito Santo","Linhares","Ilha do Imperador. Lagoa Jesuína.","-40.0722007751465","-19.3910999298096","49",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434063' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552017","NY01552017_01","T. D. Pennington","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1552018","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","emarginata","Trichilia emarginata","(Turcz.) C.DC.","D. A. Folli","6242","2008","11","30","South America","Brazil","Espírito Santo","Linhares","Ilha do Imperador. Lagoa Jesuína.","-40.0722007751465","-19.3910999298096","38",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434065' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552018","NY01552018_01","T. D. Pennington","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
