"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1013515","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","D. L. Spellman","G. G. Hatschbach","31518","1973","02","13","South America","Brazil","Minas Gerais","Sete Lagoas","Sete Lagoas.","-44.2467","-19.4658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096336' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013515","NY01013515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1013520","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","J. van Rooden","H. S. Irwin","28889","1971","01","22","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","-43.4927778","-20.1263","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013520","NY01013520_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013518","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","D. L. Spellman","H. S. Irwin","22228","1969","01","18","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 23 km S.W. of Diamantina on road to Gouveia","-43.6791","-18.3912","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013518","NY01013518_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440011","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","N. M. F. da Silva","F. Segadas-Vianna","4013","1951","02",NA,"South America","Brazil","Rio de Janeiro","Cabo Frio","Arraial do Cabo, Pontal beach","-42.0317","-22.9467","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=204204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440011","NY00440011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01067095","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","M. A. Farinaccio","H. S. Irwin","23248","1969","02","13","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 38 km N.E. of Francisco Sá, on road to Salinas","-43.2018","-16.39505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067095","NY01067095_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1013519","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","D. L. Spellman","H. S. Irwin","22269","1969","01","19","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço, ca. 33 km S.W. of Diamantina, near Gouevia","-43.73495","-18.44245","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013519","NY01013519_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013516","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","D. L. Spellman","H. S. Irwin","19559","1968","02","08","South America","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096357' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013516","NY01013516_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1013521","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","D. L. Spellman","H. S. Irwin","22537","1969","01","24","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096372' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013521","NY01013521_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1013517","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","D. L. Spellman","H. S. Irwin","20102","1968","02","15","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013517","NY01013517_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:28:57-03","UFRJ","RFA","36414","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","L. Monguilhott","L. Monguilhott; G.E. Kaneto","142","2005","11","23",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, subida para o cruzeiro.","-43.793098449707","-21.8425006866455",NA,"Arbusto ramificado; flores verdes, corona alva, apêndice da antera vináceo","RFA23234",NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
