"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","fieldNumber","preparationType","stateProvince","decimalLongitude","decimalLatitude","class","order","county","individualCount","phylum","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude"
"1","2016-02-02 14:38:17-02","BGBM","B","B 10 0250171","S","Plantae","Gramineae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","paratype","T. S. F. Filgueiras & F. C. A. Oliveira","3282","1995","09","28","Middle and South America","Brazil","Goiás: Muncípio de Alto Paraíso; Parque Nacional Chapada dos Veadeiros; Campo limpo.","Fundação Instituto Brasileiro de Geografia e Estatística, Herbário da Reserva Ecológica do IBGE <a href=http://herbarium.bgbm.org/object/B100250171 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250171","B100250171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-04 13:36:55-03","MNHN","RECOLNAT_MNHN_P","P00152688","PreservedSpecimen",NA,"Poaceae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","paratype","Filgueiras, T.S.|Oliveira, F.C.A.",NA,"1995","9","28",NA,"Brésil","Goias: Municipio de Alto Paraiso, parque nacional Chapada dos Veadeiros","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00152688' target='other'> <mi>dwc_moreinfo</mi></a>","P00152688","P00152688_01","Filgueiras","3282","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2011-02-26 17:19:00-03","MO","MOBOT","2480706","PreservedSpecimen","Plantae","Poaceae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","Isotype","Tarciso S. Filgueiras|D. Alvarenga","Filgueiras 3168","1994","11","23","South America","Brazil","Chapada dos Veadeiros, Municipio de Alto Paraíso, cerca de 17km da cidade em direçao a Colinas de Goiás",NA,NA,NA,"Filgueiras, T. S. & Zuloaga, F. O.",NA,NA,"Goiás","-47.665","-14.15833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3382566","PreservedSpecimen","Plantae","Poaceae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","Isotype","T. S. Filgueiras & D. Alvarenga","3168","1994","11","23","South America - Neotropics","Brazil","Chapada dos Veadeiros, cerca de 17 km de cidade em direcao a colinas de Goiás. [Chapada dos Veadeiros, about 17 km from the city in the direction of the hills of Goiás.]",NA,"US00623535","US00623535_01",NA,NA,NA,"Goiás","-47.665","-14.1583","Monocotyledonae","Cyperales","Alto Paraiso","1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3403882","PreservedSpecimen","Plantae","Poaceae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","Isotype","T. S. Filgueiras & D. Alvarenga","3168","1994","11","23","South America - Neotropics","Brazil","Chapada dos Veadeiros, Alto Paraiso",NA,"US00610731","US00610731_01",NA,NA,NA,"Goiás",NA,NA,"Monocotyledonae","Cyperales",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-09-04 17:26:36-03","F","FMNH-SEEDPLANTS","V0047038F","PreservedSpecimen","Plantae","Poaceae","Triraphis","devia","Triraphis devia",NA,"Isotype","T. S. Filgueiras & D. Alvarenga","3168","1994","11","23","South America","Brazil","Chapada dos Veadeiros",NA,"V0047038F","V0047038F_01",NA,NA,NA,"Goiás",NA,NA,"Monocotyledoneae",NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 12:54:39-03","UFRGS","ICN","115316","S","Plantae","Poaceae","Triraphis","devia","Triraphis devia","Filgueiras et Zuloaga",NA,"Filgueiras, TS; Alvarenga, D","3168","1994","11","23","América do Sul","Brasil","Chapada dos Veadeiros ca. De 17 km da cidade em direção a Colinas de Goiás. 14 09'30 S 47 39'54W","Ereto, ca. De 60 cm de altura; campo limpo.",NA,NA,"Filgueiras, TS",NA,NA,"GO","-47.5099983215332","-14.1324996948242",NA,NA,"Alto Paraíso de Goiás",NA,"Monocotyledon","1998","06","19","44724","auto",NA,NA
"8","2019-11-21 10:17:09-03","IBt","SP","335437","S","Plantae","Poaceae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","Isotype","Filgueiras, TS; Alvarenga, D","3168","1994","11","23",NA,"Brasil","Chapada dos Veadeiros, Ca. 17 km da cidade em direção a Colinas de Goiás",NA,"SP003198","SP003198",NA,NA,NA,"Goiás","-47.665","-14.158333",NA,NA,"Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,"-47.665","-14.158333"
"9","2019-11-21 10:17:08-03","IBt","SP","280196","S","Plantae","Poaceae","Triraphis","devia","Triraphis devia","Filg. & Zuloaga","Paratype","Aparecida da Silva, M; Oliveira, FCA","2382","1994","11","23",NA,"Brasil","Chapada dos Veadeiros, Ca. 17 km da cidade em direção a Colinas de Goiás",NA,"SP003197","SP003197","Filgueiras, TS",NA,NA,"Goiás","-47.5099983215332","-14.1324996948242",NA,NA,"Alto Paraíso de Goiás",NA,NA,"1999",NA,NA,"44724","auto",NA,NA
