"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","246945","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","glaziovii","Xyris glaziovii","L.A.Nilsson","isolectotype","A. F. M. Glaziou","8004","1876","02","11","South America","Brazil","São Paulo","Fazenda da Bocaima.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246945","NY00246945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:53-03","UFRJ","RFA","29474","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","glaziovii","Xyris glaziovii","L.A.Nilsson",NA,"F. Segadas-Vianna","602","1944","10","31",NA,"Brasil","Rio de Janeiro","Castelo, Morro Assú, Serra dos Órgãos",NA,NA,"RFA51146",NA,"L.B. Smith","1960","Petrópolis","-43.1786003112793","-22.5049991607666","36524","2100","2100","auto",NA,NA
"3","2011-03-25 09:17:00-03","MO","MOBOT","3000804","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","glaziovii","Xyris glaziovii","Nilsson,A.",NA,"Auguste F.M. Glaziou","Glaziou 8004","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"4","2009-07-20 21:22:00-03","MO","MOBOT","3001659","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","glaziovii","Xyris glaziovii","Nilsson,A.",NA,"Bassett Maguire","Maguire 24203","1944","8","3","South America","Suriname",NA,"Plants of Tafelbreg (Table Mountain), Savanna No.1, vic. Camp No.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-04 19:48:51-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","glaziovii","Xyris glaziovii",NA,"Isotype","A. Glaziou","8004",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Monocotyledoneae"
"6","2019-09-04 19:48:51-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","glaziovii","Xyris glaziovii",NA,"Type [status unknown]","A. Glaziou","8004",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Monocotyledoneae"
