"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:18-03","E","E","66320","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","Quevedo, R., Gutierrez & Mamani","2631","1994","05","20","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:87059","<a href=http://data.rbge.org.uk/herb/E00066320 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01171798","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","C. A. Cid Ferreira","7324","1986","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171798","Magnoliophyta","Laurales","(Nees) Kosterm.","H. H. van der Werff","Amazonas","Jutaí","Rio Jutaí afluente do Rio Solimões margem direita, próximo a foz.","-66.8117","-2.7561","NY01171798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01171793","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","G. T. Prance","24115","1976","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303162' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171793","Magnoliophyta","Laurales","(Nees) Kosterm.","K. Kubitzki","Amazonas",NA,"Rio Javari. Rio Curaça, 8 miles above mouth.","-71.4016646","-4.4466072","NY01171793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","865522","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","G. T. Prance","P12929","1971","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865522","Magnoliophyta","Laurales","(Nees) Kosterm.","H. W. Kurz","Acre","Cruzeiro do Sul","Rio Juruá-Mirim near Lucania.","-72.6697","-7.6311","NY00865522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02858890","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","D. da Silva Costa","736","2015","12","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2996041' target='other'> <mi>dwc_moreinfo</mi></a>","NY02858890","Magnoliophyta","Laurales","(Nees) Kosterm.","H. H. van der Werff","Acre","Bujari","Bacia do Rio Purus, Riozinho do Andirá (afluente do Rio Acre). Próximo a Fazenda Nova Olinda, subindo o rio.","-68.085106","-9.702767","NY02858890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01171784","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","G. T. Prance","14332","1971","07","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303243' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171784","Magnoliophyta","Laurales","(Nees) Kosterm.","K. Kubitzki","Amazonas",NA,"Rio Curuquetê, vicinity of Cachoeira São Bento",NA,NA,"NY01171784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1018804","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","A. C. Giannerini","37","2006","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018804","Magnoliophyta","Laurales","(Nees) Kosterm.",NA,"Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Borda da estrada que da acesso a ponte do Maromba, ao lado direito de quem volta.","-44.5631","-22.4961","NY01018804_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01171799","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","C. A. Cid Ferreira","3188","1982","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171799","Magnoliophyta","Laurales","(Nees) Kosterm.","H. H. van der Werff","Amazonas","Tefé","Rio Solimões, margem direita a 3km atrás da Vila Nogueira.","-64.780916","-3.2735126","NY01171799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02423576","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","M. L. Brotto","738","2011","07","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669086' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423576","Magnoliophyta","Laurales","(Nees) Kosterm.",NA,"Paraná","Guaratuba","Área da COPEL, rio Cubatão","-48.806936","-25.821928","NY02423576_01","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01171808","PreservedSpecimen","Plantae","Lauraceae","Licaria","armeniaca","Licaria armeniaca","C. A. Cid Ferreira","1306","1980","07","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303225' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171808","Magnoliophyta","Laurales","(Nees) Kosterm.","K. Kubitzki","Pará","Oriximiná","Rio Trombetas, margem esquerda em frente à Mineração Santa Patricia","-56.4489985","-1.6942627","NY01171808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
