"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","eventTime","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","354837","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki","holotype","W. A. Rodrigues","5962","1964","07","21","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, margem direita da estrada.","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354837","NY00354837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01155265","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"A. Vicentini","1180","1996","05","20","South America","Brazil","Amazonas",NA,"Em área de sub-bosque limpo em frente a estação meteorológica.","-59.966667","-2.883333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155265","NY01155265_01","H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01155268","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"W. A. Rodrigues","8205","1966","07","29","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke.","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302358' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155268","NY01155268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01155269","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"W. A. Rodrigues","5667","1964","01","14","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Q. 17","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302079' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155269","NY01155269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01155267","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"K. Kubitzki","79-27",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1327855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155267","NY01155267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01155266","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"P. A. C. L. Assunção","142","1995","01","16","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Próximo a estação meteorológica.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1302363' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155266","NY01155266_01","H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:35:07-03","NBC","NL-BOTANY","U.1400557","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"Assunção PACL",NA,"1995","08","23","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1400557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1400557","NL-U1400557",NA,"Magnoliopsidae","U 0020590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:32:18-03","UNICAMP","UEC","113272","S","Plantae","Magnoliopsida",NA,"Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki",NA,"Assunção, PACL","608","1994","07","13",NA,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Entrando pela trilha a direita do Km 0,35 da estrada alojamento-torre.","-60.0250015258789","-3.10193991661072",NA,"Àrvore. Solo argiloso, subosque, 18 cm DAP. tronco circular de base reta. Lenticelas salientes, não espocadas, circulares, agrupadas verticamlmente e pouco evidentes. Alteração por fendas (2 mm de lagura, 2 de profundidade) esparsas e","UEC005637","UEC005637","Vicentini, A",NA,NA,"1997","12","138090","auto",NA,NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:56:43-03","BS","M","M-0147102","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki","ISOTYPE","Rodrigues, W.A.",NA,"1964","07","20",NA,"Brasil",NA,NA,"Manaus, Reserva Florestal Ducke, margem direita da estrada",NA,NA,NA,NA,"M0147102",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"21:00",NA,NA,NA,NA,NA,NA
"10","2014-10-14 15:56:43-03","BS","M","M-0147103","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","ferrea","Aniba ferrea","Kubitzki","ISOTYPE","Loureiro, A.",NA,"1964","07","20",NA,"Brasil",NA,NA,"Manaus, Reserva Florestal Ducke, margem direita da estrada",NA,NA,NA,NA,"M0147103",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"21:00",NA,NA,NA,NA,NA,NA
