"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus","preparationType","fieldNumber"
"1","2021-04-08 17:37:11-03","EAO","IAN","34810","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart.","Martins-da-Silva, RCV","s.n.","Southern America","Brasil","IAN034810","IAN034810_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:41-03","UFBA","ALCB","115475","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","spixiana","Lepidaploa spixiana","(Mart. ex DC.) H.Rob.","Roque, N; Guedes, ML; Gandara, A; Campos, L","4400","Southern America","Brasil",NA,NA,"Roque, N","2014","12","2014","08","05","Bahia","Licínio de Almeida","Serra geral, Estrada Urandi-Licínio de Almeida (Saco da Onça).","-42.571944","-14.743333","-42.571944","-14.743333","ca. 60 cm de altura, folhas discolores, brácteas involucrias verdes-castanhas, corola lilás, passando a alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:31:53-03","UFJF","CESJ","3966","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Lepidaploa","spixiana","Lepidaploa spixiana","(Mart. ex DC.) H.Rob.","L. Roth","CESJ3966","América do Sul","Brasil","CESJ003966","CESJ003966","L.C.Pereira","2012","03","1964","06","24","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"No cerrado, encosta de morro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-10 17:51:15-03","UNICAMP","UEC","61890","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Prado, PIKL","23805",NA,"Brazil","UEC133232","UEC133232",NA,NA,NA,"1989","07","15","Minas Gerais","Serra do Cipó","Jaboticatubas/ MG. Km 109 (Estrada da Usina, 2Km).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-10 17:51:15-03","UNICAMP","UEC","61889","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Prado, PIKL","23806",NA,"Brazil","UEC133230","UEC133230",NA,NA,NA,"1989","07","15","Minas Gerais","Serra do Cipó","Jaboticatubas/ MG. Km121 (Fazenda Palácio).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-10 17:51:15-03","UNICAMP","UEC","61888","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Prado, PIKL","23807",NA,"Brazil","UEC133229","UEC133229",NA,NA,NA,"1989","08","15","Minas Gerais","Serra do Cipó","Jaboticatubas/ MG. Km 114 (Fazenda do Cipó).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-10 17:51:15-03","UNICAMP","UEC","61903","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Prado, PIKL","23808",NA,"Brazil","UEC133240","UEC133240",NA,NA,NA,"1989","07","16","Minas Gerais","Serra do Cipó","Jaboticatubas/ MG . Km 107 (Chapeu do Sol).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:26:08-03","UNICAMP","UEC","28003","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Pirani, JR; Cordeiro, I; Furlan, A; Semir, J; Menezes, NL; Giulietti, AM; Rossi, L","s.n.",NA,"Brazil","UEC133203","UEC133203","Soares, PN","2010","10","1981","07","21","Bahia","Mucugê","Margem da estrada Andaraí - Mucugê, estrada nova, a 20 km de Mucugê","-41.3708000183105","-13.0052995681763",NA,NA,"Até 1,70 m. alt, capítulos lilazes.","52493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:26:08-03","UNICAMP","UEC","51500","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Zickel, CS; Queiroz, LP","21692",NA,"Brazil","UEC133204","UEC133204","Soares, PN","2010","10","1989","07","03","Minas Gerais","Diamantina","17 km da estrada da rodovia para Conselheiro da Mata","-43.6002998352051","-18.2493991851807",NA,NA,"Sub-arbusto ca. 1 m. Flores lilás-claro.; Campo rupestre.","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-10 17:51:15-03","UNICAMP","UEC","137864","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","spixiana","Vernonia spixiana","Mart. ex A.DC.","Mansanares, ME; Forni-Martins, ER; Costa, JY; Belinello, R","391",NA,"Brazil","UEC133202","UEC133202","Soares, PN","2010","10","2004","07","06","Minas Gerais","Diamantina","Afloramento na Trilha dos Escravos.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
