"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02841602","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Luan, Silva","873","2015","10","21","South America","Brazil","Rio de Janeiro","Barra Mansa","Conglomerado 61-2-9-57. UTM do Ponto Central: E (574009m) N (7501691m). Fuso do GPS (23K)","-44.28000064676","-22.5899667211","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3137760' target='other'> <mi>dwc_moreinfo</mi></a>","NY02841602","NY02841602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522418","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","A. C. Brade","13992","1934","09",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Monte Serrat","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522418","NY00522418_01","A. C. Brade","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522420","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","J. G. Kuhlmann","2473",NA,NA,NA,"South America","Brazil","Minas Gerais","Viçosa","Viçosa","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522420","NY00522420_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522419","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","I. Mimura","564(de planta 1)","1962","09","12","South America","Brazil","São Paulo","Sao José dos Campos","7.1-7.7 km ao SSE em linha reta da praça principal de Sao José dos Campos. 400-800 m ao oeste da estrada para Paraibuna","-45.88","-23.1703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522419","NY00522419_01","J. J. Wurdack","640","640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522417","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","P. J. M. Maas","3153","1977","10","10","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, forested margins of Rio Campo Belo","-44.61807","-22.433227","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522417","NY00522417_01","J. J. Wurdack","850","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","229430","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","F. Sellow","1840",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229430","NY00229430_01",NA,NA,NA,"possible syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:11-03","UNESP-IBB","BOTU","31496","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Torres, R.B.","1788","2006","11","04",NA,"Brasil","São Paulo","Santo Antônio do Pinhal","Sítio Matão",NA,NA,NA,NA,"BOTU031496",NA,"Goldenberg, R.",NA,NA,NA,"2007","11","9999","9999",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:40-03","EAO","IAN","41204","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN041204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:04:35-03","NBC","NL-BOTANY","L.2551521","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2551521 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2551521","NL-L2551521",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:04:35-03","NBC","NL-BOTANY","U 0286782","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Maas PJM; Martinelli G",NA,"1977","10","10","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200286782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0286782",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw23862",NA,NA,NA,NA,NA
"11","2020-02-08 10:04:35-03","NBC","NL-BOTANY","U.1397177","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Maas PJM; Martinelli G",NA,"1977","10","10","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1397177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1397177","NL-U1397177",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0141521",NA,NA,NA,NA,NA
"12","2020-11-04 11:13:44-03","ESALQ","ESA","118952","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla",NA,"Forzza, R.C.","1904.0","2001","10","01",NA,"Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama.","-42.9674987792969","-21.4596996307373",NA,NA,"ESA118952","ESA118952","Goldenberg, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11991","auto",NA,NA,NA
"13","2021-01-14 15:31:40-03","MN","R","9544","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Glaziou, A.F.M.","8365","1872","03","23",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009544","R000009544_001","Goldenberg, R.",NA,NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-17 13:47:07-03","MN","R","212304","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","Pifano, D.S. 214; Castro, R.M.",NA,"2001","12","01",NA,"Brasil","Minas Gerais","Descoberto",NA,"-42.9674987792969","-21.4596996307373",NA,"Herbário Leopoldo Krieger",NA,NA,"Forzza,R.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11991","auto",NA,NA,NA
"15","2020-12-20 21:18:24-03","UFV","VIC","040399","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC","Simão, M.R.V.C.","437","2012","12","16",NA,"Brasil","Minas Gerais","Viçosa","Estação de pesquisa treinamento e educação ambient, Floresta Estacional Semidecidual.","-42.8819007873535","-20.7539005279541",NA,"Árvore de 5 m, fruto imaturo em estádio mais avançado de maturação, amarelo,fruto maduro roxo enegrecido.","VIC040399","VIC040399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA
"16","2020-12-20 21:18:24-03","UFV","VIC","040400","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC","Simão, M.R.V.C.","344","2012","10","16",NA,"Brasil","Minas Gerais","Viçosa","Estação de pesquisa treinamento e educação ambient, Floresta Estacional Semidecidual.","-42.8819007873535","-20.7539005279541",NA,"Arvoreta de 7 m,fruto imaturo verde.","VIC040400","VIC040400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA
"17","2019-11-21 14:39:39-03","UFJF","CESJ","35734A","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","urophylla","Miconia urophylla","DC.","D.S. Pifano; R.M. Castro","214","2001","12","01","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Árvore ca. 7m, próxima ao curso d'água e em local de muita luz. Frutos amarelos.","CESJ35734A",NA,"R.C. Forzza",NA,NA,NA,"2002",NA,NA,NA,NA,NA,"11991","auto",NA,NA,NA
