"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","884382","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","W. Punt","J. C. Lindeman","4511","1967","01","26","South America","Brazil","Paraná","3 km N of Campo Mourão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884382","NY00884382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","884382","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","W. Punt","J. C. Lindeman","4511","1967","01","26","South America","Brazil","Paraná","3 km N of Campo Mourão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884382","NY00884382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:16-03","UFRJ","RFA","5199","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","Grady L. Webster","P. Occhioni","1413","1958","03","27",NA,"Brasil","Rio de Janeiro","Estrafa do Sumaré, km 10",NA,"Volúvel; flor verde, urticante","RFA25579",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:30:16-03","UFRJ","RFA","16148","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","Vanda Maia","P. Occhioni","6966","1975","02","18",NA,"Brasil","Rio de Janeiro",NA,NA,"Volúvel; flor verde urticante","RFA13856",NA,"Magé","-43.040599822998","-22.6527996063232","20531","auto","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:30:16-03","UFRJ","RFA","4532","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","Grady L. Webster","P. Occhioni","170","1944","12","14",NA,"Brasil","Rio de Janeiro","Matas da Mesa do Imperador",NA,NA,"RFA25149",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:16-03","UFRJ","RFA","5199","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","Grady L. Webster","P. Occhioni","1413","1958","03","27",NA,"Brasil","Rio de Janeiro","Estrafa do Sumaré, km 10",NA,"Volúvel; flor verde, urticante","RFA25579",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:16-03","UFRJ","RFA","16148","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","Vanda Maia","P. Occhioni","6966","1975","02","18",NA,"Brasil","Rio de Janeiro",NA,NA,"Volúvel; flor verde urticante","RFA13856",NA,"Magé","-43.040599822998","-22.6527996063232","20531","auto","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:16-03","UFRJ","RFA","4532","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.","Grady L. Webster","P. Occhioni","170","1944","12","14",NA,"Brasil","Rio de Janeiro","Matas da Mesa do Imperador",NA,NA,"RFA25149",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:38:22-03","EAO","IAN","23942","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Dalechampia","leandri","Dalechampia leandri","Baill.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN023942","IAN023942_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:38:22-03","EAO","IAN","23942","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Dalechampia","leandri","Dalechampia leandri","Baill.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN023942","IAN023942_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-04 15:25:08-03","PUCPR","HUCP","9912","S","Plantae","Eudicotiledonea",NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.",NA,"Wangler, MS","054","1996","12","06",NA,"Brasil","Paraná","Parque Estadual Vila Rica do Espirito Santo.",NA,NA,"HUCP00011349","HUCP00011349","Fênix","-51.9791984558105","-23.9160995483398","16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:25:08-03","PUCPR","HUCP","9912","S","Plantae","Eudicotiledonea",NA,"Euphorbiaceae","Dalechampia","leandrii","Dalechampia leandrii","Baill.",NA,"Wangler, MS","054","1996","12","06",NA,"Brasil","Paraná","Parque Estadual Vila Rica do Espirito Santo.",NA,NA,"HUCP00011349","HUCP00011349","Fênix","-51.9791984558105","-23.9160995483398","16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:48:17-03","NBC","NL-BOTANY","L.2212026","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Dalechampia","leandri","Dalechampia leandri","Baill.",NA,"Vincent D; Herb Alleizette AC d'",NA,"1919","11","01","Southern America","Brazil","Rio de Janeiro",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2212026 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2212026","NL-L2212026",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0146364 | 95165549",NA,NA,NA,NA,NA,NA,NA,NA,NA
