"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","imagecode","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"1","2020-09-23 10:42:49-03","E","E","71387","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Cuming, Hugh","645","1905","01","04","Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.","herbarium specimen of unspecif","BGBASE:78832","<a href=http://data.rbge.org.uk/herb/E00071387 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:49-03","E","E","71385","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Harvey, William H.",NA,NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.","herbarium specimen of unspecif","BGBASE:78830","<a href=http://data.rbge.org.uk/herb/E00071385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:49-03","E","E","71384","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Werdermann, Erich","7",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso",NA,"herbarium specimen of unspecif","BGBASE:78829","<a href=http://data.rbge.org.uk/herb/E00071384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071384","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:49-03","E","E","71381","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Cuming, Hugh","645","1905","01","04","Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.","herbarium specimen of unspecif","BGBASE:78826","<a href=http://data.rbge.org.uk/herb/E00071381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:49-03","E","E","71389","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Gillies, John",NA,NA,NA,NA,"Temperate South America","AR","Prov. de Buenos Aires",NA,"Near Buenoa Aires.","herbarium specimen of unspecif","BGBASE:78834","<a href=http://data.rbge.org.uk/herb/E00071389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:49-03","E","E","71386","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Captain King, P.P.",NA,NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.","herbarium specimen of unspecif","BGBASE:78831","<a href=http://data.rbge.org.uk/herb/E00071386 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:49-03","E","E","71383","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","Buchtien, Otto",NA,NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.","herbarium specimen of unspecif","BGBASE:78828","<a href=http://data.rbge.org.uk/herb/E00071383 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:49-03","E","E","71382","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","King, Thomas",NA,NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.","herbarium specimen of unspecif","BGBASE:78827","Flowers in July.<a href=http://data.rbge.org.uk/herb/E00071382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00071382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","649237","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala decapetala","J. N. Rose","19172","1914","09","23","South America","Chile","Valparaíso",NA,"Near Valparaiso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649237",NA,NA,"Magnoliophyta","Ranunculales","decapetala","Ard.","S. B. Hoot","NY00649237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00859418","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","decapetala","Anemone decapetala","A. C. Brade","16881","1941","09","09","South America","Brazil","Minas Gerais",NA,"Serra do Caparaó.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859418","2200","2200","Magnoliophyta","Ranunculales",NA,"Ard.","A. C. Brade","NY00859418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
