"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2020-09-23 10:41:33-03","E","E","295961","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Brooks, R.R.; Reeves, R.D.","534","1990","06","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312989","<a href=http://data.rbge.org.uk/herb/E00295961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","295962","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Diaz Ferreira, H.","148","1988","04","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312991","<a href=http://data.rbge.org.uk/herb/E00295962 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:33-03","E","E","295960","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Brooks, R.R.; Reeves, R.D.","627","1990","06","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312987","<a href=http://data.rbge.org.uk/herb/E00295960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00926117","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","R. R. Brooks","BRASPEX #148","1988","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926117","Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","J. J. Wurdack","Goiás","Niquelândia","Macedo, 15 km N of Niquelândia. Ca. 500-800 m east of nickel workings.","-48.38","-14.3","1000","1000","NY00926117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","229463","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","A. Macedo","3636","1952","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229463","Magnoliophyta","Myrtales","L.B.Sm. & Wurdack",NA,"Goiás","Niquelândia","Macedo","-48.4594","-14.4742",NA,NA,"NY00229463_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00926118","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","T. de S. Filgueiras","3090","1994","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926118","Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","J. J. Wurdack","Goiás",NA,"Ca. 210 km S. Niquelândia.",NA,NA,NA,NA,"NY00926118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:19:40-03","UNICAMP","UEC","63923","S","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Mendonça, RC; Silva Jr, MC; Silva, PEN","2080","1993","01","06",NA,"Brazil",NA,NA,"flor, Arbusto com 50 cm de altura, flores amarelas. Freqüente. Campo rupestre.",NA,"Magnoliopsida",NA,"L.B.Sm.","Romero, R","Goiás","Niquelândia","Companhia de Níquel Tocantins","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,"1996","10","74171","auto",NA,NA,NA,NA,NA
"8","2020-10-01 14:23:48-03","JBB","HEPH","7797","S","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Salles, AEH","1852","1992","04","11","Southern America","Brasil",NA,NA,NA,NA,"Dicotyledon","Myrtales","L.B.Sm. & Wurdack",NA,"Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,NA,NA,"85457","auto",NA,NA,NA,NA,NA
"9","2019-12-19 11:19:40-03","UFG","UFG","12659","S","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","J.A. Rizzo; H.D. Ferreira","10673","1988","04","21",NA,"Brasil",NA,NA,NA,"UFG0012659",NA,NA,"L.B. Sm. & Wurdack","J.A. Rizzo","Goiás","Macedo",NA,"-48.383333","-14.3",NA,NA,NA,NA,"1988","04",NA,NA,"21","-48.383333","-14.3",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3240137","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","R. C. Mendonça, P. E. N. Silva & M. C. Silva Jr.","2080","1993","11","6","South America - Neotropics","Brazil",NA,NA,NA,"US01897145",NA,"Myrtales","L.B. Sm. & Wurdack",NA,"Goiás","Niquelândia","Companhia de Níquel Tocantins","-48.4597015380859","-14.4738998413086",NA,NA,"US01897145_01 US01897145_02",NA,NA,NA,"74171","auto",NA,NA,NA,"Dicotyledonae","1"
