"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:41-03","UNESC","CRI","14359","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","Kassner-Filho, A.","2018","01","16","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1648","2018","01","16","Brasil","Santa Catarina","Trombudo Central","-49.770278","-27.27","49º46'13''W","27º16'12''S","915","915","brácteas rosa Habitat: borda do fragmento Habito: apoiante","CRI013508","CRI013508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:41-03","UNESC","CRI","7005","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","Vanilde Citadini- Zanette",NA,NA,NA,"Andressa Biava; Enilda Sebastiana & Marlete Borges",NA,"1999","10","16","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI005569","CRI005569","Campus da UNESC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","8399","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","Vanilde Citadini- Zanette","2008",NA,NA,"Mainara F. Cascaes",NA,"2008","02","04","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12",NA,"CRI005570","CRI005570","Parque Ecológico de Maracajá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","656920","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","M. H. Nee",NA,NA,NA,"J. A. Kallunki","404","1993","01","29","Brazil","Bahia","Ruy Barbosa","-40.38","-12.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656920","NY00656920_01","8.5 km from Ruy Barbosa along right side of old road going via Povoado Alagoas to Itaberaba","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","642325","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy",NA,NA,NA,NA,"G. Gardner","5139","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642325","NY00642325_01","Brasilia","Magnoliophyta","Caryophyllales","South America","sheet","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","656926","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","M. H. Nee",NA,NA,NA,"C. Lemos","30568","1933","04","14","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656926","NY00656926_01","Sao Paulo, Capital","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","642332","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","M. H. Nee",NA,NA,NA,"E. P. Heringer","s.n.","1953","05","23","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642332","NY00642332_01","Jardim do Ministério da Educaçao","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2220444","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy",NA,NA,NA,NA,"L. Coradin","6183","1983","06","28","Brazil","Bahia","Jacobina","-40.63","-11.08",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2373970' target='other'> <mi>dwc_moreinfo</mi></a>","NY02220444","NY02220444_01","Rodovia Jacobina - Lage do Batata km 15","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","656919","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","M. H. Nee",NA,NA,NA,"E. V. R. Mota","32","1980","07","19","Brazil","Rio de Janeiro","Itaguaí","-43.7753","-22.8522",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656919","NY00656919_01","Itaguaí, Campus de UFRRJ","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","642321","PreservedSpecimen","Plantae","Nyctaginaceae","Bougainvillea","glabra","Bougainvillea glabra","Choisy","L. Y. T. Westra",NA,NA,NA,"S. A. Mori","12829","1979","09","29","Brazil","Bahia","Manoel Vitorino","-40.2425","-14.1456",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642321","NY00642321_01","BR 116, a 37 km ao S de Jequié, estrada para Caatingal, a 3 km da BR 116","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
