"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","typeStatus","locality","phylum","order","identifiedBy","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:02-03","E","E","164058","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Pott, V.J.;","1423","1990","07","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171593","<a href=http://data.rbge.org.uk/herb/E00164058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:02-03","E","E","280407","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Hunt, David R.","5984","1966","06","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:288539","<a href=http://data.rbge.org.uk/herb/E00280407 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00280407","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:02-03","E","E","280166","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Hunt, David R.","5629","1966","05","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:287577","<a href=http://data.rbge.org.uk/herb/E00280166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00280166","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:02-03","E","E","146932","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Pott, V.J.;","2074","1993","04","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171291","<a href=http://data.rbge.org.uk/herb/E00146932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:02-03","E","E","64846","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","De Castro, R.A.",NA,"1968","07","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:70170","<a href=http://data.rbge.org.uk/herb/E00064846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00064846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:02-03","E","E","100028","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.",NA,"1999","08","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109515","<a href=http://data.rbge.org.uk/herb/E00100028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:02-03","E","E","146957","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Pott, A.;","2153","1986","04","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171331","<a href=http://data.rbge.org.uk/herb/E00146957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:02-03","E","E","285567","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Gardner, George","1598","1905","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:295485","<a href=http://data.rbge.org.uk/herb/E00285567 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285567",NA,"syntype","Piauhy, Goyaz, &c.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:02-03","E","E","189747","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Pennington, T.D.; Daza, A.","17222","2001","08","15","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:208388","<a href=http://data.rbge.org.uk/herb/E00189747 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00189747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:02-03","E","E","164054","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","nervosa","Ludwigia nervosa","Pott, V.J., J.Dos S.V. Da Silva & de Abon, M.","2145","1993","09","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171599","<a href=http://data.rbge.org.uk/herb/E00164054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
