"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:26:04-03","UNESC","CRI","14518","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","Verdi, M","2010","11","05","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4956","2010","06","10","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo/Parque Estadual da Serra do Tabuleiro. Sertão do Campo/Parque Estadual da Serra do Tabuleiro.","-48.755833","-27.893333","48º45'21''W","27º53'36''S","295","295","Florística IFFSC 226 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio mosaicos de inicial, médio a avançado; interior do fragmento Habito: arbórea; flor branca","CRI013578","CRI013578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","382175","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","R. C. Kaastra",NA,NA,NA,"R. M. Klein","1212","1955","03","17","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí.","-48.6617","-26.9081",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382175","NY00382175_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382169","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","R. C. Kaastra",NA,NA,NA,"G. G. Hatschbach","28587","1971","12","28","Brazil","Paraná","Morretes","Col. Floresta. Margem rio encachoeirado.","-48.8342","-25.4769",NA,NA,"30","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382169","NY00382169_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1009375","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","P. Dias",NA,NA,NA,"P. Dias","272","2006","12","06","Brazil","Paraná","Paranaguá","APA Morro do Inglês, final da estrada principal (a que sai da BR-277), sítio Zé Bento (de propriedade de Maria do Carmo Santos Marcelino e D. Cleópatra), base do Morro, ca. de 160 m do corrego (atras da Casa), margem direita da trilha.","-48.65533","-25.57186",NA,NA,"63",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745563' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009375","NY01009375_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","382170","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","43601","1981","02","12","Brazil","Paraná","Paranaguá","Rio Saquarema, mata pluvial ao longo do rio.","-48.5092","-25.5203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382170","NY00382170_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","382171","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","R. C. Kaastra",NA,NA,NA,"R. Reitz","8279","1959","01","16","Brazil","Santa Catarina","Lauro Muller","Pinhal da Cia., Itanema, Lauro Mueller.","-49.3967","-28.3931",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382171","NY00382171_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","382168","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","J. R. Pirani",NA,NA,NA,"G. G. Hatschbach","15740","1967","01","19","Brazil","Paraná","Umuarama","Serra Dourada.","-53.325","-23.7664",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382168","NY00382168_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382173","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","R. C. Kaastra",NA,NA,NA,"R. Reitz","4104","1959","01","16","Brazil","Santa Catarina","Lauro Muller","Pinhal da Cia., Itanema, Lauro Müller.","-49.3967","-28.3931",NA,NA,"300","300","Lenho na xiloteca. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382173","NY00382173_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382172","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","R. C. Kaastra",NA,NA,NA,"R. Reitz","826","1953","07","15","Brazil","Santa Catarina","Itajaí","Praia Braba, Itajaí.","-48.644872","-26.946812",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382172","NY00382172_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1009374","PreservedSpecimen","Plantae","Rutaceae","Esenbeckia","hieronymi","Esenbeckia hieronymi","Engl.","P. Dias",NA,NA,NA,"P. Dias","269","2006","12","06","Brazil","Paraná","Paranaguá","APA Morro do Inglês, final da estrada principal (a que sai da BR-277), sítio Zé Bento (de propriedade de Maria do Carmo Santos Marcelino e D. Cleópatra), base do Morro, ca. de 160 m do corrego (atras da Casa), margem direita da trilha.","-48.65533","-25.57186",NA,NA,"63",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745501' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009374","NY01009374_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
