"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","class","individualCount","fieldNumber","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:24:59-03","UNESC","CRI","7361","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein","2001","11","18","Brasil","Santa Catarina","Praia Grande","Aparados - Canion do Itaimbézinho.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI001099","CRI001099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:59-03","UNESC","CRI","13541","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","Renato Colares; Thuany Machado","2018","04",NA,"Brasil","Santa Catarina","Siderópolis",NA,"-49.455","-28.596389","49º27'18''W","28º35'47''S","CRI012148",NA,"Renato Colares","2018","05","25","96","96","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","3647","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","R. Záchia; F. Mohr e M. Biancamana","1992","09","06","Brasil","Rio Grande do Sul","Torres","Morro Azul.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI001471","CRI001471","A. A. Schneider",NA,NA,NA,"36","36","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:59-03","UNESC","CRI","7991","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","Beatriz Wessler; Bruna Alberton","2007","08","22","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI001329","CRI001329","Renato Colares","2019","01","09","46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:59-03","UNESC","CRI","7990","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","Beatriz Wessler; Bruna Alberton","2008","01","11","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","CRI001110","CRI001110","Renato Colares","2020","01","01",NA,NA,"Habitat: borda da mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:59-03","UNESC","CRI","13529","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","Renato Colares","2018","07","11","Brasil","Santa Catarina","Criciúma","Unesc","-49.369701385498","-28.6774997711182",NA,NA,"CRI012136",NA,"Renato Colares","2018","07","11",NA,NA,"Arbusto com ramos apoiantes. Habito: Arbustivo","18248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 10:05:00-03","NY","NYBG","798020","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata",NA,"A. C. Brade","1922","11","27","Brazil","São Paulo",NA,"Mandaqui",NA,NA,NA,NA,"NY00798020","NY00798020_01","G. L. Smith",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Asterales","5488","South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","798019","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","H. F. L. Filho","1969","07","17","Brazil","São Paulo",NA,"Rod. Quaraquatatuba-S. Sebastiao",NA,NA,NA,NA,"NY00798019","NY00798019_01","H. F. L. Filho",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Asterales","20763","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","861088","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata","(Less.) Baker","A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas",NA,"-46.3858","-21.9236",NA,NA,"NY00861088","NY00861088_01","G. L. Smith",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930849' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Asterales","144","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2016-09-29 10:05:00-03","NY","NYBG","798021","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","notata","Piptocarpha notata",NA,"L. O. Williams","1945","10","06","Brazil","Minas Gerais","Serro","Boca da Mata","-43.3792","-18.6047",NA,NA,"NY00798021","NY00798021_01","G. L. Smith",NA,NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270549' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Asterales","7915","South America","sheet",NA,NA,NA,NA,NA,NA
