"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus"
"11","2020-11-13 09:20:46-03","UFRJ","RFA","27473","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","A. Quinet","32/85","2001","04","09",NA,"Brasil","Rio de Janeiro","Lumiar/ Macaé de Cima.","700","700",NA,"Árvore, 2,5 m de altura, 10 cm de DAP, folha discolor verde, flor com botões verdes, comum no local.","RFA41900",NA,"M. F. Freitas","Nova Friburgo","-42.324444","-22.356389","2001","11","25","42º19'28''W","22º21'23''S",NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:20:46-03","UFRJ","RFA","26562","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Flávio Brito Pereira","23/68","2001","01","26",NA,"Brasil","Rio de Janeiro","3° distrito.","776","776",NA,"Arbusto, 3 m de altura, 2 cm de DAP, folha verde de cheiro forte, comum no local.","RFA41895",NA,"M. F. Freitas","Sapucaia","-42.9143981933594","-21.9950008392334","2001","11","23","42º50'64''W","22º4'90''S","27567","auto",NA,NA,NA,NA
"13","2020-11-13 09:20:46-03","UFRJ","RFA","27135","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","A. Quinet","58/79","2001","03","12",NA,"Brasil","Rio de Janeiro","Lumiar, Flôr das Andorinhas.","600","600",NA,"Arbusto, 3 m de altura, 15 cm de DAP, folha discolor verde, fruto verde, comum no local.","RFA41905",NA,"M. F. Freitas","Nova Friburgo","-42.5311012268066","-22.2819004058838","2001","11","25","42º21'63''W","22º21'80''S","33190","auto",NA,NA,NA,NA
"14","2021-03-30 12:47:18-03","EAO","IAN","102558","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Magalhães, MG","3187","1942","04","29","Southern America","Brasil","Minas Gerais","Cerrado na base da serra, Chapadão.",NA,NA,NA,"Árvores de 4-5m de altura; flor alva.","IAN102558",NA,"Barreto, M","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"15","2021-03-30 12:47:18-03","EAO","IAN","14117","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Magalhães, MG","3187","1942","04","29","Southern America","Brasil","Minas Gerais","Cerrado na base da serra, Chapadão.",NA,NA,NA,"Árvores de 4-5m de altura; flor alva.","IAN014117","IAN014117 IAN014117_e","Barreto, M","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"16","2019-12-04 15:25:42-03","PUCPR","HUCP","18157","S","Plantae","Eudicotiledonea",NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Fenner, CA","009","2003","05","15",NA,"Brasil","Paraná","Centro",NA,NA,NA,NA,"HUCP00014769","HUCP00014769","Cordeiro, J; Rodrigues, R","Piraquara","-49.0633010864258","-25.4416999816895","2007",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"17","2020-02-08 09:03:46-03","NBC","NL-BOTANY","L.2645443","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","lineata","Rapanea lineata","Mez","Reitz R; Klein RM",NA,"1960","09","03","Southern America","Brazil",NA,"Santa Catarina, Morro do Campo Alegre, São Francisco do Sul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2645443 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2645443","NL-L2645443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"18","2020-02-08 09:03:46-03","NBC","NL-BOTANY","L.2645445","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","lineata","Rapanea lineata","Mez","Reitz R; Klein RM",NA,"1958","09","12","Southern America","Brazil",NA,"Santa Catarina, Alto Matador, Rio do Sul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2645445 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2645445","NL-L2645445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"19","2020-02-08 09:03:46-03","NBC","NL-BOTANY","U.1433839","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","lineata","Rapanea lineata","Mez","Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil",NA,"Est. Rio de Janeiro. Parque Nacional do Itatiaia; small valley near broadcasting station.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1433839 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1433839","NL-U1433839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"20","2020-02-08 09:03:46-03","NBC","NL-BOTANY","U.1433840","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","lineata","Rapanea lineata","Mez","Lindeman JC; Haas JH de",NA,"1967","03","30","Southern America","Brazil",NA,"Est. Paraná. Serra do Mar; Upper Rio do Corva, 35km E.N.E of Curitiba.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1433840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1433840","NL-U1433840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"21","2020-02-08 09:03:46-03","NBC","NL-BOTANY","U.1433841","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","lineata","Rapanea lineata","Mez","Lindeman JC; Haas JH de",NA,"1967","01","12","Southern America","Brazil",NA,"Est. Paraná. Serra do Mar; Upper Rio do Corva, S. of old road to Morretes, ca. 25km E. of Curitiba.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1433841 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1433841","NL-U1433841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"22","2020-11-04 12:15:57-03","ESALQ","ESA","142019","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","280.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","1800","1800",NA,"Árvore, frutos negros.","ESA142019",NA,"Antonio, P.E.","Paraty","-44.813889","-23.140278","2016","01","27","44°48'50W","23°08'25S",NA,NA,NA,NA,NA,NA
"23","2020-11-04 12:15:57-03","ESALQ","ESA","140715","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Gibau, A.; Flores, T.B.; Valdemarin, K.S.","350.0","2017","08","25",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela -",NA,NA,NA,"Arbusto ca. 1,5m. Frutos atropurpúreos.","ESA140715",NA,"Gibau, A.","Paraty","-44.7131004333496","-23.2178001403809","2017","12","05",NA,NA,"34470","auto",NA,NA,NA,NA
"24","2020-11-04 12:15:57-03","ESALQ","ESA","134737","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata",NA,"Souza, V.C.; Flores, T.B.; Colletta, G.D.; Coelho, R.L.G.; Toledo, C.A.P.T.; Silva-Filho, A.A.; Ramos, B.A.; Nascimento, M.S.; Antonio, P.E.; Brito, T.R.O.","39532.0","2015","09","10",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina. Arredores da Pedra da Macela.","1500","1700",NA,"Arbusto; flores creme-rosadas; frutos negros.","ESA134737",NA,"Antonio, P.E.","Parati","-44.7131004333496","-23.2178001403809","2015","07","12",NA,NA,"34470","auto",NA,NA,NA,NA
"25","2020-11-04 12:15:57-03","ESALQ","ESA","140465","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","100.0","2016","12","13",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela -",NA,NA,NA,"Árvore ca. 2m. Cálice e corola esverdeado","ESA140465",NA,"Souza, V.C.","Paraty","-44.7131004333496","-23.2178001403809","2019","01","11",NA,NA,"34470","auto",NA,NA,NA,NA
"26","2020-11-04 12:15:57-03","ESALQ","ESA","141923","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2308.0","2015","11","29",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Árvore ca. 3m de alt. Flores passadas.","ESA141923",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"27","2020-11-04 12:15:57-03","ESALQ","ESA","141816","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2201.0","2015","11","28",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Arvoreta ca. 1,8m de alt. Frutos imaturos verdes, maduros pretos.","ESA141816",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
