"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","identifiedBy","yearIdentified","monthIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","class","typeStatus","individualCount"
"1","2020-12-11 11:43:29-03","UFMG","BHCB","45616","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Cryptanthus","minarum","Cryptanthus minarum","L.B.Sm.","Tameirão Neto, E","s.n.","1997","07","10","Southern America","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","UHE Aimorés; Faz. Adolfo Shumaker. Herbáceo.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-08-31 09:20:16-03","INPA","INPA","256379","S","Plantae","Monocotyledon","Bromeliaceae","Cryptanthus","minarum","Cryptanthus minarum","L.B.Sm.","Eiten, G","2321","1960","09","15","Southern America","Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258",NA,"auto","Poales","Costa, SM","2014","04","Município de Santo André: Alto da Serra, reserved forest area in Serra de Moji. Ca. 1/2 km. west of Paranapiacaba. (41 km. due SE of center of São Paulo.)","840","840","INPA0256379","INPA0256379 INPA0256379_1 INPA0256379_e INPA0256379_e1",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2144022","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Cryptanthus","minarum","Cryptanthus minarum","L.B. Sm.","A. Mattos","4256","1902","6",NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Bromeliales",NA,NA,NA,"Itabira de Campo.",NA,NA,"US00026818","US00026818_01","Monocotyledonae","Type fragment","1"
"4","2021-03-05 16:09:36-03","MN","R-TIPOS","46186","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Cryptanthus","minarum","Cryptanthus minarum","L.B. Sm.","Mattos, A.M.","s.n.","1902","06",NA,NA,"Brasil","Minas Gerais","Itabira do Campo",NA,NA,NA,NA,NA,NA,"Ramírez, I .M.","1996",NA,NA,NA,NA,"R000046186","R000046186_001",NA,"Holotypus",NA
