"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","927583","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","rigida","Persea rigida","Nees","Image of Type","F. Sellow","652","South America","Brazil","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00927583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:38:25-02","BGBM","B","B 10 0185203","S","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.","holotype","F. Sellow","652","Middle and South America","Brazil",NA,"<a href=http://herbarium.bgbm.org/object/B100185203 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185203","B100185203 B100185203_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:25-02","BGBM","B","B 10 0185204","S","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.","type","F. Sellow","652","Middle and South America","Brazil",NA,"<a href=http://herbarium.bgbm.org/object/B100185204 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185204","B100185204 B100185204_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:32:49-03","UNICAMP","UEC","196822","S","Plantae","Magnoliopsida",NA,"Lauraceae","Persea","rigida","Persea rigida","Ness & Mart.",NA,"Leitão Filho, HF; Barros, RC","10683",NA,"Brazil",NA,"Árvore até 9m, flores creme, em botão.","UEC137461","UEC137461","Brotto, ML","2018","09","1979","11","19","Minas Gerais","Camanducaia","Nativo em mata nas proximidades da Vila Monte Verde.","-46.1446990966797","-22.7553005218506","22140","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:02:21-03","FURB","FURB","34919","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Korte, A.; Kniess, A.","6986",NA,"Brasil",NA,"Voucher estéril IFFSC 577 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbórea;","FURB02052","FURB02052","Moraes, P.L.R.","2012","11","2010","05","21","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí.","-49.2308334","-27.09",NA,NA,"07","-49.2308334","-27.0900000","601","601",NA,NA
"6","2020-10-14 10:02:21-03","FURB","FURB","60719","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Barboza, E.; Silva, J.M.; Brotto, M.L.","4581",NA,"Brasil",NA,"Frutos imaturos verdes Habitat: Floresta ombrófila densa montana. Habito: Árvore","FURB60719","FURB60719","Brotto, M.L.","2017","05","2017","04","19","Paraná","Adrianópolis","Parque Estadual das Lauráceas.","-48.7044444","-24.85",NA,NA,"25","-48.7044444","-24.8500000","100","100",NA,NA
"7","2014-10-14 15:56:44-03","BS","M","M-0111053","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.","HOLOTYPE","Sellow, F.",NA,NA,"Brasil",NA,NA,"M0111053",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"8","2019-08-16 08:39:46-03","UTFPR","HCF","23466","S","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"E. Barboza","4581",NA,"Brasil",NA,"árvore com 6 m de altura; frutos imaturos verdes.",NA,NA,"M.L. Brotto","2017","05","2017","04","19","PR","Adrianópolis","Parque Estadual das Lauráceas, morro","-48.704444","-24.85",NA,NA,"25","48°42'16 W","24°51'00 S","1000","1000",NA,NA
"9","2020-12-21 16:31:23-03","MBM","MBM","407307","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.; Lozano, E.D.; Lozano, E.D.","2355","Southern America","Brazil",NA,"Árvore com 10 m de altura; botões florais castanhos.; Floresta Ombrófila Densa Montana.","MBM407307","MBM407307","Brotto, M.L.","2016","12","2016","12","06","Paraná","Tunas do Paraná","Fazenda Primavera","-48.793636","-24.895967",NA,NA,"13","-48.793636","-24.895967","988","988",NA,NA
"10","2020-12-21 16:31:23-03","MBM","MBM","407312","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.; Lozano, E.D.; Lozano, E.D.","2360","Southern America","Brazil",NA,"Árvore com 11 m de altura; botões florais castanhos.; Floresta Ombrófila Densa Montana (de porte baixo).","MBM407312","MBM407312","Brotto, M.L.","2016","12","2016","12","06","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.705278","-24.849722",NA,NA,"13","-48.705278","-24.849722","1015","1015",NA,NA
"11","2020-12-21 16:31:23-03","MBM","MBM","407580","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.; Lozano, E.D.; Lozano, E.D.","2372","Southern America","Brazil",NA,"Árvore com 11 m de altura; flores castanho-amareladas.; Floresta Ombrófila Densa Montana (de porte baixo).","MBM407580","MBM407580","Brotto, M.L.","2017","01","2017","01","16","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.705278","-24.849722",NA,NA,"19","-48.705278","-24.849722","1015","1015",NA,NA
"12","2020-12-21 16:31:23-03","MBM","MBM","407586","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.; Lozano, E.D.; Lozano, E.D.","2378","Southern America","Brazil",NA,"Árvore com 11 m de altura; flores castanho-amareladas.; Floresta Ombrófila Densa Montana.","MBM407586","MBM407586","Brotto, M.L.","2017","01","2017","01","18","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.667222","-24.848611",NA,NA,"19","-48.667222","-24.848611","821","821",NA,NA
"13","2020-12-21 16:31:23-03","MBM","MBM","408354","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.; Völtz, R.R.; Völtz, R.R.","2426","Southern America","Brazil",NA,"Árvore com 3 m de altura; frutos imaturos verdes.; Floresta Ombrófila Densa Montana.","MBM408354","MBM408354","Brotto, M.L.","2017","03","2017","03","20","Paraná","Tunas do Paraná","Fazenda Primavera","-48.803167","-24.902139",NA,NA,"27","-48.803167","-24.902139","936","936",NA,NA
"14","2020-12-21 16:31:23-03","MBM","MBM","409106","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Barboza, E.; Silva, J.M.; Brotto, M.L.; Silva, J.M.; Brotto, M.L.","4581","Southern America","Brazil",NA,"Árvore com 6 m de altura; frutos imaturos verdes.; Floresta Ombrófila Densa Montana.","MBM409106","MBM409106","Brotto, M.L.","2017","05","2017","04","19","Paraná","Adrianópolis","Parque Estadual das Lauráceas, morro","-48.704444","-24.85",NA,NA,"25","-48.704444","-24.85","1000","1000",NA,NA
"15","2015-09-03 19:07:18-03","MNHN","RECOLNAT_MNHN_P","P01991984","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.","isotype","[Sello], F.",NA,NA,"Brésil","hb","n° 125, C. Gaudichaud, 1833 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01991984' target='other'> <mi>dwc_moreinfo</mi></a>","P01991984","P01991984_01 P01991984_02","Kopp",NA,NA,NA,NA,NA,NA,NA,"s.l.","-46.63882","-23.54894",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2010-08-24 09:46:00-03","MO","MOBOT","1901658","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"F. Sellow","Sellow 652","South America","Brazil",NA,NA,NA,NA,"L.E. Kopp (NY)",NA,NA,"1814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-03-01 15:27:16-03","UFLA","ESAL","25288","S","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Naves, RP","44",NA,"Brasil",NA,"árvore; 7m; ;; floresta",NA,NA,"Moraes, P","2013","03",NA,NA,NA,"Minas Gerais","Varginha","Parque São Francisco","-45.4303016662598","-21.551399230957","17646","auto","27",NA,NA,NA,NA,NA,NA
"18","2019-12-09 17:30:08-03","UFPR","EFC","16268","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.","2372",NA,"Brasil",NA,"Árvore com 11 m de altura; flores castanho-amareladas. Floresta Ombrófila Densa Montana (de porte baixo).","EFC016268",NA,"Brotto, M.L.","2017","01","2017","01","16","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.7053","-24.8497",NA,NA,"19","-48.7053","-24.8497","1015","1015",NA,NA
"19","2019-12-09 17:30:08-03","UFPR","EFC","16269","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, M.L.","2378",NA,"Brasil",NA,"Árvore com 11 m de altura; flores castanho-amareladas. Floresta Ombrófila Densa Montana","EFC016269",NA,"Brotto, M.L.","2017","01","2017","01","18","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.6672","-24.8486",NA,NA,"19","-48.6672","-24.8486","821","821",NA,NA
"20","2019-09-04 18:43:14-03","F","FMNH-SEEDPLANTS","V0061762F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Persea","rigida","Persea rigida",NA,"Isotype","F. Sellow","652","South America","Brazil",NA,NA,"V0061762F","V0061762F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"21","2020-11-04 17:29:16-03","UEM","HUEM","31508","S","Plantae",NA,NA,"Lauraceae","Persea","rigida","Persea rigida","Nees & Mart.",NA,"Brotto, ML; Lozano, ED","2372",NA,"Brasil",NA,"Árvore com 11m de altura; flores castanho-amarelada.; Floresta Ombrófila Densa Montana de porte baixo","HUEM000014290","HUEM000014290","Brotto, ML","2017","01","2017","01","16","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.705278","-24.849722",NA,NA,"19","-48.705278","-24.849722",NA,NA,NA,NA
