"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","locality","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","county","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","order","individualCount","fieldNumber","class","relatedCatalogItem"
"1","2020-09-23 10:40:56-03","E","E","2200","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa","isotype","Raddi, Giuseppe","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:12532","<a href=http://data.rbge.org.uk/herb/E00002200 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00002200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1672825","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"W. J. Burchell","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672825","Marchantiophyta","(Sw.) Nees","1883","1825","11","16","Rio de Janeiro","ESTADO RIO DE JANEIRO: Near Rio de Janeiro","NY01672825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1672829","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"V. F. Schiffner","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672829","Marchantiophyta","(Sw.) Nees","4270","1901","09","08",NA,"Brasilien: Sao Paulo, in der Nahe des Rio Grande an der Sao Paulo Railway 800 m","NY01672829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1672836","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"E. G. Britton","South America","Trinidad and Tobago","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672836","Marchantiophyta","(Sw.) Nees","175","1920","02","28",NA,"Saddle Road","NY01672836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04242618","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"E. Fuertes","South America","Argentina","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565475' target='other'> <mi>dwc_moreinfo</mi></a>","NY04242618","Marchantiophyta","(Sw.) Nees","s.n.","2008","06","24","Misiones","Parque Nacional de Iguazú, entre la estación Boca del Diablo y Apepú",NA,"E. Fuertes","-54.43","-26.7","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1672798","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"W. Mitten","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672798","Marchantiophyta","(Sw.) Nees","s.n.","1905","03","20",NA,"Rio Janeiro","NY01672798_01",NA,"-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1672840","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"H. S. Irwin","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958983' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672840","Marchantiophyta","(Sw.) Nees","32534","1971","02","18","Bahia","On branches of small tree. Forest on sand, ca. 16km E. of Morro do Chapeu, elev. ca. 1100m. Serra do Tombador.","NY01672840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1672839","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"R. Spruce","South America","Peru","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672839","Marchantiophyta","(Sw.) Nees","s.n.",NA,NA,NA,NA,"Andes Peruvani: In arbustorum ramis, ad rivulum Marona-Yacu prope Tarapoto","NY01672839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1672787","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"H. C. Beyrich","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672787","Marchantiophyta","(Sw.) Nees","s.n.",NA,NA,NA,NA,"Sierra d'Estrella","NY01672787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1672806","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","diffusa","Bryopteris diffusa",NA,"D. G. Griffin","South America","Venezuela","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672806","Marchantiophyta","(Sw.) Nees","PV-1662","1985","03","22","Falcón","ESTADO FALCON: Peninsula de Paraguana, Cerro Santa Ana, vertiente oeste, bosque ralo, espinoso. Alt. 350-500 m.","NY01672806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
