"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:57-03","UNESC","CRI","13906","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","Alexandre Medeiros","2018","04","23","Alexandre Medeiros","914","2018","04","23","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat APA Costa Brava","-48.579722","-27.018056","48º34'47''W","27º1'5''S","Habitat: Terrestre Habito: Herbácea","CRI012517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:57-03","UNESC","CRI","13920","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","Vinicius Dietrich","2018","04","23","Alexandre Medeiros","982","2018","04","23","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat APA Costa Brava","-48.579722","-27.018056","48º34'47''W","27º1'5''S","Habitat: Terrestre Habito: Herbácea","CRI012531","CRI012531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3943701","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"W. E. Broadway","171","1923","01","05","Venezuela",NA,NA,"Aricagua. Vicinity of Crystobal Colon.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239371' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943701","NY03943701_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3943674","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. J. Copeland","s.n.","1971","04","10","Trinidad and Tobago",NA,NA,"Trinidad. Near shore Maracas Bay","-61.431625","10.757128",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239344' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943674","NY03943674_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3943624","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"G. S. Jenman","s.n.","1898",NA,NA,"Guyana",NA,NA,"British Guiana.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239294' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943624",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1016651","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","J. Prado",NA,NA,NA,"P. Salzmann","s.n.",NA,NA,NA,"Brazil","Bahia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016651","NY01016651_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3943683","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. J. Pipoly","11238","1987","03","28","Guyana","Mahaica-Berbice",NA,"Abary River mouth & along canals leading into river, between coastal hwy & ocean.","-57.78","6.58",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239353' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943683",NA,"Pteridophyta","Polypodiales","South America","sheet","1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3943711","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"E. P. Killip","11507","1922","09","22","Colombia",NA,NA,"Department of El Valle. Buenaventura. Pacific Coast. Shore of bay.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239381' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943711","NY03943711_01","Pteridophyta","Polypodiales","South America","sheet",NA,"5",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2565656","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"D. F. Austin","7169","1979","10","22","Brazil","Amapá",NA,"Arredores do acampamento, do igarapé Santilho",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823077' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565656","NY02565656_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3943676","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. J. Copeland","s.n.","1972","07","11","Trinidad and Tobago",NA,NA,"Trinidad. Maracas Bay","-61.431625","10.757128",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239346' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943676","NY03943676_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
