"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","infraspecificEpithet","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02285790","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. J. Eyerdam","10235","1958","01","18","South America","Chile","Araucanía","Malleco","Andes, at cattle camp","fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2488330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02285790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01192232","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. J. Eyerdam","10231","1958","01","18","South America","Chile","Araucanía","Malleco","near southern boundary, Fundo Solano, Los Alpes, Cordillera de Nahuelbuta","sheet","In mud. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192232","H. Schubert; I. Blindow","-73.033183","-37.716635","1200","1200","NY01192232_01 NY01192232_02",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03465659","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. Lechler","s.n.",NA,NA,NA,"South America","Chile","Los Ríos",NA,"Valdivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3762755' target='other'> <mi>dwc_moreinfo</mi></a>","NY03465659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01192229","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. G. F. Herter","315","1925","11",NA,"South America","Uruguay","Montevideo",NA,"Miguelete","sheet","In cult. Aqu. Exposed to the sun. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399054' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192229","R. D. Wood","-57.644856","-34.002586","10","20","NY01192229_01 NY01192229_02",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01192323","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","G. Mandon","1814","1859","01",NA,"South America","Bolivia","La Paz","Larecaja","viciniis Sorata, Apacheta Lojena","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1404114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192323","H. Schubert; I. Blindow","-68.648214","-15.773334","4600","4600","NY01192323_01",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03465658","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. J. Eyerdam","10231","1958","01","18","South America","Chile","Araucanía","Malleco","near southern boundary, Fundo Solano, Los Alpes, Cordillera de Nahuelbuta, in mud, at cattle camp outpost","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3762754' target='other'> <mi>dwc_moreinfo</mi></a>","NY03465658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03465746","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. Lechler","1411","1855",NA,NA,"South America","Chile","Los Ríos","Valdivia","Valdivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3762842' target='other'> <mi>dwc_moreinfo</mi></a>","NY03465746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01192231","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C.Agardh","W. J. Eyerdam","10231","1958","01","18","South America","Chile","Araucanía","Malleco","near southern boundary, Fundo Solano, Los Alpes, Cordillera de Nahuelbuta","sheet","In mud. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192231","H. Schubert; I. Blindow","-73.033183","-37.716635","1200","1200","NY01192231_01",NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:50:02-03","UCS","HUCS","30410","PreservedSpecimen","Plantae","Algae",NA,"Charales","Characeae","Nitella","flexilis","Nitella flexilis","(Linnaeus) C.Agardh","Tataru, T.C.","s.n.","1981","09","04",NA,"Alemanha","Bremen","Wenderland","Marschgraben",NA,"Doação Herbarium BREM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-16 17:50:02-03","UCS","HUCS","50251","PreservedSpecimen","Plantae","Algae",NA,"Charales","Characeae","Nitella","flexilis","Nitella flexilis","(Linnaeus) C.Agardh","?","s.n.","1981","10","03",NA,"Alemanha","Bremen","Bremen","Uthlede",NA,"Doação Herbarium BREM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-05-13 14:26:04-03","UNIOESTE","UNOPA","2883","PreservedSpecimen","Plantae","Charophyta","Charophyceae","Charales","Characeae","Nitella","flexilis","Nitella flexilis","(L.) C. Agardh","Rolon, A.S.",NA,"2009","08","12",NA,"Brasil","Rio Grande do Sul","Município de Mostardas","Banhadão","Fixado com solução Transeau",NA,NA,"Bueno, N.C.","-50.777039","-30.885867",NA,NA,NA,"50°46'37.34W","30°53'9.12S",NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","56694","PreservedSpecimen","Plantae","Charophyta",NA,"Charales","Characeae","Nitella","flexilis","Nitella flexilis chilensis","A. Braun in A. Braun & Nordst.","W. Lechler","s.n.","1853",NA,NA,"South America","Chile","Valdivia Region",NA,"Near Valdivia.",NA,NA,"US00829216",NA,NA,NA,NA,NA,"US00829216_01 US00829216_02",NA,NA,"chilensis","Isotype","1",NA
"13","2017-01-03 10:30:59-02","FH","HU-HERB","FH 00876223","PreservedSpecimen","Plantae",NA,NA,NA,"Characeae","Nitella","flexilis","Nitella flexilis","(Linnaeus) C. Agardh","W. Lechler",NA,NA,NA,NA,"South America","Chile","Valdivia",NA,"[data not captured]","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
