"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01873457","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","F. A. Santana","112","2012","02","25","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Serra do Saco da Onça.","-42.5739","-14.7408","980","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2933812' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873457","NY01873457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017714","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","Paulay","s.n.","1887","01",NA,"South America","Brazil","Bahia",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221634' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017714","NY01017714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885511","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","H. S. Irwin","30761","1971","02","23","South America","Brazil","Bahia",NA,"Serra da Agua de Rega, ca. 26 km N. of Seabra, road to Agua de Rega, near Rio Riachão","-41.76915","-12.19335","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885511","NY00885511_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","517655","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","A. M. Amorim","1991","1996","09","26","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15",NA,"sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517655","NY00517655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","802829","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","A. M. V. de Carvalho","3924","1992","03","21","South America","Brazil","Bahia","Tucano","Kms 7 a 10 na estrada de Tucano para Ribeira do Pombal.","-38.7867","-10.9633",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802829","NY00802829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","802824","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","G. G. Hatschbach","64965","1996","04","18","South America","Brazil","Minas Gerais","Monte Azul","Serra do Espinhaço, subida via Montividiu.","-42.8744","-15.155","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802824","NY00802824_01","850","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885510","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","H. S. Irwin","31143","1971","02","26","South America","Brazil","Bahia",NA,"Serra da Agua de Rega, at margin of Rio Riachão, ca. 27 km N. of Seabra, road to Agua de Rega","-41.7786111","-12.1919","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885510","NY00885510_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","885520","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","S. A. Mori","14312","1981","06","11","South America","Brazil","Bahia","Lençóis","2-5 km N of Lençois on trail to Barro Branco.","-41.3897","-12.5633",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885520","NY00885520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","802833","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","H. S. Irwin","32599","1971","02","19","South America","Brazil","Bahia",NA,"Serra do Tombador. Rio Ferro Doido, ca. 18km E. of Morro do Chapéu.",NA,NA,"1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802833","NY00802833_01","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1017715","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017715","NY01017715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
