"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","occurrenceRemarks","phylum","order","scientificNameAuthorship","coordinatePrecision","geoFlag","recordNumber","day","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","class","typeStatus","fieldNumber"
"1","2019-06-10 10:10:28-03","FZB-BH","CVJBFZB","4321","S","Plantae","Velloziaceae","Barbacenia","aff riparia","Barbacenia aff riparia","Carlos Alberto Ferreira Júnior","2017","03","10","Rubens Custódio;","2017","03","Brasil","Minas Gerais","Riacho dos Machados","Vale do Esmeril","-42.721944","-16.1125","42º43'19 W","16º06'45 S","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1426","S","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia","Maria Guadalupe Carvalho Fernandes","2006",NA,NA,"Sergio Santos; Marcelo Malta","2006","08","Brasil","Minas Gerais","Jequitinhonha","Butumirim","-41.0032997131348","-16.4339008331299",NA,NA,NA,"254","Magnoliophyta","Pandanales","(N.L.Menezes & Mello-Silva) Mello-Silva","48921","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:28-03","FZB-BH","CVJBFZB","4519","S","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia","Carlos Alberto Ferreira Júnior","2019","02","24","Ferreira Jr., C.A. et all; Maria Guadalupe Carvalho, Juliana Rego Ordones","2019","02","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu, proximo a Igreja do Vau.","-42.8897018432617","-16.5594005584717","42°53'33.2","16°35'23.6","2","254",NA,NA,NA,"67219","auto","CAF1706","18","648","648",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","898583","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"G. G. Hatschbach","1978","04","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8894","-16.5594",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971991' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Pandanales","(N.L.Menezes & Mello-Silva) Mello-Silva",NA,NA,"41244","21",NA,NA,"South America","sheet","NY00898583","NY00898583_01",NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","898584","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"N. L. de Menezes","1981","04","Brazil","Minas Gerais","Grão Mogol","estrada para Francisco Sá, 5 km de Grão-Mogol.","-42.8894","-16.5594",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971994' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Pandanales","(N.L.Menezes & Mello-Silva) Mello-Silva",NA,NA,"1110","12",NA,NA,"South America","sheet","NY00898584","NY00898584_01",NA,NA,NA
"6","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1752935","PreservedSpecimen","Plantae","Velloziaceae","Pleurostima","riparia","Pleurostima riparia",NA,NA,NA,NA,"Hatschbach GG","1978","04","Brazil",NA,NA,"Rio Itacambirucu (Mun. Grão Mogol) Minas Gerais.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Pandanales","N.L.Menezes & Mello-Silva",NA,NA,NA,"21",NA,NA,"Southern America",NA,"NL-U1752935","NL-U1752935","Magnoliopsidae",NA,NA
"7","2019-11-21 14:47:00-03","UFJF","CESJ","32113","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"G. Hatschbach","1978","04","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Dos paredões às margens do rio. Formação compacta. Flor alva, demum lilás.","Angiosperma",NA,"N.Menezes & Mello-Silva","67219","auto","41244","21",NA,NA,"América do Sul",NA,"CESJ032113",NA,NA,NA,NA
"8","2020-12-21 16:46:47-03","MBM","MBM","159597b","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Hatschbach, G.","1978","04","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Formação compacta. Flor alva, debrum lilás.; Dos paredões às margens do rio.",NA,NA,"(N.L. Menezes & Mello-Silva) N.L. Menezes & Mello-Silva","67219","auto","41244","21",NA,NA,"Southern America",NA,"MBM159597b",NA,NA,"PARATYPE",NA
"9","2020-12-21 16:46:47-03","MBM","MBM","56993","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Hatschbach, G.","1978","04","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Flor alva, debrum lilás.; Dos paredões às margens do rio.",NA,NA,"(N.L. Menezes & Mello-Silva) N.L. Menezes & Mello-Silva","67219","auto","41244","21",NA,NA,"Southern America",NA,"MBM056993","MBM056993",NA,"PARATYPE",NA
"10","2020-12-21 16:46:47-03","MBM","MBM","121303","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Pirani, J.R.; Furlan, A.; Cordeiro, I.; Amaral, M.C.E.; Menezes, N.L.; Rossi, L.; Furlan, A.; Cordeiro, I.; Amaral, M.C.E.; Menezes, N.L.; Rossi, L.","1981","04","Brazil","Minas Gerais","Grão Mogol","Próximo ao Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Flores alvas, um pouco rosadas.; Crescendo sobre pedras à beira do rio.",NA,NA,"(N.L. Menezes & Mello-Silva) N.L. Menezes & Mello-Silva","67219","auto","CFCR858","14",NA,NA,"Southern America",NA,"MBM121303","MBM121303",NA,"PARATYPE",NA
