"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","407339","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","A. Krapovickas","38224","1982","12","23","South America","Brazil","Rio Grande do Sul","Lagoa Vermelha","BR-285, km 61, 17 km E de Lagoa Vermelha","-51.5256","-28.2086","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407339","NY00407339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","407331","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","P. K. H. Dusén","9587","1910","04","14","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407331","NY00407331_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","407335","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","G. G. Hatschbach","22937","1969","11","19","South America","Brazil","Paraná","Tibagi","Rod. do Café, Rio Capivari Grande","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407335","NY00407335_01","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","407336","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","A. Krapovickas","37011","1980","11","28","South America","Brazil","Rio Grande do Sul","Vacaria","10 km E de Vacaria, camino a Bom Jesus","-50.9339","-28.5122","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407336","NY00407336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","407332","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","P. K. H. Dusén","16895","1915","03","26","South America","Brazil","Paraná",NA,"Capao Bonito",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407332","NY00407332_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","407333","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","G. G. Hatschbach","38065","1976","02","11","South America","Brazil","Paraná","Tibagi","Rod. do Café, rio Capivari","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407333","NY00407333_01","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","407340","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","A. Krapovickas","36910","1980","11","25","South America","Brazil","Santa Catarina","Bom Jardim da Serra","5 km E de Bom Jardim da Serra","-49.6244","-28.3369","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407340","NY00407340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","407329","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","P. K. H. Dusén","16173","1914","12","26","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407329","NY00407329_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","407334","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","G. G. Hatschbach","43047","1980","08","11","South America","Brazil","Paraná","Quatiguá","Quatigua, arredores","-49.9133","-23.5672","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407334","NY00407334_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","407330","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","reticulata","Pavonia reticulata","Garcke","P. K. H. Dusén","10776","1910","11","05","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407330","NY00407330_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
